cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001428,C0332149,LOCATION_OF,Adenoidal structure,Possible,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0005847,C0332149,LOCATION_OF,Blood Vessel,Possible,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0006104,C0332149,LOCATION_OF,Brain,Possible,bpoc,qlco,5,LOCATION_OF_BPOClocfQLCO
C0006104,C0442797,LOCATION_OF,Brain,Decreasing,bpoc,qlco,2,LOCATION_OF_BPOClocfQLCO
C0012144,C0332219,LOCATION_OF,Structure of diencephalon,Easy,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0013443,C0332572,LOCATION_OF,Ear structure,Abnormal color,bpoc,qlco,4,LOCATION_OF_BPOClocfQLCO
C0015392,C0332149,LOCATION_OF,Eye,Possible,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0016504,C0442797,LOCATION_OF,Foot,Decreasing,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0017421,C0332149,LOCATION_OF,Female genitalia,Possible,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0018494,C0205160,LOCATION_OF,Hair,Negative,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0018563,C0205160,LOCATION_OF,Hand,Negative,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0018563,C0332219,LOCATION_OF,Hand,Easy,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0018787,C0205160,LOCATION_OF,Heart,Negative,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0018787,C0332149,LOCATION_OF,Heart,Possible,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0021156,C0332572,LOCATION_OF,Incisor,Abnormal color,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0021852,C0332149,LOCATION_OF,"Intestines, Small",Possible,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0021852,C0332572,LOCATION_OF,"Intestines, Small",Abnormal color,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0021853,C0332149,LOCATION_OF,Intestines,Possible,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0021853,C0332572,LOCATION_OF,Intestines,Abnormal color,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0022646,C0205160,LOCATION_OF,Kidney,Negative,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0023884,C0184511,LOCATION_OF,Liver,Improved,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0023884,C0205160,LOCATION_OF,Liver,Negative,bpoc,qlco,2,LOCATION_OF_BPOClocfQLCO
C0023884,C0332149,LOCATION_OF,Liver,Possible,bpoc,qlco,3,LOCATION_OF_BPOClocfQLCO
C0023884,C0332572,LOCATION_OF,Liver,Abnormal color,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0024109,C0205160,LOCATION_OF,Lung,Negative,bpoc,qlco,5,LOCATION_OF_BPOClocfQLCO
C0024109,C0332149,LOCATION_OF,Lung,Possible,bpoc,qlco,13,LOCATION_OF_BPOClocfQLCO
C0024109,C0332219,LOCATION_OF,Lung,Easy,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0024109,C0442797,LOCATION_OF,Lung,Decreasing,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0024496,C0332149,LOCATION_OF,Main Bronchus,Possible,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0026639,C0205160,LOCATION_OF,Oral mucous membrane structure,Negative,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0027442,C0205160,LOCATION_OF,Nasopharynx,Negative,bpoc,qlco,1,LOCATION_OF_BPOClocfQLCO
C0027442,C0332149,LOCATION_OF,Nasopharynx,Possible,bpoc,qlco,2,LOCATION_OF_BPOClocfQLCO
