cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003483,C0005767,LOCATION_OF,Aorta,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0006104,C0005767,LOCATION_OF,Brain,Blood,bpoc,tisu,4,LOCATION_OF_BPOClocfTISU
C0006901,C0005767,LOCATION_OF,Blood capillaries,Blood,bpoc,tisu,2,LOCATION_OF_BPOClocfTISU
C0007531,C0005767,LOCATION_OF,Cecum,Blood,bpoc,tisu,2,LOCATION_OF_BPOClocfTISU
C0015809,C0005767,LOCATION_OF,Femoral vein,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0018563,C0005767,LOCATION_OF,Hand,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0018787,C0005767,LOCATION_OF,Heart,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0021852,C0005767,LOCATION_OF,"Intestines, Small",Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0021853,C0005767,LOCATION_OF,Intestines,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0022646,C0005767,LOCATION_OF,Kidney,Blood,bpoc,tisu,4,LOCATION_OF_BPOClocfTISU
C0023884,C0005767,LOCATION_OF,Liver,Blood,bpoc,tisu,4,LOCATION_OF_BPOClocfTISU
C0024109,C0005767,LOCATION_OF,Lung,Blood,bpoc,tisu,9,LOCATION_OF_BPOClocfTISU
C0024204,C0005767,LOCATION_OF,lymph nodes,Blood,bpoc,tisu,2,LOCATION_OF_BPOClocfTISU
C0028429,C0005767,LOCATION_OF,Nose,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0036186,C0005767,LOCATION_OF,Saphenous Vein,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0037993,C0005767,LOCATION_OF,Spleen,Blood,bpoc,tisu,7,LOCATION_OF_BPOClocfTISU
C0038351,C0005767,LOCATION_OF,Stomach,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0038445,C0005767,LOCATION_OF,Stria Vascularis,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0040357,C0005767,LOCATION_OF,Toes,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0040421,C0005767,LOCATION_OF,Palatine Tonsil,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0040578,C0005767,LOCATION_OF,Trachea,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0042449,C0005767,LOCATION_OF,Veins,Blood,bpoc,tisu,2,LOCATION_OF_BPOClocfTISU
C0042520,C0005767,LOCATION_OF,Structure of venule,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0178784,C0005767,LOCATION_OF,Organ,Blood,bpoc,tisu,3,LOCATION_OF_BPOClocfTISU
C0229315,C0005767,LOCATION_OF,Ear lobe,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0229686,C0005767,LOCATION_OF,Malpighian corpuscles,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0458827,C0005767,LOCATION_OF,Airway structure,Blood,bpoc,tisu,2,LOCATION_OF_BPOClocfTISU
C0459764,C0005767,LOCATION_OF,Pulp of finger,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0489877,C0005767,LOCATION_OF,Vasculature of lung,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0502330,C0005767,LOCATION_OF,Lymphoid organ structure,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0559910,C0005767,LOCATION_OF,Orbital vein,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0598051,C0005767,LOCATION_OF,vascular bed,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0933845,C0005767,LOCATION_OF,Parenchyma,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C0935624,C0005767,LOCATION_OF,Capillary vessel,Blood,bpoc,tisu,2,LOCATION_OF_BPOClocfTISU
C1184808,C0005767,LOCATION_OF,Plexus,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
C3686712,C0005767,LOCATION_OF,Uropatagium,Blood,bpoc,tisu,1,LOCATION_OF_BPOClocfTISU
