cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003087,C0041834,LOCATION_OF,Ankle joint structure,Erythema,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0022417,C0003123,LOCATION_OF,Joints,Anorexia,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0022417,C0030193,LOCATION_OF,Joints,Pain,bsoj,sosy,4,LOCATION_OF_BSOJlocfSOSY
C0022417,C0041834,LOCATION_OF,Joints,Erythema,bsoj,sosy,2,LOCATION_OF_BSOJlocfSOSY
C0022417,C0231218,LOCATION_OF,Joints,Malaise,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0022417,C0231528,LOCATION_OF,Joints,Myalgia,bsoj,sosy,4,LOCATION_OF_BSOJlocfSOSY
C0022417,C0234233,LOCATION_OF,Joints,Sore to touch,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0022417,C0278138,LOCATION_OF,Joints,Mild pain,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0022417,C0278140,LOCATION_OF,Joints,Severe pain,bsoj,sosy,14,LOCATION_OF_BSOJlocfSOSY
C0022417,C0391860,LOCATION_OF,Joints,Diffuse inflammation,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0022417,C0427008,LOCATION_OF,Joints,Stiffness,bsoj,sosy,3,LOCATION_OF_BSOJlocfSOSY
C0022417,C2032741,LOCATION_OF,Joints,painless Oral ulcers,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0024957,C0015468,LOCATION_OF,Maxillary Sinus,Facial Pain,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0024957,C0040460,LOCATION_OF,Maxillary Sinus,Toothache,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0024957,C0234233,LOCATION_OF,Maxillary Sinus,Sore to touch,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0024957,C0264272,LOCATION_OF,Maxillary Sinus,Purulent rhinitis,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0027423,C0016382,LOCATION_OF,Nasal cavity,Flushing,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0027423,C0231218,LOCATION_OF,Nasal cavity,Malaise,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0027423,C0850149,LOCATION_OF,Nasal cavity,Dry cough,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0027423,C1260880,LOCATION_OF,Nasal cavity,Rhinorrhea,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0225377,C0020672,LOCATION_OF,Structure of upper respiratory tract cavity,"Hypothermia, natural",bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0225377,C1260880,LOCATION_OF,Structure of upper respiratory tract cavity,Rhinorrhea,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0226896,C0010200,LOCATION_OF,Oral cavity,Coughing,bsoj,sosy,3,LOCATION_OF_BSOJlocfSOSY
C0226896,C0010520,LOCATION_OF,Oral cavity,Cyanosis,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0226896,C0013144,LOCATION_OF,Oral cavity,Drowsiness,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0226896,C0030552,LOCATION_OF,Oral cavity,Paresis,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0226896,C0033774,LOCATION_OF,Oral cavity,Pruritus,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0226896,C0036572,LOCATION_OF,Oral cavity,Seizures,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0226896,C0037383,LOCATION_OF,Oral cavity,Sneezing,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0226896,C0041834,LOCATION_OF,Oral cavity,Erythema,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0226896,C0042963,LOCATION_OF,Oral cavity,Vomiting,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0226896,C0085624,LOCATION_OF,Oral cavity,Burning sensation,bsoj,sosy,2,LOCATION_OF_BSOJlocfSOSY
C0226896,C0231835,LOCATION_OF,Oral cavity,Tachypnea,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0226896,C0278140,LOCATION_OF,Oral cavity,Severe pain,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0226896,C0333271,LOCATION_OF,Oral cavity,Bloody discharge finding,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0226896,C0391860,LOCATION_OF,Oral cavity,Diffuse inflammation,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
C0226896,C1096446,LOCATION_OF,Oral cavity,slight fever,bsoj,sosy,1,LOCATION_OF_BSOJlocfSOSY
