cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004461,C0003241,LOCATION_OF,Axon,Antibodies,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0004461,C0003250,LOCATION_OF,Axon,Monoclonal Antibodies,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0004461,C0021666,LOCATION_OF,Axon,insulin-like growth factor 2,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0004461,C0030940,LOCATION_OF,Axon,Peptide Hydrolases,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0004461,C0065661,LOCATION_OF,Axon,Mannose Binding Lectin,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0004461,C0065827,LOCATION_OF,Axon,Measles Virus Nucleoprotein,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0004461,C0085151,LOCATION_OF,Axon,Amyloid beta-Protein Precursor,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0004461,C1417006,LOCATION_OF,Axon,MAP2 gene,celc,aapp,2,LOCATION_OF_CELClocfAAPP
C0004461,C1449159,LOCATION_OF,Axon,"CCL2 protein, human",celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0004461,C1454489,LOCATION_OF,Axon,"MAPT protein, human",celc,aapp,2,LOCATION_OF_CELClocfAAPP
C0007592,C0001271,LOCATION_OF,Cell Extracts,Actins,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007592,C0008169,LOCATION_OF,Cell Extracts,Chloramphenicol O-Acetyltransferase,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007592,C0042736,LOCATION_OF,Cell Extracts,Viral Proteins,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007592,C0379214,LOCATION_OF,Cell Extracts,"pros protein, Drosophila",celc,aapp,2,LOCATION_OF_CELClocfAAPP
C0007592,C0700271,LOCATION_OF,Cell Extracts,"M Protein, multiple myeloma",celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007592,C1415174,LOCATION_OF,Cell Extracts,GOLGA2 gene,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007592,C1417005,LOCATION_OF,Cell Extracts,MAP1LC3A gene,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007592,C1453853,LOCATION_OF,Cell Extracts,"WNK1 protein, human",celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007592,C1539614,LOCATION_OF,Cell Extracts,GREM1 gene,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007592,C1624602,LOCATION_OF,Cell Extracts,Anti-Antibodies,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007592,C1824509,LOCATION_OF,Cell Extracts,RTCB gene,celc,aapp,2,LOCATION_OF_CELClocfAAPP
C0007592,C2744579,LOCATION_OF,Cell Extracts,"ATP8A2 protein, human",celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007592,C3811063,LOCATION_OF,Cell Extracts,SLC27A4 wt Allele,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0001271,LOCATION_OF,Plasma membrane,Actins,celc,aapp,2,LOCATION_OF_CELClocfAAPP
C0007603,C0001473,LOCATION_OF,Plasma membrane,Adenosine Triphosphatases,celc,aapp,3,LOCATION_OF_CELClocfAAPP
C0007603,C0001479,LOCATION_OF,Plasma membrane,Na(+)-K(+)-Exchanging ATPase,celc,aapp,2,LOCATION_OF_CELClocfAAPP
C0007603,C0001898,LOCATION_OF,Plasma membrane,Alanine,celc,aapp,2,LOCATION_OF_CELClocfAAPP
C0007603,C0003241,LOCATION_OF,Plasma membrane,Antibodies,celc,aapp,2,LOCATION_OF_CELClocfAAPP
C0007603,C0003323,LOCATION_OF,Plasma membrane,CD4 Antigens,celc,aapp,2,LOCATION_OF_CELClocfAAPP
C0007603,C0004627,LOCATION_OF,Plasma membrane,Bacterial Proteins,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0006631,LOCATION_OF,Plasma membrane,Cadherins,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0006784,LOCATION_OF,Plasma membrane,Calpain,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0007292,LOCATION_OF,Plasma membrane,Carrier Proteins,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0007428,LOCATION_OF,Plasma membrane,Cathepsins,celc,aapp,5,LOCATION_OF_CELClocfAAPP
C0007603,C0008546,LOCATION_OF,Plasma membrane,Chromatin,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0008905,LOCATION_OF,Plasma membrane,Clathrin,celc,aapp,3,LOCATION_OF_CELClocfAAPP
C0007603,C0010590,LOCATION_OF,Plasma membrane,Cycloserine,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0010760,LOCATION_OF,Plasma membrane,CYTOCHROME C OXIDASE,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0010852,LOCATION_OF,Plasma membrane,Cytoskeletal Proteins,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0012550,LOCATION_OF,Plasma membrane,Diphtheria Toxin,celc,aapp,2,LOCATION_OF_CELClocfAAPP
C0007603,C0013729,LOCATION_OF,Plasma membrane,Eukaryotic Initiation Factor-2,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0016194,LOCATION_OF,Plasma membrane,Flagellin,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0017278,LOCATION_OF,Plasma membrane,"Gene Products, env",celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0017279,LOCATION_OF,Plasma membrane,"Gene Products, gag",celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0017360,LOCATION_OF,Plasma membrane,pol genes,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0017742,LOCATION_OF,Plasma membrane,Glucose Transporter,celc,aapp,2,LOCATION_OF_CELClocfAAPP
C0007603,C0017968,LOCATION_OF,Plasma membrane,Glycoproteins,celc,aapp,8,LOCATION_OF_CELClocfAAPP
C0007603,C0018358,LOCATION_OF,Plasma membrane,Guanylate Cyclase,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0018440,LOCATION_OF,Plasma membrane,Proton Pump,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0019046,LOCATION_OF,Plasma membrane,Hemoglobin,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0019629,LOCATION_OF,Plasma membrane,Histocompatibility Antigens Class I,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0019796,LOCATION_OF,Plasma membrane,HMGB1 Protein,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0021699,LOCATION_OF,Plasma membrane,Integral Membrane Proteins,celc,aapp,9,LOCATION_OF_CELClocfAAPP
C0007603,C0021701,LOCATION_OF,Plasma membrane,Integrins,celc,aapp,7,LOCATION_OF_CELClocfAAPP
C0007603,C0021755,LOCATION_OF,Plasma membrane,Interleukin-1,celc,aapp,2,LOCATION_OF_CELClocfAAPP
C0007603,C0022009,LOCATION_OF,Plasma membrane,Ion Channel,celc,aapp,4,LOCATION_OF_CELClocfAAPP
C0007603,C0022192,LOCATION_OF,Plasma membrane,Isoleucine,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0022709,LOCATION_OF,Plasma membrane,Peptidyl-Dipeptidase A,celc,aapp,2,LOCATION_OF_CELClocfAAPP
C0007603,C0023206,LOCATION_OF,Plasma membrane,Lectin,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0025248,LOCATION_OF,Plasma membrane,Membrane Glycoproteins,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0025252,LOCATION_OF,Plasma membrane,Membrane Proteins,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0025543,LOCATION_OF,Plasma membrane,Metalloproteases,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0027597,LOCATION_OF,Plasma membrane,Zinostatin,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0027803,LOCATION_OF,Plasma membrane,Neuraminidase,celc,aapp,3,LOCATION_OF_CELClocfAAPP
C0007603,C0028589,LOCATION_OF,Plasma membrane,Nuclear Proteins,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0028954,LOCATION_OF,Plasma membrane,Oligopeptides,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0030940,LOCATION_OF,Plasma membrane,Peptide Hydrolases,celc,aapp,3,LOCATION_OF_CELClocfAAPP
C0007603,C0031165,LOCATION_OF,Plasma membrane,permease,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0031515,LOCATION_OF,Plasma membrane,Pheromone Receptors,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0031678,LOCATION_OF,Plasma membrane,Phosphoric Monoester Hydrolases,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0031727,LOCATION_OF,Plasma membrane,Phosphotransferases,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0032824,LOCATION_OF,Plasma membrane,Potassium Channel,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0033382,LOCATION_OF,Plasma membrane,Proline,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0034783,LOCATION_OF,Plasma membrane,Adrenergic Receptor,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0034789,LOCATION_OF,Plasma membrane,"Receptors, Antigen, B-Cell",celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0034790,LOCATION_OF,Plasma membrane,T-Cell Receptor,celc,aapp,3,LOCATION_OF_CELClocfAAPP
C0007603,C0034800,LOCATION_OF,Plasma membrane,"Receptors, Cell Surface",celc,aapp,4,LOCATION_OF_CELClocfAAPP
C0007603,C0034802,LOCATION_OF,Plasma membrane,Epidermal Growth Factor Receptor,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0034818,LOCATION_OF,Plasma membrane,Insulin Receptor,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0034828,LOCATION_OF,Plasma membrane,Neurotransmitter Receptor,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0034845,LOCATION_OF,Plasma membrane,Transferrin Receptor,celc,aapp,2,LOCATION_OF_CELClocfAAPP
C0007603,C0034848,LOCATION_OF,Plasma membrane,"Receptors, Virus",celc,aapp,5,LOCATION_OF_CELClocfAAPP
C0007603,C0036734,LOCATION_OF,Plasma membrane,Serine Endopeptidases,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0037903,LOCATION_OF,Plasma membrane,SPHINGOMYELINASE,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0040679,LOCATION_OF,Plasma membrane,Transferrin,celc,aapp,2,LOCATION_OF_CELClocfAAPP
C0007603,C0040691,LOCATION_OF,Plasma membrane,Transforming Growth Factors,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0041236,LOCATION_OF,Plasma membrane,TRYPSIN,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0041485,LOCATION_OF,Plasma membrane,Tyrosine,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0042666,LOCATION_OF,Plasma membrane,Vimentin,celc,aapp,5,LOCATION_OF_CELClocfAAPP
C0007603,C0042717,LOCATION_OF,Plasma membrane,Viral Fusion Proteins,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0042731,LOCATION_OF,Plasma membrane,Viral Matrix Proteins,celc,aapp,2,LOCATION_OF_CELClocfAAPP
C0007603,C0042736,LOCATION_OF,Plasma membrane,Viral Proteins,celc,aapp,11,LOCATION_OF_CELClocfAAPP
C0007603,C0042738,LOCATION_OF,Plasma membrane,Viral Structural Proteins,celc,aapp,2,LOCATION_OF_CELClocfAAPP
C0007603,C0052088,LOCATION_OF,Plasma membrane,antiporter,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0052193,LOCATION_OF,Plasma membrane,apolipoprotein D,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0054943,LOCATION_OF,Plasma membrane,ALANINE AMINOPEPTIDASE,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0055817,LOCATION_OF,Plasma membrane,citrate carrier,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0056080,LOCATION_OF,Plasma membrane,cofilin,celc,aapp,2,LOCATION_OF_CELClocfAAPP
C0007603,C0056889,LOCATION_OF,Plasma membrane,Cystic Fibrosis Transmembrane Conductance Regulator,celc,aapp,2,LOCATION_OF_CELClocfAAPP
C0007603,C0059973,LOCATION_OF,Plasma membrane,ezrin,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0062503,LOCATION_OF,Plasma membrane,Heparan Sulfate Proteoglycans,celc,aapp,6,LOCATION_OF_CELClocfAAPP
C0007603,C0063695,LOCATION_OF,Plasma membrane,Intercellular adhesion molecule 1,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0068355,LOCATION_OF,Plasma membrane,NADPH Oxidase,celc,aapp,2,LOCATION_OF_CELClocfAAPP
C0007603,C0068563,LOCATION_OF,Plasma membrane,Growth Associated Protein 43,celc,aapp,1,LOCATION_OF_CELClocfAAPP
C0007603,C0070410,LOCATION_OF,Plasma membrane,perforin,celc,aapp,1,LOCATION_OF_CELClocfAAPP
