cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007603,C0013089,LOCATION_OF,Plasma membrane,Doxorubicin,celc,antb,2,LOCATION_OF_CELClocfANTB
C0007603,C0026408,LOCATION_OF,Plasma membrane,Monensin,celc,antb,1,LOCATION_OF_CELClocfANTB
C0007603,C0035608,LOCATION_OF,Plasma membrane,Rifampin,celc,antb,1,LOCATION_OF_CELClocfANTB
C0007610,C0013089,LOCATION_OF,Cell Nucleus,Doxorubicin,celc,antb,1,LOCATION_OF_CELClocfANTB
C0007637,C0010572,LOCATION_OF,Inclusion Bodies,Cycloheximide,celc,antb,1,LOCATION_OF_CELClocfANTB
C0010834,C0056224,LOCATION_OF,Cytoplasm,concanamycin A,celc,antb,1,LOCATION_OF_CELClocfANTB
C0026046,C0030842,LOCATION_OF,Microtubules,Penicillins,celc,antb,1,LOCATION_OF_CELClocfANTB
C0032592,C0010572,LOCATION_OF,Polyribosomes,Cycloheximide,celc,antb,1,LOCATION_OF_CELClocfANTB
C0038528,C0010572,LOCATION_OF,Subcellular Fractions,Cycloheximide,celc,antb,1,LOCATION_OF_CELClocfANTB
C0175996,C0072980,LOCATION_OF,Protoplasm,Sirolimus,celc,antb,1,LOCATION_OF_CELClocfANTB
C0521119,C0072980,LOCATION_OF,Extracellular,Sirolimus,celc,antb,1,LOCATION_OF_CELClocfANTB
C0596901,C0035608,LOCATION_OF,Membrane,Rifampin,celc,antb,1,LOCATION_OF_CELClocfANTB
C1325692,C0056224,LOCATION_OF,central vacuole,concanamycin A,celc,antb,1,LOCATION_OF_CELClocfANTB
C2350332,C0035608,LOCATION_OF,Exosomes,Rifampin,celc,antb,1,LOCATION_OF_CELClocfANTB
C2611786,C0054036,LOCATION_OF,endoplasmic reticulum-Golgi intermediate compartment,Brefeldin A,celc,antb,1,LOCATION_OF_CELClocfANTB
