cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004461,C0017082,LOCATION_OF,Axon,Gangliosides,celc,bacs,2,LOCATION_OF_CELClocfBACS
C0004461,C0031676,LOCATION_OF,Axon,Phospholipids,celc,bacs,1,LOCATION_OF_CELClocfBACS
C0007592,C0038636,LOCATION_OF,Cell Extracts,Sucrose,celc,bacs,1,LOCATION_OF_CELClocfBACS
C0007603,C0004630,LOCATION_OF,Plasma membrane,Bacterial Toxins,celc,bacs,1,LOCATION_OF_CELClocfBACS
C0007603,C0005390,LOCATION_OF,Plasma membrane,Bile Acids,celc,bacs,2,LOCATION_OF_CELClocfBACS
C0007603,C0005404,LOCATION_OF,Plasma membrane,Bile Salts,celc,bacs,1,LOCATION_OF_CELClocfBACS
C0007603,C0007745,LOCATION_OF,Plasma membrane,Ceramides,celc,bacs,1,LOCATION_OF_CELClocfBACS
C0007603,C0008377,LOCATION_OF,Plasma membrane,Cholesterol,celc,bacs,27,LOCATION_OF_CELClocfBACS
C0007603,C0015684,LOCATION_OF,Plasma membrane,Fatty Acids,celc,bacs,1,LOCATION_OF_CELClocfBACS
C0007603,C0016895,LOCATION_OF,Plasma membrane,Ganglioside GM1,celc,bacs,2,LOCATION_OF_CELClocfBACS
C0007603,C0017082,LOCATION_OF,Plasma membrane,Gangliosides,celc,bacs,3,LOCATION_OF_CELClocfBACS
C0007603,C0019143,LOCATION_OF,Plasma membrane,Heparitin Sulfate,celc,bacs,1,LOCATION_OF_CELClocfBACS
C0007603,C0031621,LOCATION_OF,Plasma membrane,Phosphatidylinositols,celc,bacs,4,LOCATION_OF_CELClocfBACS
C0007603,C0031676,LOCATION_OF,Plasma membrane,Phospholipids,celc,bacs,8,LOCATION_OF_CELClocfBACS
C0007603,C0032615,LOCATION_OF,Plasma membrane,Polyunsaturated Fatty Acids,celc,bacs,1,LOCATION_OF_CELClocfBACS
C0007603,C0037473,LOCATION_OF,Plasma membrane,Sodium,celc,bacs,3,LOCATION_OF_CELClocfBACS
C0007603,C0037906,LOCATION_OF,Plasma membrane,Sphingomyelins,celc,bacs,3,LOCATION_OF_CELClocfBACS
C0007603,C0040549,LOCATION_OF,Plasma membrane,Toxin,celc,bacs,1,LOCATION_OF_CELClocfBACS
C0007603,C0064582,LOCATION_OF,Plasma membrane,Lactic acid,celc,bacs,1,LOCATION_OF_CELClocfBACS
C0007603,C0067762,LOCATION_OF,Plasma membrane,N-Acetylneuraminic Acid,celc,bacs,1,LOCATION_OF_CELClocfBACS
C0007603,C0368909,LOCATION_OF,Plasma membrane,Non-esterified cholesterol,celc,bacs,1,LOCATION_OF_CELClocfBACS
C0007603,C0917889,LOCATION_OF,Plasma membrane,Leader Signal Peptides,celc,bacs,1,LOCATION_OF_CELClocfBACS
C0007623,C0008141,LOCATION_OF,Cell Wall,Chitin,celc,bacs,1,LOCATION_OF_CELClocfBACS
C0007623,C0017950,LOCATION_OF,Cell Wall,Glycolipids,celc,bacs,1,LOCATION_OF_CELClocfBACS
C0007623,C0018966,LOCATION_OF,Cell Wall,Heme,celc,bacs,2,LOCATION_OF_CELClocfBACS
C0007623,C0025196,LOCATION_OF,Cell Wall,Melanins,celc,bacs,1,LOCATION_OF_CELClocfBACS
C0007623,C0030958,LOCATION_OF,Cell Wall,Peptidoglycan,celc,bacs,2,LOCATION_OF_CELClocfBACS
C0007623,C0039444,LOCATION_OF,Cell Wall,Teichoic Acids,celc,bacs,1,LOCATION_OF_CELClocfBACS
C0010834,C0008377,LOCATION_OF,Cytoplasm,Cholesterol,celc,bacs,1,LOCATION_OF_CELClocfBACS
C0010834,C0018284,LOCATION_OF,Cytoplasm,Growth Factor,celc,bacs,1,LOCATION_OF_CELClocfBACS
C0010834,C0018966,LOCATION_OF,Cytoplasm,Heme,celc,bacs,2,LOCATION_OF_CELClocfBACS
C0010834,C0031617,LOCATION_OF,Cytoplasm,Lecithin,celc,bacs,1,LOCATION_OF_CELClocfBACS
C0010834,C0031621,LOCATION_OF,Cytoplasm,Phosphatidylinositols,celc,bacs,1,LOCATION_OF_CELClocfBACS
C0010834,C0040549,LOCATION_OF,Cytoplasm,Toxin,celc,bacs,2,LOCATION_OF_CELClocfBACS
C0010834,C0043791,LOCATION_OF,Cytoplasm,"1,2-diacylglycerol",celc,bacs,1,LOCATION_OF_CELClocfBACS
