cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007603,C0018026,LOCATION_OF,Plasma membrane,Gold,celc,elii,1,LOCATION_OF_CELClocfELII
C0007603,C0022023,LOCATION_OF,Plasma membrane,Ions,celc,elii,6,LOCATION_OF_CELClocfELII
C0007603,C0033727,LOCATION_OF,Plasma membrane,Protons,celc,elii,4,LOCATION_OF_CELClocfELII
C0007603,C0053548,LOCATION_OF,Plasma membrane,Bicarbonate Ions,celc,elii,1,LOCATION_OF_CELClocfELII
C0007603,C0596235,LOCATION_OF,Plasma membrane,Calcium ion,celc,elii,4,LOCATION_OF_CELClocfELII
C0007610,C0567415,LOCATION_OF,Cell Nucleus,Atom (substance),celc,elii,1,LOCATION_OF_CELClocfELII
C0007623,C0022023,LOCATION_OF,Cell Wall,Ions,celc,elii,1,LOCATION_OF_CELClocfELII
C0010834,C0025424,LOCATION_OF,Cytoplasm,Mercury,celc,elii,1,LOCATION_OF_CELClocfELII
C0010834,C0596235,LOCATION_OF,Cytoplasm,Calcium ion,celc,elii,5,LOCATION_OF_CELClocfELII
C0010834,C2346661,LOCATION_OF,Cytoplasm,Pb2+,celc,elii,1,LOCATION_OF_CELClocfELII
C0014239,C0596235,LOCATION_OF,Endoplasmic Reticulum,Calcium ion,celc,elii,4,LOCATION_OF_CELClocfELII
C0014239,C2346661,LOCATION_OF,Endoplasmic Reticulum,Pb2+,celc,elii,1,LOCATION_OF_CELClocfELII
C0018042,C0018026,LOCATION_OF,Golgi Apparatus,Gold,celc,elii,3,LOCATION_OF_CELClocfELII
C0021868,C0022023,LOCATION_OF,Intracellular Membranes,Ions,celc,elii,1,LOCATION_OF_CELClocfELII
C0023768,C0022023,LOCATION_OF,Lipid Bilayers,Ions,celc,elii,2,LOCATION_OF_CELClocfELII
C0024369,C0033727,LOCATION_OF,Lysosomes,Protons,celc,elii,2,LOCATION_OF_CELClocfELII
C0024369,C0596235,LOCATION_OF,Lysosomes,Calcium ion,celc,elii,3,LOCATION_OF_CELClocfELII
C0026029,C0022023,LOCATION_OF,Microsomes,Ions,celc,elii,1,LOCATION_OF_CELClocfELII
C0026237,C0022023,LOCATION_OF,Mitochondria,Ions,celc,elii,1,LOCATION_OF_CELClocfELII
C0026237,C0030054,LOCATION_OF,Mitochondria,Oxygen,celc,elii,1,LOCATION_OF_CELClocfELII
C0026237,C0038836,LOCATION_OF,Mitochondria,Superoxides,celc,elii,4,LOCATION_OF_CELClocfELII
C0026237,C0596235,LOCATION_OF,Mitochondria,Calcium ion,celc,elii,3,LOCATION_OF_CELClocfELII
C0026237,C2346661,LOCATION_OF,Mitochondria,Pb2+,celc,elii,1,LOCATION_OF_CELClocfELII
C0026237,C2349968,LOCATION_OF,Mitochondria,Boron 3+,celc,elii,1,LOCATION_OF_CELClocfELII
C0029219,C0596235,LOCATION_OF,Organelles,Calcium ion,celc,elii,4,LOCATION_OF_CELClocfELII
C0031310,C0022023,LOCATION_OF,Phagosomes,Ions,celc,elii,1,LOCATION_OF_CELClocfELII
C0034850,C0022023,LOCATION_OF,Endosomes,Ions,celc,elii,1,LOCATION_OF_CELClocfELII
C0034850,C0033727,LOCATION_OF,Endosomes,Protons,celc,elii,2,LOCATION_OF_CELClocfELII
C0036226,C0596235,LOCATION_OF,Sarcoplasmic Reticulum,Calcium ion,celc,elii,1,LOCATION_OF_CELClocfELII
C0175996,C0596235,LOCATION_OF,Protoplasm,Calcium ion,celc,elii,1,LOCATION_OF_CELClocfELII
C0230756,C0033727,LOCATION_OF,Solitary microtubule component of centriole or axonemal complex,Protons,celc,elii,1,LOCATION_OF_CELClocfELII
C0230770,C0022023,LOCATION_OF,"Endoplasmic reticulum, membrane",Ions,celc,elii,1,LOCATION_OF_CELClocfELII
C0230770,C0596235,LOCATION_OF,"Endoplasmic reticulum, membrane",Calcium ion,celc,elii,3,LOCATION_OF_CELClocfELII
C0230779,C0682906,LOCATION_OF,Rough endoplasmic reticulum,Transition Elements,celc,elii,1,LOCATION_OF_CELClocfELII
C0333763,C0596019,LOCATION_OF,Central cores,Chloride Ion,celc,elii,2,LOCATION_OF_CELClocfELII
