cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007603,C0039654,LOCATION_OF,Plasma membrane,Tetradecanoylphorbol Acetate,celc,hops,1,LOCATION_OF_CELClocfHOPS
C0007623,C0014264,LOCATION_OF,Cell Wall,Endotoxins,celc,hops,1,LOCATION_OF_CELClocfHOPS
C0010834,C0058229,LOCATION_OF,Cytoplasm,dimethyl sulfate,celc,hops,1,LOCATION_OF_CELClocfHOPS
C0010834,C0950580,LOCATION_OF,Cytoplasm,sentinel,celc,hops,2,LOCATION_OF_CELClocfHOPS
C0014239,C0032346,LOCATION_OF,Endoplasmic Reticulum,Poisons,celc,hops,1,LOCATION_OF_CELClocfHOPS
C0023768,C0001963,LOCATION_OF,Lipid Bilayers,Methanol,celc,hops,1,LOCATION_OF_CELClocfHOPS
C0026237,C0599787,LOCATION_OF,Mitochondria,toxicant,celc,hops,1,LOCATION_OF_CELClocfHOPS
C0026973,C0597329,LOCATION_OF,Myelin Sheath,Pyrethroids,celc,hops,1,LOCATION_OF_CELClocfHOPS
C0034850,C0028017,LOCATION_OF,Endosomes,Niclosamide,celc,hops,1,LOCATION_OF_CELClocfHOPS
C0175996,C0950580,LOCATION_OF,Protoplasm,sentinel,celc,hops,1,LOCATION_OF_CELClocfHOPS
C0206524,C0040329,LOCATION_OF,Plastids,Tobacco,celc,hops,1,LOCATION_OF_CELClocfHOPS
C0333829,C0260049,LOCATION_OF,Azurophilic granules,Neurotoxic agents,celc,hops,1,LOCATION_OF_CELClocfHOPS
C0597729,C0029385,LOCATION_OF,Spindle Pole Body,Osmium Tetroxide,celc,hops,2,LOCATION_OF_CELClocfHOPS
C0699040,C0015309,LOCATION_OF,Cell surface,Exotoxins,celc,hops,1,LOCATION_OF_CELClocfHOPS
C0699040,C0302339,LOCATION_OF,Cell surface,Systemic poison,celc,hops,1,LOCATION_OF_CELClocfHOPS
C1166795,C0032346,LOCATION_OF,Spindle,Poisons,celc,hops,3,LOCATION_OF_CELClocfHOPS
C1167033,C0066256,LOCATION_OF,symbiont-containing vacuole,methyl isocyanate,celc,hops,1,LOCATION_OF_CELClocfHOPS
C1167331,C0014264,LOCATION_OF,outer membrane,Endotoxins,celc,hops,1,LOCATION_OF_CELClocfHOPS
C1167395,C0040329,LOCATION_OF,Host (organism),Tobacco,celc,hops,1,LOCATION_OF_CELClocfHOPS
C1179907,C0028017,LOCATION_OF,Wall of endosome,Niclosamide,celc,hops,1,LOCATION_OF_CELClocfHOPS
C1511546,C0070813,LOCATION_OF,Crosslinker,phosphine,celc,hops,1,LOCATION_OF_CELClocfHOPS
