cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007603,C0806140,LOCATION_OF,Plasma membrane,Flow,celc,orga,2,LOCATION_OF_CELClocfORGA
C0014239,C0806140,LOCATION_OF,Endoplasmic Reticulum,Flow,celc,orga,1,LOCATION_OF_CELClocfORGA
C0025979,C0806140,LOCATION_OF,Microfilaments,Flow,celc,orga,1,LOCATION_OF_CELClocfORGA
C0035553,C0806140,LOCATION_OF,Ribosomes,Flow,celc,orga,1,LOCATION_OF_CELClocfORGA
C0230764,C0806140,LOCATION_OF,Golgi membrane,Flow,celc,orga,1,LOCATION_OF_CELClocfORGA
C0230779,C0806140,LOCATION_OF,Rough endoplasmic reticulum,Flow,celc,orga,1,LOCATION_OF_CELClocfORGA
C0596901,C0806140,LOCATION_OF,Membrane,Flow,celc,orga,7,LOCATION_OF_CELClocfORGA
C0682529,C0806140,LOCATION_OF,biological membrane,Flow,celc,orga,1,LOCATION_OF_CELClocfORGA
C0887838,C0806140,LOCATION_OF,trans-Golgi Network,Flow,celc,orga,1,LOCATION_OF_CELClocfORGA
C1325742,C0806140,LOCATION_OF,Pore,Flow,celc,orga,1,LOCATION_OF_CELClocfORGA
