cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001280,C0028128,LOCATION_OF,Armed macrophage,Nitric Oxide,cell,bacs,3,LOCATION_OF_CELLlocfBACS
C0004112,C0003320,LOCATION_OF,Astrocytes,Antigens,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0004112,C0006675,LOCATION_OF,Astrocytes,Calcium,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0004827,C0019588,LOCATION_OF,Basophils,Histamine,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0005955,C0162772,LOCATION_OF,Bone Marrow Cells,Reactive Oxygen Species,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0007600,C0010731,LOCATION_OF,Cultured Cell Line,Cytidine Monophosphate N-Acetylneuraminic Acid,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0007600,C0017950,LOCATION_OF,Cultured Cell Line,Glycolipids,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0007600,C0018284,LOCATION_OF,Cultured Cell Line,Growth Factor,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0007600,C0019134,LOCATION_OF,Cultured Cell Line,heparin,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0007600,C0037871,LOCATION_OF,Cultured Cell Line,spermidine,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0007600,C0038636,LOCATION_OF,Cultured Cell Line,Sucrose,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0007600,C0067762,LOCATION_OF,Cultured Cell Line,N-Acetylneuraminic Acid,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0007600,C0242611,LOCATION_OF,Cultured Cell Line,"Codon, Terminator",cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0007600,C0600600,LOCATION_OF,Cultured Cell Line,3' Untranslated Regions,cell,bacs,2,LOCATION_OF_CELLlocfBACS
C0007600,C1101610,LOCATION_OF,Cultured Cell Line,MicroRNAs,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0011306,C0015689,LOCATION_OF,Dendritic Cells,Omega-3 Fatty Acids,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0011306,C0016895,LOCATION_OF,Dendritic Cells,Ganglioside GM1,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0011306,C0033554,LOCATION_OF,Dendritic Cells,Prostaglandins,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0014597,C0028128,LOCATION_OF,Epithelial Cells,Nitric Oxide,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0014597,C0039444,LOCATION_OF,Epithelial Cells,Teichoic Acids,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0014597,C0040549,LOCATION_OF,Epithelial Cells,Toxin,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0014597,C0043481,LOCATION_OF,Epithelial Cells,Zinc,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0014597,C0067762,LOCATION_OF,Epithelial Cells,N-Acetylneuraminic Acid,cell,bacs,3,LOCATION_OF_CELLlocfBACS
C0014597,C0162772,LOCATION_OF,Epithelial Cells,Reactive Oxygen Species,cell,bacs,3,LOCATION_OF_CELLlocfBACS
C0014597,C1136170,LOCATION_OF,Epithelial Cells,Virulence Factors,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0014792,C0028128,LOCATION_OF,Erythrocytes,Nitric Oxide,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0015161,C0009221,LOCATION_OF,Eukaryotic Cells,Codon (nucleotide sequence),cell,bacs,2,LOCATION_OF_CELLlocfBACS
C0015161,C0040549,LOCATION_OF,Eukaryotic Cells,Toxin,cell,bacs,2,LOCATION_OF_CELLlocfBACS
C0015161,C0242611,LOCATION_OF,Eukaryotic Cells,"Codon, Terminator",cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0016030,C0028128,LOCATION_OF,Fibroblasts,Nitric Oxide,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0016030,C0038636,LOCATION_OF,Fibroblasts,Sucrose,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0016030,C0040815,LOCATION_OF,Fibroblasts,Trehalose,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0016030,C0052485,LOCATION_OF,Fibroblasts,asialo GM1 ganglioside,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0016030,C0162772,LOCATION_OF,Fibroblasts,Reactive Oxygen Species,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0017473,C0600466,LOCATION_OF,Germ Line,Endogenous Retroviruses,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0018183,C0019588,LOCATION_OF,granulocyte,Histamine,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0018873,C0013900,LOCATION_OF,HeLa Cells,Ellagic Acid,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0018873,C0016895,LOCATION_OF,HeLa Cells,Ganglioside GM1,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0018873,C0037494,LOCATION_OF,HeLa Cells,Sodium Chloride,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0018873,C0162772,LOCATION_OF,HeLa Cells,Reactive Oxygen Species,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0018873,C0600600,LOCATION_OF,HeLa Cells,3' Untranslated Regions,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0020204,C0006675,LOCATION_OF,Hybridomas,Calcium,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0020204,C0067762,LOCATION_OF,Hybridomas,N-Acetylneuraminic Acid,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0022567,C0162772,LOCATION_OF,keratinocyte,Reactive Oxygen Species,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0022567,C1620047,LOCATION_OF,keratinocyte,dieckol,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0023516,C0019588,LOCATION_OF,Leukocytes,Histamine,cell,bacs,2,LOCATION_OF_CELLlocfBACS
C0023516,C0028128,LOCATION_OF,Leukocytes,Nitric Oxide,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0024264,C0015684,LOCATION_OF,Lymphocyte,Fatty Acids,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0024264,C0024467,LOCATION_OF,Lymphocyte,Magnesium,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0024264,C0037871,LOCATION_OF,Lymphocyte,spermidine,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0024264,C0162772,LOCATION_OF,Lymphocyte,Reactive Oxygen Species,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0024432,C0008377,LOCATION_OF,macrophage,Cholesterol,cell,bacs,3,LOCATION_OF_CELLlocfBACS
C0024432,C0013982,LOCATION_OF,macrophage,Emodin,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0024432,C0028128,LOCATION_OF,macrophage,Nitric Oxide,cell,bacs,13,LOCATION_OF_CELLlocfBACS
C0024432,C0040549,LOCATION_OF,macrophage,Toxin,cell,bacs,2,LOCATION_OF_CELLlocfBACS
C0024432,C0162772,LOCATION_OF,macrophage,Reactive Oxygen Species,cell,bacs,7,LOCATION_OF_CELLlocfBACS
C0024432,C0302583,LOCATION_OF,macrophage,Iron,cell,bacs,4,LOCATION_OF_CELLlocfBACS
C0024432,C0600466,LOCATION_OF,macrophage,Endogenous Retroviruses,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0024880,C0019134,LOCATION_OF,mast cell,heparin,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0024880,C0019588,LOCATION_OF,mast cell,Histamine,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0024880,C0023545,LOCATION_OF,mast cell,Leukotrienes,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0024880,C0033554,LOCATION_OF,mast cell,Prostaglandins,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0025201,C0025196,LOCATION_OF,melanocyte,Melanins,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0026473,C0018284,LOCATION_OF,Monocytes,Growth Factor,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0026473,C0028128,LOCATION_OF,Monocytes,Nitric Oxide,cell,bacs,4,LOCATION_OF_CELLlocfBACS
C0026473,C0162772,LOCATION_OF,Monocytes,Reactive Oxygen Species,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0027836,C0025196,LOCATION_OF,Neuroglia,Melanins,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0027882,C0006675,LOCATION_OF,Neurons,Calcium,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0027882,C0007289,LOCATION_OF,Neurons,Carrageenan,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0027882,C0008377,LOCATION_OF,Neurons,Cholesterol,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0027882,C0028128,LOCATION_OF,Neurons,Nitric Oxide,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0027882,C0031676,LOCATION_OF,Neurons,Phospholipids,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0027882,C0037473,LOCATION_OF,Neurons,Sodium,cell,bacs,6,LOCATION_OF_CELLlocfBACS
C0027882,C0061202,LOCATION_OF,Neurons,Genistein,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0027882,C0162772,LOCATION_OF,Neurons,Reactive Oxygen Species,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0027950,C0006675,LOCATION_OF,neutrophil,Calcium,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0027950,C0015684,LOCATION_OF,neutrophil,Fatty Acids,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0027950,C0023546,LOCATION_OF,neutrophil,Leukotriene B4,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0027950,C0028128,LOCATION_OF,neutrophil,Nitric Oxide,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0027950,C0043552,LOCATION_OF,neutrophil,Zymosan,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0027950,C0162772,LOCATION_OF,neutrophil,Reactive Oxygen Species,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0028944,C0035339,LOCATION_OF,Oligodendroglia,Retinoids,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0028944,C0060955,LOCATION_OF,Oligodendroglia,galactocerebroside,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0028944,C0302583,LOCATION_OF,Oligodendroglia,Iron,cell,bacs,5,LOCATION_OF_CELLlocfBACS
C0029431,C0036450,LOCATION_OF,Osteoclasts,Scorpion Venoms,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0029974,C0031617,LOCATION_OF,Ovum,Lecithin,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0029974,C0031619,LOCATION_OF,Ovum,Phosphatidylglycerols,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0029974,C0600600,LOCATION_OF,Ovum,3' Untranslated Regions,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0031307,C0018988,LOCATION_OF,Phagocytes,Hemin,cell,bacs,1,LOCATION_OF_CELLlocfBACS
C0031307,C0030234,LOCATION_OF,Phagocytes,Palmitic Acid,cell,bacs,1,LOCATION_OF_CELLlocfBACS
