cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004561,C0682584,LOCATION_OF,B-Lymphocytes,peripheral compartment,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0007600,C0225377,LOCATION_OF,Cultured Cell Line,Structure of upper respiratory tract cavity,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0014597,C0027423,LOCATION_OF,Epithelial Cells,Nasal cavity,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0014597,C0226896,LOCATION_OF,Epithelial Cells,Oral cavity,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0014597,C0242358,LOCATION_OF,Epithelial Cells,Tight Junctions,cell,bsoj,6,LOCATION_OF_CELLlocfBSOJ
C0015161,C0015352,LOCATION_OF,Eukaryotic Cells,Extracellular Space,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0018873,C1185718,LOCATION_OF,HeLa Cells,Cistern,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0022567,C0242358,LOCATION_OF,keratinocyte,Tight Junctions,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0022688,C1704247,LOCATION_OF,Natural Killer Cells,Peritoneal Cavity,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0022801,C0682624,LOCATION_OF,Hepatic macrophage,Sinusoid,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0023516,C0225377,LOCATION_OF,Leukocytes,Structure of upper respiratory tract cavity,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0023517,C0027423,LOCATION_OF,Nongranular leukocyte,Nasal cavity,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0024432,C0923883,LOCATION_OF,macrophage,Marginal sinus,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0024432,C1185718,LOCATION_OF,macrophage,Cistern,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0026473,C0015352,LOCATION_OF,Monocytes,Extracellular Space,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0027836,C1185742,LOCATION_OF,Neuroglia,Commissure,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0027882,C0039062,LOCATION_OF,Neurons,Synapses,cell,bsoj,4,LOCATION_OF_CELLlocfBSOJ
C0027950,C0225983,LOCATION_OF,neutrophil,Structure of perivascular space,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0028944,C0682581,LOCATION_OF,Oligodendroglia,Intracellular Space,cell,bsoj,2,LOCATION_OF_CELLlocfBSOJ
C0031307,C0039062,LOCATION_OF,Phagocytes,Synapses,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0034143,C0039062,LOCATION_OF,Purkinje Cells,Synapses,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0036387,C0682581,LOCATION_OF,Schwann Cells,Intracellular Space,cell,bsoj,2,LOCATION_OF_CELLlocfBSOJ
C0038250,C1235660,LOCATION_OF,Stem cells,Notch,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0039194,C0039062,LOCATION_OF,T-Lymphocyte,Synapses,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0039194,C0228110,LOCATION_OF,T-Lymphocyte,Structure of virchow-Robin space,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0039194,C1704247,LOCATION_OF,T-Lymphocyte,Peritoneal Cavity,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0039215,C0228110,LOCATION_OF,CD4 Positive T Lymphocytes,Structure of virchow-Robin space,cell,bsoj,3,LOCATION_OF_CELLlocfBSOJ
C0206428,C0039062,LOCATION_OF,Retinal Cone,Synapses,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0225336,C0242358,LOCATION_OF,Endothelial Cells,Tight Junctions,cell,bsoj,3,LOCATION_OF_CELLlocfBSOJ
C0225336,C0682624,LOCATION_OF,Endothelial Cells,Sinusoid,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0227525,C0242358,LOCATION_OF,Hepatocyte,Tight Junctions,cell,bsoj,3,LOCATION_OF_CELLlocfBSOJ
C0334227,C0242358,LOCATION_OF,"Tumor cells, malignant",Tight Junctions,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0596208,C0242358,LOCATION_OF,brain cell,Tight Junctions,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0598102,C0021721,LOCATION_OF,polarized cell,Intercellular Junctions,cell,bsoj,2,LOCATION_OF_CELLlocfBSOJ
C0598102,C0242358,LOCATION_OF,polarized cell,Tight Junctions,cell,bsoj,3,LOCATION_OF_CELLlocfBSOJ
C0677626,C0242358,LOCATION_OF,hepatoma cell,Tight Junctions,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0682638,C0682584,LOCATION_OF,memory b cell,peripheral compartment,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C0815002,C1179882,LOCATION_OF,GABAergic Neurons,Chemical synapse,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C1179186,C0027423,LOCATION_OF,Serous cell,Nasal cavity,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C1180326,C0027423,LOCATION_OF,Olfactory epithelial cell,Nasal cavity,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C1321301,C0022417,LOCATION_OF,Peripheral blood mononuclear cell (cell),Joints,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C1512977,C1235660,LOCATION_OF,Mammalian Cell,Notch,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
C1518985,C0242358,LOCATION_OF,Perineurial Cell,Tight Junctions,cell,bsoj,1,LOCATION_OF_CELLlocfBSOJ
