cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004112,C0014072,LOCATION_OF,Astrocytes,Experimental Autoimmune Encephalomyelitis,cell,emod,3,LOCATION_OF_CELLlocfEMOD
C0004112,C2986594,LOCATION_OF,Astrocytes,Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0005955,C2986594,LOCATION_OF,Bone Marrow Cells,Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0007600,C3897262,LOCATION_OF,Cultured Cell Line,U251,cell,emod,4,LOCATION_OF_CELLlocfEMOD
C0007600,C3899818,LOCATION_OF,Cultured Cell Line,CCRF-CEM,cell,emod,2,LOCATION_OF_CELLlocfEMOD
C0011306,C2986594,LOCATION_OF,Dendritic Cells,Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0014597,C1519606,LOCATION_OF,Epithelial Cells,Transgenic Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0022827,C2986594,LOCATION_OF,L Cells (Cell Line),Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0023516,C0014072,LOCATION_OF,Leukocytes,Experimental Autoimmune Encephalomyelitis,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0024432,C0014072,LOCATION_OF,macrophage,Experimental Autoimmune Encephalomyelitis,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0024432,C2986594,LOCATION_OF,macrophage,Mouse Model,cell,emod,4,LOCATION_OF_CELLlocfEMOD
C0027882,C0014072,LOCATION_OF,Neurons,Experimental Autoimmune Encephalomyelitis,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0027882,C2986594,LOCATION_OF,Neurons,Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0027950,C2986594,LOCATION_OF,neutrophil,Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0028944,C0014072,LOCATION_OF,Oligodendroglia,Experimental Autoimmune Encephalomyelitis,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0029974,C2986594,LOCATION_OF,Ovum,Mouse Model,cell,emod,2,LOCATION_OF_CELLlocfEMOD
C0034143,C2986594,LOCATION_OF,Purkinje Cells,Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0039194,C0012644,LOCATION_OF,T-Lymphocyte,Animal Disease Models,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0039194,C2986594,LOCATION_OF,T-Lymphocyte,Mouse Model,cell,emod,3,LOCATION_OF_CELLlocfEMOD
C0039215,C2986594,LOCATION_OF,CD4 Positive T Lymphocytes,Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0042542,C2986594,LOCATION_OF,Vero Cells,Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0206116,C0014072,LOCATION_OF,Microglia,Experimental Autoimmune Encephalomyelitis,cell,emod,2,LOCATION_OF_CELLlocfEMOD
C0206116,C2986594,LOCATION_OF,Microglia,Mouse Model,cell,emod,2,LOCATION_OF_CELLlocfEMOD
C0225336,C0014072,LOCATION_OF,Endothelial Cells,Experimental Autoimmune Encephalomyelitis,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0225700,C2986594,LOCATION_OF,Type-II Pneumocytes,Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0227525,C2986594,LOCATION_OF,Hepatocyte,Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0242629,C2986594,LOCATION_OF,CD8-Positive T-Lymphocytes,Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0242632,C0014072,LOCATION_OF,T-helper cell type 1,Experimental Autoimmune Encephalomyelitis,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0333843,C1520166,LOCATION_OF,Myeloma cell,Xenograft Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0596890,C3898991,LOCATION_OF,MCF-7 Cells,HS 578T,cell,emod,6,LOCATION_OF_CELLlocfEMOD
C0598800,C0014072,LOCATION_OF,Pericytes,Experimental Autoimmune Encephalomyelitis,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0682523,C1522225,LOCATION_OF,human cell line,Knock-out,cell,emod,2,LOCATION_OF_CELLlocfEMOD
C0682523,C3897262,LOCATION_OF,human cell line,U251,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C0682523,C3898998,LOCATION_OF,human cell line,HCT-116,cell,emod,2,LOCATION_OF_CELLlocfEMOD
C0682638,C2986594,LOCATION_OF,memory b cell,Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C1180059,C0012644,LOCATION_OF,Nucleated cell,Animal Disease Models,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C1321301,C2986594,LOCATION_OF,Peripheral blood mononuclear cell (cell),Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C3641721,C1519606,LOCATION_OF,Naive T-Lymphocyte,Transgenic Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C4277577,C1522225,LOCATION_OF,A549 Cells,Knock-out,cell,emod,1,LOCATION_OF_CELLlocfEMOD
C4277577,C2986594,LOCATION_OF,A549 Cells,Mouse Model,cell,emod,1,LOCATION_OF_CELLlocfEMOD
