cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004112,C0016327,LOCATION_OF,Astrocytes,Fluorides,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0007600,C0008838,LOCATION_OF,Cultured Cell Line,Cisplatin,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0014467,C0031180,LOCATION_OF,eosinophil,Peroxides,cell,inch,2,LOCATION_OF_CELLlocfINCH
C0014597,C0002055,LOCATION_OF,Epithelial Cells,Alkalies,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0014597,C0008203,LOCATION_OF,Epithelial Cells,Chlorides,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0014597,C0008838,LOCATION_OF,Epithelial Cells,Cisplatin,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0015161,C0032575,LOCATION_OF,Eukaryotic Cells,Polyphosphates,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0018497,C0002055,LOCATION_OF,Inner Auditory Hair Cells,Alkalies,cell,inch,3,LOCATION_OF_CELLlocfINCH
C0018873,C0074719,LOCATION_OF,HeLa Cells,sodium arsenite,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0023516,C0020281,LOCATION_OF,Leukocytes,Hydrogen Peroxide,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0024432,C0066000,LOCATION_OF,macrophage,mercury-selenium complex,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0029974,C0043047,LOCATION_OF,Ovum,Water,cell,inch,3,LOCATION_OF_CELLlocfINCH
C0031307,C0020281,LOCATION_OF,Phagocytes,Hydrogen Peroxide,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0031307,C0063146,LOCATION_OF,Phagocytes,Hydroxyl Radical,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0039194,C0030015,LOCATION_OF,T-Lymphocyte,Oxides,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0039194,C0063146,LOCATION_OF,T-Lymphocyte,Hydroxyl Radical,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0042542,C1512523,LOCATION_OF,Vero Cells,hydrochloride,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0085236,C0043047,LOCATION_OF,"Macrophages, Alveolar",Water,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0206427,C3536832,LOCATION_OF,Rod Photoreceptors,Air,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0206513,C0002055,LOCATION_OF,Type 2 vestibular sensory cell,Alkalies,cell,inch,2,LOCATION_OF_CELLlocfINCH
C0225338,C0002055,LOCATION_OF,Columnar epithelial cell,Alkalies,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0225828,C0074725,LOCATION_OF,"Myocytes, Cardiac",sodium bisulfide,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0227525,C0005367,LOCATION_OF,Hepatocyte,Bicarbonates,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0227525,C0038720,LOCATION_OF,Hepatocyte,"Sulfates, Inorganic",cell,inch,2,LOCATION_OF_CELLlocfINCH
C0227525,C0146894,LOCATION_OF,Hepatocyte,triphosphate,cell,inch,2,LOCATION_OF_CELLlocfINCH
C0227525,C0896246,LOCATION_OF,Hepatocyte,phosphoramidate,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0242598,C0065088,LOCATION_OF,LLC-PK1 Cells,Lithium Chloride,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0242629,C0051522,LOCATION_OF,CD8-Positive T-Lymphocytes,aluminum sulfate,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0242697,C0357197,LOCATION_OF,Muscle Fibers,Calcium salt,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0333723,C0043047,LOCATION_OF,Folded cell,Water,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0334227,C0020281,LOCATION_OF,"Tumor cells, malignant",Hydrogen Peroxide,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0598091,C0038720,LOCATION_OF,stable cell line,"Sulfates, Inorganic",cell,inch,1,LOCATION_OF_CELLlocfINCH
C0598829,C0020746,LOCATION_OF,Madin Darby Canine Kidney Cells,Ice,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0682523,C0039267,LOCATION_OF,human cell line,Talc,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0682526,C0031603,LOCATION_OF,lymphoblastoid cell line,Phosphates,cell,inch,1,LOCATION_OF_CELLlocfINCH
C0806987,C0009359,LOCATION_OF,mononuclear cells,Gold Colloid,cell,inch,1,LOCATION_OF_CELLlocfINCH
C1257858,C0016327,LOCATION_OF,COS-7 Cells,Fluorides,cell,inch,1,LOCATION_OF_CELLlocfINCH
C1512944,C0066503,LOCATION_OF,Intraepithelial Lymphocytes,Mica,cell,inch,1,LOCATION_OF_CELLlocfINCH
C1512977,C0032575,LOCATION_OF,Mammalian Cell,Polyphosphates,cell,inch,1,LOCATION_OF_CELLlocfINCH
C1953382,C0002055,LOCATION_OF,Forward primer,Alkalies,cell,inch,1,LOCATION_OF_CELLlocfINCH
C2328961,C0002055,LOCATION_OF,Type 1 vestibular sensory cell,Alkalies,cell,inch,3,LOCATION_OF_CELLlocfINCH
C3172555,C0008203,LOCATION_OF,Ciliated epithelial cell,Chlorides,cell,inch,1,LOCATION_OF_CELLlocfINCH
C3658289,C0020281,LOCATION_OF,Human Induced Pluripotent Stem Cells,Hydrogen Peroxide,cell,inch,1,LOCATION_OF_CELLlocfINCH
C3686472,C0005367,LOCATION_OF,Biliary epithelial cell,Bicarbonates,cell,inch,1,LOCATION_OF_CELLlocfINCH
C4277577,C0008838,LOCATION_OF,A549 Cells,Cisplatin,cell,inch,2,LOCATION_OF_CELLlocfINCH
C4277577,C0038720,LOCATION_OF,A549 Cells,"Sulfates, Inorganic",cell,inch,1,LOCATION_OF_CELLlocfINCH
C4277577,C1550678,LOCATION_OF,A549 Cells,Water Specimen,cell,inch,1,LOCATION_OF_CELLlocfINCH
