cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001280,C0042774,LOCATION_OF,Armed macrophage,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C0004112,C0042774,LOCATION_OF,Astrocytes,Virus Replication,cell,orgf,9,LOCATION_OF_CELLlocfORGF
C0004561,C0042774,LOCATION_OF,B-Lymphocytes,Virus Replication,cell,orgf,5,LOCATION_OF_CELLlocfORGF
C0007600,C0042774,LOCATION_OF,Cultured Cell Line,Virus Replication,cell,orgf,27,LOCATION_OF_CELLlocfORGF
C0009013,C0042774,LOCATION_OF,Clone Cells,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C0011306,C0042774,LOCATION_OF,Dendritic Cells,Virus Replication,cell,orgf,5,LOCATION_OF_CELLlocfORGF
C0014597,C0042774,LOCATION_OF,Epithelial Cells,Virus Replication,cell,orgf,17,LOCATION_OF_CELLlocfORGF
C0015161,C0042774,LOCATION_OF,Eukaryotic Cells,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C0016030,C0042774,LOCATION_OF,Fibroblasts,Virus Replication,cell,orgf,10,LOCATION_OF_CELLlocfORGF
C0018873,C0042774,LOCATION_OF,HeLa Cells,Virus Replication,cell,orgf,4,LOCATION_OF_CELLlocfORGF
C0022686,C0042774,LOCATION_OF,Killer Cells,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C0022688,C0042774,LOCATION_OF,Natural Killer Cells,Virus Replication,cell,orgf,2,LOCATION_OF_CELLlocfORGF
C0022801,C0042774,LOCATION_OF,Hepatic macrophage,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C0023516,C0042774,LOCATION_OF,Leukocytes,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C0024264,C0042774,LOCATION_OF,Lymphocyte,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C0024432,C0042774,LOCATION_OF,macrophage,Virus Replication,cell,orgf,35,LOCATION_OF_CELLlocfORGF
C0026473,C0042774,LOCATION_OF,Monocytes,Virus Replication,cell,orgf,5,LOCATION_OF_CELLlocfORGF
C0026609,C0042774,LOCATION_OF,Motor Neurons,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C0027836,C0042774,LOCATION_OF,Neuroglia,Virus Replication,cell,orgf,4,LOCATION_OF_CELLlocfORGF
C0027882,C0042774,LOCATION_OF,Neurons,Virus Replication,cell,orgf,17,LOCATION_OF_CELLlocfORGF
C0028944,C0042774,LOCATION_OF,Oligodendroglia,Virus Replication,cell,orgf,9,LOCATION_OF_CELLlocfORGF
C0031307,C0042774,LOCATION_OF,Phagocytes,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C0033731,C0042774,LOCATION_OF,Protoplasts,Virus Replication,cell,orgf,2,LOCATION_OF_CELLlocfORGF
C0039194,C0042774,LOCATION_OF,T-Lymphocyte,Virus Replication,cell,orgf,2,LOCATION_OF_CELLlocfORGF
C0039215,C0042774,LOCATION_OF,CD4 Positive T Lymphocytes,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C0042542,C0042774,LOCATION_OF,Vero Cells,Virus Replication,cell,orgf,17,LOCATION_OF_CELLlocfORGF
C0085236,C0042774,LOCATION_OF,"Macrophages, Alveolar",Virus Replication,cell,orgf,2,LOCATION_OF_CELLlocfORGF
C0085983,C0042774,LOCATION_OF,"Cell Line, Tumor",Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C0206116,C0042774,LOCATION_OF,Microglia,Virus Replication,cell,orgf,5,LOCATION_OF_CELLlocfORGF
C0221284,C0042774,LOCATION_OF,Leptocyte,Virus Replication,cell,orgf,6,LOCATION_OF_CELLlocfORGF
C0225336,C0042774,LOCATION_OF,Endothelial Cells,Virus Replication,cell,orgf,2,LOCATION_OF_CELLlocfORGF
C0225698,C0042774,LOCATION_OF,Alveolar Epithelial Cells,Virus Replication,cell,orgf,4,LOCATION_OF_CELLlocfORGF
C0225699,C0042774,LOCATION_OF,Type-I Pneumocytes,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C0227525,C0042774,LOCATION_OF,Hepatocyte,Virus Replication,cell,orgf,2,LOCATION_OF_CELLlocfORGF
C0282560,C0042774,LOCATION_OF,Caco-2 Cells,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C0333827,C0042774,LOCATION_OF,Monocytoid cell,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C0334227,C0042774,LOCATION_OF,"Tumor cells, malignant",Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C0376448,C0042774,LOCATION_OF,Jurkat Cells,Virus Replication,cell,orgf,2,LOCATION_OF_CELLlocfORGF
C0506994,C0042774,LOCATION_OF,Goblet Cells,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C0524984,C0042774,LOCATION_OF,Somatostatin-Secreting Cells,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C0553257,C0042774,LOCATION_OF,Epithelial cell of renal tubule,Virus Replication,cell,orgf,2,LOCATION_OF_CELLlocfORGF
C0596208,C0042774,LOCATION_OF,brain cell,Virus Replication,cell,orgf,2,LOCATION_OF_CELLlocfORGF
C0598829,C0042774,LOCATION_OF,Madin Darby Canine Kidney Cells,Virus Replication,cell,orgf,9,LOCATION_OF_CELLlocfORGF
C0677626,C0042774,LOCATION_OF,hepatoma cell,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C0682523,C0042774,LOCATION_OF,human cell line,Virus Replication,cell,orgf,3,LOCATION_OF_CELLlocfORGF
C0682610,C0042774,LOCATION_OF,Enterocytes,Virus Replication,cell,orgf,3,LOCATION_OF_CELLlocfORGF
C0682639,C0042774,LOCATION_OF,Memory T-Lymphocyte,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C0734999,C0042774,LOCATION_OF,Exocrine cell,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C0806987,C0042774,LOCATION_OF,mononuclear cells,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C0887899,C0042774,LOCATION_OF,Myeloid Cells,Virus Replication,cell,orgf,2,LOCATION_OF_CELLlocfORGF
C1148382,C0042774,LOCATION_OF,Monocytes+Macrophages,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C1179870,C0042774,LOCATION_OF,Nodal myocyte,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C1180238,C0042774,LOCATION_OF,Capillary Endothelial Cells,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C1182610,C0042774,LOCATION_OF,Corneal epithelial cell,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C1257909,C0042774,LOCATION_OF,Diploid Cell,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C1321301,C0042774,LOCATION_OF,Peripheral blood mononuclear cell (cell),Virus Replication,cell,orgf,5,LOCATION_OF_CELLlocfORGF
C1441322,C0042774,LOCATION_OF,Viable cells,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C1511246,C0042774,LOCATION_OF,Bone marrow stem cell,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C1512977,C0042774,LOCATION_OF,Mammalian Cell,Virus Replication,cell,orgf,5,LOCATION_OF_CELLlocfORGF
C1514716,C0042774,LOCATION_OF,Raji Cell,Virus Replication,cell,orgf,2,LOCATION_OF_CELLlocfORGF
C1516469,C0042774,LOCATION_OF,Chicken Cells,Virus Replication,cell,orgf,2,LOCATION_OF_CELLlocfORGF
C1711178,C0042774,LOCATION_OF,Bronchial Epithelial Cell,Virus Replication,cell,orgf,3,LOCATION_OF_CELLlocfORGF
C1883178,C0042774,LOCATION_OF,Subclone,Virus Replication,cell,orgf,2,LOCATION_OF_CELLlocfORGF
C1956385,C0042774,LOCATION_OF,Plasmacytoid Dendritic Cells,Virus Replication,cell,orgf,6,LOCATION_OF_CELLlocfORGF
C2334011,C0042774,LOCATION_OF,Wandering histiocyte,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C2340138,C0042774,LOCATION_OF,Hepatic Stellate Cells,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C2717940,C0042774,LOCATION_OF,Hep G2 Cells,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C2936239,C0042774,LOCATION_OF,HEK293 Cells,Virus Replication,cell,orgf,1,LOCATION_OF_CELLlocfORGF
C3896693,C0042774,LOCATION_OF,Bone Marrow-Derived Cell,Virus Replication,cell,orgf,3,LOCATION_OF_CELLlocfORGF
C4042840,C0042774,LOCATION_OF,RAW 264.7 Cells,Virus Replication,cell,orgf,2,LOCATION_OF_CELLlocfORGF
C4277577,C0042774,LOCATION_OF,A549 Cells,Virus Replication,cell,orgf,9,LOCATION_OF_CELLlocfORGF
C4505192,C0042774,LOCATION_OF,THP-1 Cells,Virus Replication,cell,orgf,2,LOCATION_OF_CELLlocfORGF
