cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005705,C0069304,LOCATION_OF,Embryo stage 3 structure,"POU5F1 protein, human",emst,aapp,3,LOCATION_OF_EMSTlocfAAPP
C0013574,C1428701,LOCATION_OF,Ectoderm,ENKUR gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0007578,LOCATION_OF,Embryo,Cell Adhesion Molecules,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0020960,LOCATION_OF,Embryo,Immune Sera,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0021760,LOCATION_OF,Embryo,Interleukin-6,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0042172,LOCATION_OF,Embryo,E-Cadherin,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0061355,LOCATION_OF,Embryo,Glucagon-Like Peptide 1,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0074129,LOCATION_OF,Embryo,scavenger receptor,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0079633,LOCATION_OF,Embryo,Interleukin-8,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0120285,LOCATION_OF,Embryo,Green Fluorescent Proteins,emst,aapp,6,LOCATION_OF_EMSTlocfAAPP
C0013935,C0243043,LOCATION_OF,Embryo,Heat-Shock Proteins 70,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C0378910,LOCATION_OF,Embryo,Lymphocyte antigen CD66A,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0013935,C0920499,LOCATION_OF,Embryo,embryonic protein,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C1310463,LOCATION_OF,Embryo,"IFIH1 protein, human",emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C1332379,LOCATION_OF,Embryo,BAK1 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C1334078,LOCATION_OF,Embryo,IFITM1 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C1366587,LOCATION_OF,Embryo,MCL1 gene,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0013935,C1412113,LOCATION_OF,Embryo,SLC33A1 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C1413064,LOCATION_OF,Embryo,CACNA1S gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C1413460,LOCATION_OF,Embryo,CLDN1 gene,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0013935,C1414244,LOCATION_OF,Embryo,ECE1 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C1415619,LOCATION_OF,Embryo,HMOX1 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C1415898,LOCATION_OF,Embryo,IFITM3 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C1418582,LOCATION_OF,Embryo,PIN1 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C1420016,LOCATION_OF,Embryo,SGTA gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C1420331,LOCATION_OF,Embryo,SOX9 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C1422766,LOCATION_OF,Embryo,MEG8 gene,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0013935,C1427164,LOCATION_OF,Embryo,NANOG gene,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0013935,C1428701,LOCATION_OF,Embryo,ENKUR gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C1434639,LOCATION_OF,Embryo,"MAP2K1 protein, human",emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0013935,C1527865,LOCATION_OF,Embryo,"CAV1 protein, human",emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C1704664,LOCATION_OF,Embryo,SMO wt Allele,emst,aapp,3,LOCATION_OF_EMSTlocfAAPP
C0013935,C1707156,LOCATION_OF,Embryo,CTBP1 wt Allele,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C1707170,LOCATION_OF,Embryo,CXCL9 wt Allele,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C1710602,LOCATION_OF,Embryo,VIPR1 wt Allele,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C1864770,LOCATION_OF,Embryo,MAVS gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C1883559,LOCATION_OF,Embryo,Wild Type,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0013935,C3147110,LOCATION_OF,Embryo,DSCAM-AS1 gene,emst,aapp,3,LOCATION_OF_EMSTlocfAAPP
C0013935,C3887682,LOCATION_OF,Embryo,"Platelet Glycoprotein 4, human",emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0013935,C4281807,LOCATION_OF,Embryo,"Vitronectin, human",emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0015943,C0084692,LOCATION_OF,Fetal Membranes,Pulmonary Surfactant-Associated Protein D,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0015943,C1420002,LOCATION_OF,Fetal Membranes,SFTPA1 gene,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0015965,C0007082,LOCATION_OF,Fetus,Carcinoembryonic Antigen,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0015965,C0021755,LOCATION_OF,Fetus,Interleukin-1,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0015965,C0084692,LOCATION_OF,Fetus,Pulmonary Surfactant-Associated Protein D,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0015965,C0475463,LOCATION_OF,Fetus,"Antibodies, Neutralizing",emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0015965,C1420002,LOCATION_OF,Fetus,SFTPA1 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0015965,C1422064,LOCATION_OF,Fetus,ACE2 gene,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0015965,C1825598,LOCATION_OF,Fetus,IMPACT gene,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0032043,C0002199,LOCATION_OF,Placenta,Interferon-alpha,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C0021666,LOCATION_OF,Placenta,insulin-like growth factor 2,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0032043,C0021760,LOCATION_OF,Placenta,Interleukin-6,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C0025543,LOCATION_OF,Placenta,Metalloproteases,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C0034805,LOCATION_OF,Placenta,Fc Receptor,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C0059377,LOCATION_OF,Placenta,Nidogen,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C0084692,LOCATION_OF,Placenta,Pulmonary Surfactant-Associated Protein D,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C0165249,LOCATION_OF,Placenta,kexin,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0032043,C0243040,LOCATION_OF,Placenta,"Adhesins, Bacterial",emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C0387583,LOCATION_OF,Placenta,cyclooxygenase 2,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C0729663,LOCATION_OF,Placenta,Maternal antibody,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C0912761,LOCATION_OF,Placenta,syncytin,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C0913092,LOCATION_OF,Placenta,DC-specific ICAM-3 grabbing nonintegrin,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0032043,C0960880,LOCATION_OF,Placenta,angiotensin converting enzyme 2,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C1332821,LOCATION_OF,Placenta,CXCL9 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C1333887,LOCATION_OF,Placenta,H19 gene,emst,aapp,9,LOCATION_OF_EMSTlocfAAPP
C0032043,C1334081,LOCATION_OF,Placenta,IFNAR1 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C1334088,LOCATION_OF,Placenta,IGF1R gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C1366572,LOCATION_OF,Placenta,CXCL13 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C1413320,LOCATION_OF,Placenta,CEACAMP8 gene,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0032043,C1413789,LOCATION_OF,Placenta,CTBS gene,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0032043,C1414968,LOCATION_OF,Placenta,GAPDH gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C1415277,LOCATION_OF,Placenta,GPX3 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C1416400,LOCATION_OF,Placenta,IL1RL1 gene,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0032043,C1418628,LOCATION_OF,Placenta,PLAC1 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C1420578,LOCATION_OF,Placenta,TAGLN gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C1422064,LOCATION_OF,Placenta,ACE2 gene,emst,aapp,3,LOCATION_OF_EMSTlocfAAPP
C0032043,C1422634,LOCATION_OF,Placenta,ELSPBP1 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C1422789,LOCATION_OF,Placenta,PLAC4 gene,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0032043,C1424460,LOCATION_OF,Placenta,CXCL16 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C1429928,LOCATION_OF,Placenta,"erythrocyte membrane protein 1, Plasmodium falciparum",emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C1448177,LOCATION_OF,Placenta,"TNF protein, human",emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0032043,C1537647,LOCATION_OF,Placenta,MALAT1 gene,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0032043,C1539099,LOCATION_OF,Placenta,CLEC4M gene,emst,aapp,8,LOCATION_OF_EMSTlocfAAPP
C0032043,C1826849,LOCATION_OF,Placenta,RPAIN gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C1969058,LOCATION_OF,Placenta,FBLN7 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C3273862,LOCATION_OF,Placenta,SPRY4-IT1 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C3540252,LOCATION_OF,Placenta,PYURF gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C3541065,LOCATION_OF,Placenta,LINC00629 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0032043,C4321251,LOCATION_OF,Placenta,CYCS wt Allele,emst,aapp,5,LOCATION_OF_EMSTlocfAAPP
C0033151,C1428701,LOCATION_OF,Primitive Gut,ENKUR gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0041178,C0017968,LOCATION_OF,trophoblast,Glycoproteins,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0041178,C0021755,LOCATION_OF,trophoblast,Interleukin-1,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0041178,C0021758,LOCATION_OF,trophoblast,Interleukin-4,emst,aapp,4,LOCATION_OF_EMSTlocfAAPP
C0041178,C0021760,LOCATION_OF,trophoblast,Interleukin-6,emst,aapp,4,LOCATION_OF_EMSTlocfAAPP
C0041178,C0079189,LOCATION_OF,trophoblast,cytokine,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0041178,C0242738,LOCATION_OF,trophoblast,ATP-Binding Cassette Transporters,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0041178,C1099914,LOCATION_OF,trophoblast,"IL12B protein, human",emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0041178,C1121403,LOCATION_OF,trophoblast,Interleukin-12 Subunit p35,emst,aapp,3,LOCATION_OF_EMSTlocfAAPP
C0041178,C1332002,LOCATION_OF,trophoblast,ABCG2 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0041178,C1332823,LOCATION_OF,trophoblast,CXCR4 gene,emst,aapp,3,LOCATION_OF_EMSTlocfAAPP
C0041178,C1426335,LOCATION_OF,trophoblast,NECTIN4 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0041178,C1702088,LOCATION_OF,trophoblast,"IL5 protein, human",emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0041178,C1708424,LOCATION_OF,trophoblast,IL15 wt Allele,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0041178,C4321494,LOCATION_OF,trophoblast,Interleukin-35,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0043544,C1427164,LOCATION_OF,Structure of zygote,NANOG gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0162415,C0079441,LOCATION_OF,Mesenchyma,Transforming Growth Factor Beta 2,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0162415,C0378910,LOCATION_OF,Mesenchyma,Lymphocyte antigen CD66A,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0162415,C0530979,LOCATION_OF,Mesenchyma,bone morphogenetic protein 4,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0178551,C0882675,LOCATION_OF,chorioallantoic membrane,Infectious bronchitis virus Ag,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0178551,C1414356,LOCATION_OF,chorioallantoic membrane,EIF4G1 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0178551,C1424135,LOCATION_OF,chorioallantoic membrane,YAP1 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0230960,C0475463,LOCATION_OF,Structure of cytotrophoblast,"Antibodies, Neutralizing",emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0230984,C0034805,LOCATION_OF,Structure of placental membrane,Fc Receptor,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0231002,C0069304,LOCATION_OF,Structure of extraembryonic mesoblast,"POU5F1 protein, human",emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0231117,C1422634,LOCATION_OF,Fetal head,ELSPBP1 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0440731,C0079189,LOCATION_OF,Fetal brain,cytokine,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0440731,C1415898,LOCATION_OF,Fetal brain,IFITM3 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0815005,C1412731,LOCATION_OF,radial glia,BAG3 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0920487,C0120285,LOCATION_OF,embryo cell,Green Fluorescent Proteins,emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C0920487,C1825368,LOCATION_OF,embryo cell,GLIPR1L1 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0920502,C0378910,LOCATION_OF,Embryonic tissue,Lymphocyte antigen CD66A,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0920502,C1334046,LOCATION_OF,Embryonic tissue,"Genes, Housekeeping",emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C0920502,C2744535,LOCATION_OF,Embryonic tissue,"CD69 protein, human",emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C1135936,C0391483,LOCATION_OF,Syncytiotrophoblasts,"Fc receptor, neonatal",emst,aapp,2,LOCATION_OF_EMSTlocfAAPP
C1135936,C0607430,LOCATION_OF,Syncytiotrophoblasts,Galactose Binding Lectin,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C1135936,C1422036,LOCATION_OF,Syncytiotrophoblasts,ERVW-1 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C1281743,C0069304,LOCATION_OF,Blastocyst structure,"POU5F1 protein, human",emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C1281743,C1423836,LOCATION_OF,Blastocyst structure,SALL4 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C1281743,C1538256,LOCATION_OF,Blastocyst structure,ZSCAN4 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C1283994,C0069304,LOCATION_OF,Inner cell mass,"POU5F1 protein, human",emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C1305370,C1825562,LOCATION_OF,Entire embryo,IFITM5 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C1516825,C0539788,LOCATION_OF,Embryonic nervous system,flotillins,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C1516906,C0069304,LOCATION_OF,Epiblast,"POU5F1 protein, human",emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C1516906,C1415898,LOCATION_OF,Epiblast,IFITM3 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C1517162,C0378910,LOCATION_OF,Fetal Liver,Lymphocyte antigen CD66A,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C1517162,C1336641,LOCATION_OF,Fetal Liver,TMPRSS2 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C1517162,C1540030,LOCATION_OF,Fetal Liver,TMPRSS13 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
C1518271,C1418276,LOCATION_OF,Neuroectoderm,PAX6 gene,emst,aapp,1,LOCATION_OF_EMSTlocfAAPP
