cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004037,C1334043,LOCATION_OF,Aspergillus fumigatus,Homologous Gene,fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0006836,C1517488,LOCATION_OF,Candida (fungus),Gene Family,fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0006837,C0079941,LOCATION_OF,Candida albicans,Open Reading Frames,fngs,gngm,2,LOCATION_OF_FNGSlocfGNGM
C0014181,C1334531,LOCATION_OF,Saccharomycetales,MSC gene,fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0016832,C0042720,LOCATION_OF,Fungi,Viral Genome,fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0016832,C0079941,LOCATION_OF,Fungi,Open Reading Frames,fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0016832,C1334043,LOCATION_OF,Fungi,Homologous Gene,fngs,gngm,2,LOCATION_OF_FNGSlocfGNGM
C0016832,C1517488,LOCATION_OF,Fungi,Gene Family,fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0036024,C0017376,LOCATION_OF,Saccharomyces,"Genes, Viral",fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0036024,C1335144,LOCATION_OF,Saccharomyces,Orthologous Gene,fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0036025,C0017376,LOCATION_OF,Saccharomyces cerevisiae,"Genes, Viral",fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0036025,C0017429,LOCATION_OF,Saccharomyces cerevisiae,"Genome, Human",fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0036025,C0079941,LOCATION_OF,Saccharomyces cerevisiae,Open Reading Frames,fngs,gngm,2,LOCATION_OF_FNGSlocfGNGM
C0036025,C0085238,LOCATION_OF,Saccharomyces cerevisiae,"Genome, Bacterial",fngs,gngm,6,LOCATION_OF_FNGSlocfGNGM
C0036025,C0162728,LOCATION_OF,Saccharomyces cerevisiae,"Genes, Plant",fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0036025,C0206414,LOCATION_OF,Saccharomyces cerevisiae,"Genes, Reporter",fngs,gngm,3,LOCATION_OF_FNGSlocfGNGM
C0036025,C0314604,LOCATION_OF,Saccharomyces cerevisiae,Human gene,fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0036025,C0599780,LOCATION_OF,Saccharomyces cerevisiae,cis acting element,fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0036025,C0751608,LOCATION_OF,Saccharomyces cerevisiae,cDNA Library,fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0036025,C1257902,LOCATION_OF,Saccharomyces cerevisiae,Jumping Genes,fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0036025,C1332838,LOCATION_OF,Saccharomyces cerevisiae,Candidate Disease Gene,fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0036025,C1334043,LOCATION_OF,Saccharomyces cerevisiae,Homologous Gene,fngs,gngm,5,LOCATION_OF_FNGSlocfGNGM
C0036025,C1335144,LOCATION_OF,Saccharomyces cerevisiae,Orthologous Gene,fngs,gngm,6,LOCATION_OF_FNGSlocfGNGM
C0036025,C1517488,LOCATION_OF,Saccharomyces cerevisiae,Gene Family,fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0043393,C0017376,LOCATION_OF,Yeasts,"Genes, Viral",fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0043393,C1334043,LOCATION_OF,Yeasts,Homologous Gene,fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0043393,C1335144,LOCATION_OF,Yeasts,Orthologous Gene,fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0178453,C0042720,LOCATION_OF,Schizosaccharomyces pombe,Viral Genome,fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0178453,C0751608,LOCATION_OF,Schizosaccharomyces pombe,cDNA Library,fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0178453,C1334043,LOCATION_OF,Schizosaccharomyces pombe,Homologous Gene,fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0178453,C1517495,LOCATION_OF,Schizosaccharomyces pombe,Gene Feature,fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C0319899,C1332838,LOCATION_OF,Candida glabrata,Candidate Disease Gene,fngs,gngm,1,LOCATION_OF_FNGSlocfGNGM
C1562222,C1334043,LOCATION_OF,Dimorphic fungi,Homologous Gene,fngs,gngm,3,LOCATION_OF_FNGSlocfGNGM
