cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004034,C0752046,LOCATION_OF,Aspergillus,Single Nucleotide Polymorphism,fngs,nusq,2,LOCATION_OF_FNGSlocfNUSQ
C0016832,C0162326,LOCATION_OF,Fungi,DNA Sequence,fngs,nusq,3,LOCATION_OF_FNGSlocfNUSQ
C0016832,C3178810,LOCATION_OF,Fungi,Transcriptome,fngs,nusq,1,LOCATION_OF_FNGSlocfNUSQ
C0036025,C0080089,LOCATION_OF,Saccharomyces cerevisiae,Reading Frames (Nucleotide Sequence),fngs,nusq,1,LOCATION_OF_FNGSlocfNUSQ
C0036025,C0162326,LOCATION_OF,Saccharomyces cerevisiae,DNA Sequence,fngs,nusq,3,LOCATION_OF_FNGSlocfNUSQ
C0036025,C1512886,LOCATION_OF,Saccharomyces cerevisiae,Internal Ribosome Entry Sites,fngs,nusq,1,LOCATION_OF_FNGSlocfNUSQ
C0036025,C1882940,LOCATION_OF,Saccharomyces cerevisiae,Restriction Site,fngs,nusq,1,LOCATION_OF_FNGSlocfNUSQ
C0036025,C2347112,LOCATION_OF,Saccharomyces cerevisiae,Methylation Site,fngs,nusq,1,LOCATION_OF_FNGSlocfNUSQ
C0036025,C3841338,LOCATION_OF,Saccharomyces cerevisiae,S85,fngs,nusq,1,LOCATION_OF_FNGSlocfNUSQ
C0369241,C0162326,LOCATION_OF,Filamentous fungus,DNA Sequence,fngs,nusq,1,LOCATION_OF_FNGSlocfNUSQ
C0997468,C0080089,LOCATION_OF,Podospora anserina,Reading Frames (Nucleotide Sequence),fngs,nusq,1,LOCATION_OF_FNGSlocfNUSQ
C1001443,C0162326,LOCATION_OF,Puccinia striiformis,DNA Sequence,fngs,nusq,3,LOCATION_OF_FNGSlocfNUSQ
C1092989,C0162326,LOCATION_OF,Uromyces appendiculatus,DNA Sequence,fngs,nusq,3,LOCATION_OF_FNGSlocfNUSQ
