cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C1633987,C0003241,LOCATION_OF,Flock,Antibodies,grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C1633987,C0443640,LOCATION_OF,Flock,Specific antibody,grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C1633987,C0700271,LOCATION_OF,Flock,"M Protein, multiple myeloma",grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C1633987,C1335648,LOCATION_OF,Flock,RRM1 gene,grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C1633987,C1525410,LOCATION_OF,Flock,Cyclic citrullinated peptide antibody,grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C1633987,C1708130,LOCATION_OF,Flock,GNAI1 wt Allele,grup,aapp,3,LOCATION_OF_GRUPlocfAAPP
C1633987,C1710602,LOCATION_OF,Flock,VIPR1 wt Allele,grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C1633987,C1710604,LOCATION_OF,Flock,VTN wt Allele,grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C1633987,C1825598,LOCATION_OF,Flock,IMPACT gene,grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
C1633987,C2744535,LOCATION_OF,Flock,"CD69 protein, human",grup,aapp,3,LOCATION_OF_GRUPlocfAAPP
C2699414,C2744535,LOCATION_OF,Committee,"CD69 protein, human",grup,aapp,1,LOCATION_OF_GRUPlocfAAPP
