cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000872,C3640076,LOCATION_OF,Academic Medical Centers,Whole Genome Sequencing,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0002424,C1513380,LOCATION_OF,Ambulatory Care Facilities,Molecular Analysis,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0006425,C3640076,LOCATION_OF,Burn Units,Whole Genome Sequencing,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0007670,C0599161,LOCATION_OF,Centers for Disease Control and Prevention (U.S.),Reverse Transcriptase Polymerase Chain Reaction,hcro,mbrt,2,LOCATION_OF_HCROlocfMBRT
C0007670,C1328887,LOCATION_OF,Centers for Disease Control and Prevention (U.S.),genome sequencing,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0007670,C1709846,LOCATION_OF,Centers for Disease Control and Prevention (U.S.),Real-Time Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0007670,C3839098,LOCATION_OF,Centers for Disease Control and Prevention (U.S.),Deoxyribonucleic acid extraction technique,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0018704,C0599161,LOCATION_OF,Health care facility,Reverse Transcriptase Polymerase Chain Reaction,hcro,mbrt,2,LOCATION_OF_HCROlocfMBRT
C0018704,C1513380,LOCATION_OF,Health care facility,Molecular Analysis,hcro,mbrt,2,LOCATION_OF_HCROlocfMBRT
C0019994,C0599161,LOCATION_OF,Hospitals,Reverse Transcriptase Polymerase Chain Reaction,hcro,mbrt,3,LOCATION_OF_HCROlocfMBRT
C0019994,C0949688,LOCATION_OF,Hospitals,Molecular Diagnostic Techniques,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0019994,C1709846,LOCATION_OF,Hospitals,Real-Time Polymerase Chain Reaction,hcro,mbrt,3,LOCATION_OF_HCROlocfMBRT
C0019994,C3640076,LOCATION_OF,Hospitals,Whole Genome Sequencing,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0020006,C1709846,LOCATION_OF,"Hospitals, District",Real-Time Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0020008,C0599161,LOCATION_OF,"Hospitals, General",Reverse Transcriptase Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0020017,C0599161,LOCATION_OF,"Hospitals, Pediatric",Reverse Transcriptase Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0020017,C1709846,LOCATION_OF,"Hospitals, Pediatric",Real-Time Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0020023,C1328887,LOCATION_OF,"Hospitals, Rural",genome sequencing,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0020028,C1709846,LOCATION_OF,"Hospitals, University",Real-Time Polymerase Chain Reaction,hcro,mbrt,2,LOCATION_OF_HCROlocfMBRT
C0021708,C0949688,LOCATION_OF,intensive care unit,Molecular Diagnostic Techniques,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0021708,C1513384,LOCATION_OF,intensive care unit,Molecular Genetic Technique,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0021709,C1513380,LOCATION_OF,"Intensive Care Units, Neonatal",Molecular Analysis,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0022879,C0599161,LOCATION_OF,"Laboratories, Hospital",Reverse Transcriptase Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0027468,C3839010,LOCATION_OF,United States National Institutes of Health,Ribonucleic acid extraction technique,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0332081,C1514628,LOCATION_OF,national laboratories,Quantitative Reverse Transcriptase PCR,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0332087,C1709846,LOCATION_OF,Vet. labs.,Real-Time Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C0475309,C0242613,LOCATION_OF,Health center,Gene Targeting,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C1305702,C0079247,LOCATION_OF,Ward (environment),DNA Fingerprinting,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C1511521,C1709846,LOCATION_OF,Core Facility,Real-Time Polymerase Chain Reaction,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C1513892,C2936624,LOCATION_OF,National Coalition for Cancer Research,Deep Sequencing,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C3839701,C1513384,LOCATION_OF,Pediatric clinic,Molecular Genetic Technique,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
C4085938,C1522053,LOCATION_OF,Affymetrix,DNA Microarray format,hcro,mbrt,1,LOCATION_OF_HCROlocfMBRT
