cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006801,C0950577,LOCATION_OF,Camels,Icon brand of cyhalothrin,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0006801,C0950580,LOCATION_OF,Camels,sentinel,mamm,hops,2,LOCATION_OF_MAMMlocfHOPS
C0007450,C0060495,LOCATION_OF,Felis catus,flumethrin,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0012984,C0007090,LOCATION_OF,Canis familiaris,Carcinogens,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0012984,C0014372,LOCATION_OF,Canis familiaris,Enterotoxins,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0012984,C0544309,LOCATION_OF,Canis familiaris,repellent,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0019944,C0039185,LOCATION_OF,Equus caballus,T-2 Toxin,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0019944,C0057445,LOCATION_OF,Equus caballus,deoxynivalenol,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0019944,C0066256,LOCATION_OF,Equus caballus,methyl isocyanate,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0019944,C0244602,LOCATION_OF,Equus caballus,hypoglycin,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0019944,C1568245,LOCATION_OF,Equus caballus,Endocrine Disruptors,mamm,hops,2,LOCATION_OF_MAMMlocfHOPS
C0025914,C0000098,LOCATION_OF,House mice,1-Methyl-4-phenylpyridinium,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0025919,C0012411,LOCATION_OF,"Mice, Inbred BALB C",p-Dimethylaminoazobenzene,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0025924,C0544309,LOCATION_OF,"Mice, Hairless",repellent,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0026447,C0014264,LOCATION_OF,Monkeys,Endotoxins,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0026809,C0012151,LOCATION_OF,Mus,Diesel Exhaust,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0026809,C0012411,LOCATION_OF,Mus,p-Dimethylaminoazobenzene,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0026809,C0014372,LOCATION_OF,Mus,Enterotoxins,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0026809,C0026879,LOCATION_OF,Mus,Mutagens,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0026809,C0032447,LOCATION_OF,Mus,Polychlorinated Biphenyls,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0026809,C0037366,LOCATION_OF,Mus,Smoke,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0026809,C0054282,LOCATION_OF,Mus,butyl phosphorotrithioate,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0026809,C0057454,LOCATION_OF,Mus,deoxypodophyllotoxin,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0034693,C0014372,LOCATION_OF,Rattus norvegicus,Enterotoxins,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0034693,C0025800,LOCATION_OF,Rattus norvegicus,Methylnitronitrosoguanidine,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0034693,C0035805,LOCATION_OF,Rattus norvegicus,Rodenticides,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0034693,C0039536,LOCATION_OF,Rattus norvegicus,Teratogens,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0039005,C0014372,LOCATION_OF,Family suidae,Enterotoxins,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0039005,C0039185,LOCATION_OF,Family suidae,T-2 Toxin,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0039005,C0065839,LOCATION_OF,Family suidae,mecarzole,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0039005,C0302339,LOCATION_OF,Family suidae,Systemic poison,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0085112,C0009170,LOCATION_OF,SCID Mice,Cocaine,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0206745,C0302339,LOCATION_OF,"Mice, Knockout",Systemic poison,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0325045,C0024334,LOCATION_OF,Martes pennanti,Lysergic Acid Diethylamide,mamm,hops,3,LOCATION_OF_MAMMlocfHOPS
C0325089,C0003947,LOCATION_OF,Family Felidae,Asbestos,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C0325224,C0950580,LOCATION_OF,Odocoileus virginianus,sentinel,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C1021583,C0039736,LOCATION_OF,Genus Alcelaphus (organism),Thalidomide,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C1135183,C0045622,LOCATION_OF,Sus scrofa,"2,6-dinitrotoluene",mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C1135183,C0069299,LOCATION_OF,Sus scrofa,ochratoxin A,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
C3887509,C0030480,LOCATION_OF,Rabbits,Paraoxon,mamm,hops,1,LOCATION_OF_MAMMlocfHOPS
