cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0008109,C0002712,LOCATION_OF,Chimera organism,Amylases,orgm,aapp,4,LOCATION_OF_ORGMlocfAAPP
C0008109,C0010590,LOCATION_OF,Chimera organism,Cycloserine,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0008109,C0030946,LOCATION_OF,Chimera organism,Endopeptidases,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0008109,C1412831,LOCATION_OF,Chimera organism,BST2 gene,orgm,aapp,2,LOCATION_OF_ORGMlocfAAPP
C0008109,C4084937,LOCATION_OF,Chimera organism,Antimicrobial Peptide,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0020205,C0023206,LOCATION_OF,Hybrids,Lectin,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0020205,C0359168,LOCATION_OF,Hybrids,Mouse monoclonal antibody,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0314732,C1421554,LOCATION_OF,Infectious agent,YME1L1 gene,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0445623,C0003241,LOCATION_OF,Microorganism,Antibodies,orgm,aapp,4,LOCATION_OF_ORGMlocfAAPP
C0445623,C0020731,LOCATION_OF,Microorganism,Pertussis Toxin,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0445623,C0030940,LOCATION_OF,Microorganism,Peptide Hydrolases,orgm,aapp,3,LOCATION_OF_ORGMlocfAAPP
C0445623,C0034861,LOCATION_OF,Microorganism,Recombinant Proteins,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0445623,C0036538,LOCATION_OF,Microorganism,Secretory Component,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0445623,C0042736,LOCATION_OF,Microorganism,Viral Proteins,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0445623,C0058107,LOCATION_OF,Microorganism,Dihydropyrimidinase,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0445623,C0064293,LOCATION_OF,Microorganism,keratinase,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0445623,C0108401,LOCATION_OF,Microorganism,carbohydrate-binding protein,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0445623,C0376436,LOCATION_OF,Microorganism,Peptide Library,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0445623,C0597357,LOCATION_OF,Microorganism,receptor,orgm,aapp,4,LOCATION_OF_ORGMlocfAAPP
C0445623,C0599099,LOCATION_OF,Microorganism,formyl peptide,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0445623,C1310463,LOCATION_OF,Microorganism,"IFIH1 protein, human",orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0445623,C1310468,LOCATION_OF,Microorganism,"DDX58 protein, human",orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0445623,C1414444,LOCATION_OF,Microorganism,ERN1 gene,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0445623,C1415886,LOCATION_OF,Microorganism,IFI16 gene,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0445623,C1416642,LOCATION_OF,Microorganism,KIN gene,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0445623,C1423784,LOCATION_OF,Microorganism,SMOX gene,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0445623,C1424053,LOCATION_OF,Microorganism,ZBP1 gene,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0445623,C1424783,LOCATION_OF,Microorganism,LY96 gene,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0445623,C1533581,LOCATION_OF,Microorganism,Recombinant Insulin,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0445623,C1823437,LOCATION_OF,Microorganism,TMEM173 gene,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0445623,C3494234,LOCATION_OF,Microorganism,VHH Immunoglobulin Fragments,orgm,aapp,2,LOCATION_OF_ORGMlocfAAPP
C0445623,C3884535,LOCATION_OF,Microorganism,"AREG protein, human",orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0450254,C0002520,LOCATION_OF,Pathogenic organism,Amino Acids,orgm,aapp,2,LOCATION_OF_ORGMlocfAAPP
C0450254,C0003241,LOCATION_OF,Pathogenic organism,Antibodies,orgm,aapp,6,LOCATION_OF_ORGMlocfAAPP
C0450254,C0003595,LOCATION_OF,Pathogenic organism,Apolipoprotein E,orgm,aapp,2,LOCATION_OF_ORGMlocfAAPP
C0450254,C0009498,LOCATION_OF,Pathogenic organism,Complement System Proteins,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
C0450254,C0017968,LOCATION_OF,Pathogenic organism,Glycoproteins,orgm,aapp,1,LOCATION_OF_ORGMlocfAAPP
