cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0314732,C0162326,LOCATION_OF,Infectious agent,DNA Sequence,orgm,nusq,1,LOCATION_OF_ORGMlocfNUSQ
C0445623,C0009802,LOCATION_OF,Microorganism,Conserved Sequence,orgm,nusq,1,LOCATION_OF_ORGMlocfNUSQ
C0445623,C0162326,LOCATION_OF,Microorganism,DNA Sequence,orgm,nusq,2,LOCATION_OF_ORGMlocfNUSQ
C0450254,C0162326,LOCATION_OF,Pathogenic organism,DNA Sequence,orgm,nusq,5,LOCATION_OF_ORGMlocfNUSQ
C0450254,C1517336,LOCATION_OF,Pathogenic organism,G-Quadruplexes,orgm,nusq,1,LOCATION_OF_ORGMlocfNUSQ
C0450254,C3178798,LOCATION_OF,Pathogenic organism,DNA Motifs,orgm,nusq,1,LOCATION_OF_ORGMlocfNUSQ
C0450254,C3178810,LOCATION_OF,Pathogenic organism,Transcriptome,orgm,nusq,1,LOCATION_OF_ORGMlocfNUSQ
C1956108,C0162326,LOCATION_OF,Microbiome,DNA Sequence,orgm,nusq,2,LOCATION_OF_ORGMlocfNUSQ
C2985398,C0162326,LOCATION_OF,Intestinal Microbiome,DNA Sequence,orgm,nusq,1,LOCATION_OF_ORGMlocfNUSQ
C4267729,C0162326,LOCATION_OF,Respiratory pathogens,DNA Sequence,orgm,nusq,1,LOCATION_OF_ORGMlocfNUSQ
