cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000876,C0013621,LOCATION_OF,Academies,Knowledge acquisition,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0016502,C0013621,LOCATION_OF,Food processing industry,Knowledge acquisition,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0016617,C0220931,LOCATION_OF,Foundations,Training,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0018104,C0015770,LOCATION_OF,Government,Fellowships,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0018104,C0039401,LOCATION_OF,Government,Educational process of instructing,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0018104,C0242262,LOCATION_OF,Government,Educational workshop,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0018105,C0220931,LOCATION_OF,Government Agencies,Training,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0021622,C0086858,LOCATION_OF,Institutes,Programmed Learning,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0021622,C0220931,LOCATION_OF,Institutes,Training,orgt,edac,2,LOCATION_OF_ORGTlocfEDAC
C0022877,C0039401,LOCATION_OF,Laboratory,Educational process of instructing,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0022877,C0040607,LOCATION_OF,Laboratory,Training Programs,orgt,edac,5,LOCATION_OF_ORGTlocfEDAC
C0022877,C0040608,LOCATION_OF,Laboratory,Training Support,orgt,edac,2,LOCATION_OF_ORGTlocfEDAC
C0022877,C0220931,LOCATION_OF,Laboratory,Training,orgt,edac,24,LOCATION_OF_ORGTlocfEDAC
C0022877,C0681113,LOCATION_OF,Laboratory,Employee Training,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0022877,C0870838,LOCATION_OF,Laboratory,management training,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0029246,C0013621,LOCATION_OF,Organization administrative structures,Knowledge acquisition,orgt,edac,2,LOCATION_OF_ORGTlocfEDAC
C0029246,C0220931,LOCATION_OF,Organization administrative structures,Training,orgt,edac,2,LOCATION_OF_ORGTlocfEDAC
C0029246,C2362527,LOCATION_OF,Organization administrative structures,Health Literacy,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0033145,C0013621,LOCATION_OF,Primary Schools,Knowledge acquisition,orgt,edac,5,LOCATION_OF_ORGTlocfEDAC
C0036375,C0013621,LOCATION_OF,School,Knowledge acquisition,orgt,edac,8,LOCATION_OF_ORGTlocfEDAC
C0036375,C0013630,LOCATION_OF,School,Graduate Education,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0036375,C0013631,LOCATION_OF,School,"Education, Medical",orgt,edac,7,LOCATION_OF_ORGTlocfEDAC
C0036375,C0042933,LOCATION_OF,School,Vocational Education,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0036375,C0220931,LOCATION_OF,School,Training,orgt,edac,4,LOCATION_OF_ORGTlocfEDAC
C0036379,C0039401,LOCATION_OF,"Schools, Nursery",Educational process of instructing,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0036530,C0013621,LOCATION_OF,"Schools, Secondary",Knowledge acquisition,orgt,edac,2,LOCATION_OF_ORGTlocfEDAC
C0036530,C0220931,LOCATION_OF,"Schools, Secondary",Training,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0041740,C0000875,LOCATION_OF,Universities,Academic Training,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0041740,C0013621,LOCATION_OF,Universities,Knowledge acquisition,orgt,edac,11,LOCATION_OF_ORGTlocfEDAC
C0041740,C0013630,LOCATION_OF,Universities,Graduate Education,orgt,edac,2,LOCATION_OF_ORGTlocfEDAC
C0041740,C0013647,LOCATION_OF,Universities,"Education, Professional",orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0041740,C0039401,LOCATION_OF,Universities,Educational process of instructing,orgt,edac,5,LOCATION_OF_ORGTlocfEDAC
C0041740,C0040607,LOCATION_OF,Universities,Training Programs,orgt,edac,2,LOCATION_OF_ORGTlocfEDAC
C0041740,C0220931,LOCATION_OF,Universities,Training,orgt,edac,7,LOCATION_OF_ORGTlocfEDAC
C0041740,C0681340,LOCATION_OF,Universities,parent training,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0041740,C0871890,LOCATION_OF,Universities,School Management,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0041740,C1272438,LOCATION_OF,Universities,Health promotion education,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0041740,C1514886,LOCATION_OF,Universities,Research Training,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0237463,C0015770,LOCATION_OF,Agencies,Fellowships,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0557797,C0013621,LOCATION_OF,Middle school,Knowledge acquisition,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0557797,C1711333,LOCATION_OF,Middle school,Graduation,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0557800,C0013621,LOCATION_OF,Public school,Knowledge acquisition,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0596497,C0013621,LOCATION_OF,Elementary Schools,Knowledge acquisition,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0598079,C0039401,LOCATION_OF,American Type Culture Collection,Educational process of instructing,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0599395,C1711333,LOCATION_OF,High Schools,Graduation,orgt,edac,3,LOCATION_OF_ORGTlocfEDAC
C0679729,C0013621,LOCATION_OF,cooperative,Knowledge acquisition,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0680877,C0220931,LOCATION_OF,public and private,Training,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0681331,C0013621,LOCATION_OF,higher education institution,Knowledge acquisition,orgt,edac,2,LOCATION_OF_ORGTlocfEDAC
C0681331,C1514602,LOCATION_OF,higher education institution,Public Health Education,orgt,edac,2,LOCATION_OF_ORGTlocfEDAC
C0683939,C0220931,LOCATION_OF,research center,Training,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C0870614,C0000875,LOCATION_OF,graduate schools,Academic Training,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C1510747,C0024500,LOCATION_OF,Academia (organization),Mainstreaming (Education),orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C1510747,C0025370,LOCATION_OF,Academia (organization),Mentorships,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
C1555720,C0220931,LOCATION_OF,Nation,Training,orgt,edac,2,LOCATION_OF_ORGTlocfEDAC
C1704729,C0013621,LOCATION_OF,Department,Knowledge acquisition,orgt,edac,1,LOCATION_OF_ORGTlocfEDAC
