cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0008070,C1513384,LOCATION_OF,Day Care Centers for Children,Molecular Genetic Technique,orgt,mbrt,1,LOCATION_OF_ORGTlocfMBRT
C0015179,C0080143,LOCATION_OF,European Union,Sequence Alignment,orgt,mbrt,1,LOCATION_OF_ORGTlocfMBRT
C0021622,C1511897,LOCATION_OF,Institutes,Dideoxy Chain Termination DNA Sequencing,orgt,mbrt,3,LOCATION_OF_ORGTlocfMBRT
C0022877,C0017387,LOCATION_OF,Laboratory,Genetic Engineering,orgt,mbrt,1,LOCATION_OF_ORGTlocfMBRT
C0022877,C0178659,LOCATION_OF,Laboratory,genetic manipulation,orgt,mbrt,2,LOCATION_OF_ORGTlocfMBRT
C0022877,C0598991,LOCATION_OF,Laboratory,gene synthesis,orgt,mbrt,2,LOCATION_OF_ORGTlocfMBRT
C0022877,C0599161,LOCATION_OF,Laboratory,Reverse Transcriptase Polymerase Chain Reaction,orgt,mbrt,14,LOCATION_OF_ORGTlocfMBRT
C0022877,C0949688,LOCATION_OF,Laboratory,Molecular Diagnostic Techniques,orgt,mbrt,1,LOCATION_OF_ORGTlocfMBRT
C0022877,C1328887,LOCATION_OF,Laboratory,genome sequencing,orgt,mbrt,2,LOCATION_OF_ORGTlocfMBRT
C0022877,C1511897,LOCATION_OF,Laboratory,Dideoxy Chain Termination DNA Sequencing,orgt,mbrt,1,LOCATION_OF_ORGTlocfMBRT
C0022877,C1513384,LOCATION_OF,Laboratory,Molecular Genetic Technique,orgt,mbrt,4,LOCATION_OF_ORGTlocfMBRT
C0022877,C1514628,LOCATION_OF,Laboratory,Quantitative Reverse Transcriptase PCR,orgt,mbrt,3,LOCATION_OF_ORGTlocfMBRT
C0022877,C1516329,LOCATION_OF,Laboratory,Cell Culture System,orgt,mbrt,1,LOCATION_OF_ORGTlocfMBRT
C0022877,C1709846,LOCATION_OF,Laboratory,Real-Time Polymerase Chain Reaction,orgt,mbrt,26,LOCATION_OF_ORGTlocfMBRT
C0022877,C1961118,LOCATION_OF,Laboratory,Yeast Two-Hybrid System Techniques,orgt,mbrt,1,LOCATION_OF_ORGTlocfMBRT
C0022877,C2936622,LOCATION_OF,Laboratory,Massively-Parallel Sequencing,orgt,mbrt,1,LOCATION_OF_ORGTlocfMBRT
C0022877,C3640076,LOCATION_OF,Laboratory,Whole Genome Sequencing,orgt,mbrt,2,LOCATION_OF_ORGTlocfMBRT
C0022877,C3839010,LOCATION_OF,Laboratory,Ribonucleic acid extraction technique,orgt,mbrt,5,LOCATION_OF_ORGTlocfMBRT
C0022877,C3839098,LOCATION_OF,Laboratory,Deoxyribonucleic acid extraction technique,orgt,mbrt,1,LOCATION_OF_ORGTlocfMBRT
C0022877,C3899368,LOCATION_OF,Laboratory,Direct Sequencing,orgt,mbrt,1,LOCATION_OF_ORGTlocfMBRT
C0023621,C0599161,LOCATION_OF,Libraries,Reverse Transcriptase Polymerase Chain Reaction,orgt,mbrt,1,LOCATION_OF_ORGTlocfMBRT
C0023621,C1519025,LOCATION_OF,Libraries,Phage Display,orgt,mbrt,3,LOCATION_OF_ORGTlocfMBRT
C0023621,C1519305,LOCATION_OF,Libraries,Shotgun Sequencing,orgt,mbrt,1,LOCATION_OF_ORGTlocfMBRT
C0023621,C1709846,LOCATION_OF,Libraries,Real-Time Polymerase Chain Reaction,orgt,mbrt,2,LOCATION_OF_ORGTlocfMBRT
C0023621,C2936621,LOCATION_OF,Libraries,High-Throughput Nucleotide Sequencing,orgt,mbrt,1,LOCATION_OF_ORGTlocfMBRT
C0023621,C2936622,LOCATION_OF,Libraries,Massively-Parallel Sequencing,orgt,mbrt,2,LOCATION_OF_ORGTlocfMBRT
C0023621,C2936624,LOCATION_OF,Libraries,Deep Sequencing,orgt,mbrt,3,LOCATION_OF_ORGTlocfMBRT
C0027446,C1513400,LOCATION_OF,National Academy of Sciences (U.S.),Molecular Profiling,orgt,mbrt,1,LOCATION_OF_ORGTlocfMBRT
C0036375,C1709846,LOCATION_OF,School,Real-Time Polymerase Chain Reaction,orgt,mbrt,3,LOCATION_OF_ORGTlocfMBRT
