cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005767,C0030054,LOCATION_OF,Blood,Oxygen,tisu,elii,3,LOCATION_OF_TISUlocfELII
C0014609,C0003075,LOCATION_OF,Epithelium,Anions,tisu,elii,1,LOCATION_OF_TISUlocfELII
C0014609,C0022023,LOCATION_OF,Epithelium,Ions,tisu,elii,1,LOCATION_OF_TISUlocfELII
C0025255,C0022023,LOCATION_OF,Tissue membrane,Ions,tisu,elii,1,LOCATION_OF_TISUlocfELII
C0026845,C0025424,LOCATION_OF,Muscle,Mercury,tisu,elii,1,LOCATION_OF_TISUlocfELII
C0026845,C0302918,LOCATION_OF,Muscle,Stable isotope,tisu,elii,1,LOCATION_OF_TISUlocfELII
C0026845,C0347988,LOCATION_OF,Muscle,"Metals, Heavy",tisu,elii,1,LOCATION_OF_TISUlocfELII
C0040300,C0003818,LOCATION_OF,Body tissue,Arsenic,tisu,elii,1,LOCATION_OF_TISUlocfELII
C0040300,C0006632,LOCATION_OF,Body tissue,Cadmium,tisu,elii,1,LOCATION_OF_TISUlocfELII
C0040300,C0032207,LOCATION_OF,Body tissue,Platinum,tisu,elii,1,LOCATION_OF_TISUlocfELII
C0040300,C0302918,LOCATION_OF,Body tissue,Stable isotope,tisu,elii,1,LOCATION_OF_TISUlocfELII
C0222331,C0030054,LOCATION_OF,Subcutaneous Fat,Oxygen,tisu,elii,1,LOCATION_OF_TISUlocfELII
C0225324,C0302918,LOCATION_OF,Blubber,Stable isotope,tisu,elii,1,LOCATION_OF_TISUlocfELII
C0229665,C0030054,LOCATION_OF,Blood arterial,Oxygen,tisu,elii,5,LOCATION_OF_TISUlocfELII
C1518248,C0016911,LOCATION_OF,Nerve Sheath,Gadolinium,tisu,elii,1,LOCATION_OF_TISUlocfELII
