cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004799,C0002055,LOCATION_OF,Basement membrane,Alkalies,tisu,inch,1,LOCATION_OF_TISUlocfINCH
C0004799,C0038720,LOCATION_OF,Basement membrane,"Sulfates, Inorganic",tisu,inch,1,LOCATION_OF_TISUlocfINCH
C0005767,C0002611,LOCATION_OF,Blood,Ammonium,tisu,inch,1,LOCATION_OF_TISUlocfINCH
C0005767,C0020281,LOCATION_OF,Blood,Hydrogen Peroxide,tisu,inch,1,LOCATION_OF_TISUlocfINCH
C0005767,C0043047,LOCATION_OF,Blood,Water,tisu,inch,2,LOCATION_OF_TISUlocfINCH
C0005767,C0757156,LOCATION_OF,Blood,fortune,tisu,inch,1,LOCATION_OF_TISUlocfINCH
C0014609,C0008203,LOCATION_OF,Epithelium,Chlorides,tisu,inch,2,LOCATION_OF_TISUlocfINCH
C0014609,C0013832,LOCATION_OF,Epithelium,Electrolytes,tisu,inch,1,LOCATION_OF_TISUlocfINCH
C0014609,C0043047,LOCATION_OF,Epithelium,Water,tisu,inch,1,LOCATION_OF_TISUlocfINCH
C0025255,C0043047,LOCATION_OF,Tissue membrane,Water,tisu,inch,1,LOCATION_OF_TISUlocfINCH
C0026724,C0002055,LOCATION_OF,Mucous Membrane,Alkalies,tisu,inch,1,LOCATION_OF_TISUlocfINCH
C0026845,C0008203,LOCATION_OF,Muscle,Chlorides,tisu,inch,1,LOCATION_OF_TISUlocfINCH
C0040300,C0032825,LOCATION_OF,Body tissue,Potassium Chloride,tisu,inch,1,LOCATION_OF_TISUlocfINCH
C0040300,C0043047,LOCATION_OF,Body tissue,Water,tisu,inch,3,LOCATION_OF_TISUlocfINCH
C0040300,C0357197,LOCATION_OF,Body tissue,Calcium salt,tisu,inch,1,LOCATION_OF_TISUlocfINCH
C0504097,C0357197,LOCATION_OF,Endomysium,Calcium salt,tisu,inch,1,LOCATION_OF_TISUlocfINCH
C0599331,C0008203,LOCATION_OF,Nasal Epithelium,Chlorides,tisu,inch,2,LOCATION_OF_TISUlocfINCH
C0682708,C0043047,LOCATION_OF,White matter,Water,tisu,inch,1,LOCATION_OF_TISUlocfINCH
C1179002,C0008203,LOCATION_OF,Epithelium of trachea,Chlorides,tisu,inch,2,LOCATION_OF_TISUlocfINCH
C1521714,C0002055,LOCATION_OF,Uterus - Cervix (MMHCC),Alkalies,tisu,inch,1,LOCATION_OF_TISUlocfINCH
C2316368,C0357197,LOCATION_OF,Tissue section,Calcium salt,tisu,inch,1,LOCATION_OF_TISUlocfINCH
