cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0026724,C0796477,LOCATION_OF,Mucous Membrane,Chromosome 3 Short Arm,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C0026845,C0162326,LOCATION_OF,Muscle,DNA Sequence,tisu,nusq,4,LOCATION_OF_TISUlocfNUSQ
C0029250,C3178810,LOCATION_OF,Organoids,Transcriptome,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C0040300,C0162326,LOCATION_OF,Body tissue,DNA Sequence,tisu,nusq,8,LOCATION_OF_TISUlocfNUSQ
C0040300,C0162327,LOCATION_OF,Body tissue,RNA Sequence,tisu,nusq,2,LOCATION_OF_TISUlocfNUSQ
C0040300,C0752046,LOCATION_OF,Body tissue,Single Nucleotide Polymorphism,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C0040300,C3178810,LOCATION_OF,Body tissue,Transcriptome,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C0221921,C0752046,LOCATION_OF,Stratum corneum,Single Nucleotide Polymorphism,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C0348047,C0162326,LOCATION_OF,Tissue Grafts,DNA Sequence,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C0440744,C0162326,LOCATION_OF,Human tissue,DNA Sequence,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C0440744,C3178810,LOCATION_OF,Human tissue,Transcriptome,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C0440746,C0162326,LOCATION_OF,brain tissue surgical material,DNA Sequence,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C1180138,C0162326,LOCATION_OF,Principal tissue,DNA Sequence,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C1292533,C0004793,LOCATION_OF,Tissue specimen,Base Sequence,tisu,nusq,2,LOCATION_OF_TISUlocfNUSQ
C1292533,C0162326,LOCATION_OF,Tissue specimen,DNA Sequence,tisu,nusq,3,LOCATION_OF_TISUlocfNUSQ
C1518039,C0004793,LOCATION_OF,Mouse Lung,Base Sequence,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C1518039,C3178810,LOCATION_OF,Mouse Lung,Transcriptome,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C1522642,C0080089,LOCATION_OF,Clone,Reading Frames (Nucleotide Sequence),tisu,nusq,2,LOCATION_OF_TISUlocfNUSQ
C1522642,C0162326,LOCATION_OF,Clone,DNA Sequence,tisu,nusq,4,LOCATION_OF_TISUlocfNUSQ
C1522642,C0162327,LOCATION_OF,Clone,RNA Sequence,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C1522642,C0752046,LOCATION_OF,Clone,Single Nucleotide Polymorphism,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C1522642,C1512886,LOCATION_OF,Clone,Internal Ribosome Entry Sites,tisu,nusq,1,LOCATION_OF_TISUlocfNUSQ
C1522642,C1882940,LOCATION_OF,Clone,Restriction Site,tisu,nusq,2,LOCATION_OF_TISUlocfNUSQ
