cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005841,C0005532,METHOD_OF,Blood Transfusion,biology (field),topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0005841,C0014507,METHOD_OF,Blood Transfusion,Epidemiology,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0013216,C1319410,METHOD_OF,Pharmacotherapy,Transplantation surgery specialty,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0020971,C0030664,METHOD_OF,Immunization,Pathology,topp,bmod,2,METHOD_OF_TOPPmthfBMOD
C0023038,C0677043,METHOD_OF,Laparotomy,Histopathology,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0040732,C0920591,METHOD_OF,Transplantation,mimetics,topp,bmod,3,METHOD_OF_TOPPmthfBMOD
C0041281,C0029087,METHOD_OF,Tube feeding of patient,Ophthalmology specialty,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0042196,C0005532,METHOD_OF,Vaccination,biology (field),topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0042196,C0031330,METHOD_OF,Vaccination,Pharmacology,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0042196,C0677043,METHOD_OF,Vaccination,Histopathology,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0042196,C0876934,METHOD_OF,Vaccination,Neuropathology,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0086153,C0872252,METHOD_OF,Dietary Modification,Proteomics,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0152060,C0005532,METHOD_OF,Transection (procedure),biology (field),topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0152060,C0014507,METHOD_OF,Transection (procedure),Epidemiology,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0152060,C0019638,METHOD_OF,Transection (procedure),Histology,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0152060,C0677043,METHOD_OF,Transection (procedure),Histopathology,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0185003,C0020405,METHOD_OF,Reparative closure,Hygiene,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0185115,C0025124,METHOD_OF,Extraction,Traditional Chinese Medicine,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0185115,C0030664,METHOD_OF,Extraction,Pathology,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0190979,C0036745,METHOD_OF,Venous blood sampling,Study of serum,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0190979,C1273858,METHOD_OF,Venous blood sampling,Transfusion Medicine,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0199176,C0014507,METHOD_OF,Prophylactic treatment,Epidemiology,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0204727,C0030664,METHOD_OF,Isolation procedure,Pathology,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0281375,C1274034,METHOD_OF,differentiation therapy,Clinical Oncology,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0302189,C1257974,METHOD_OF,Cell Therapy,Regenerative Medicine,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0441516,C0033110,METHOD_OF,Demand (clinical),preventive medicine specialty,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0441516,C1955980,METHOD_OF,Demand (clinical),Disaster Medicine,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0581602,C0005532,METHOD_OF,Structural modification,biology (field),topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0596171,C1257974,METHOD_OF,Tissue Engineering,Regenerative Medicine,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0679698,C0015607,METHOD_OF,disease prevention,family medicine (field),topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C0947647,C0005532,METHOD_OF,Manipulation procedure,biology (field),topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C1511790,C0005532,METHOD_OF,Detection,biology (field),topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C1511790,C0005574,METHOD_OF,Detection,Biotechnology,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C1511790,C0030664,METHOD_OF,Detection,Pathology,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C1511790,C0036745,METHOD_OF,Detection,Study of serum,topp,bmod,2,METHOD_OF_TOPPmthfBMOD
C1511790,C1140694,METHOD_OF,Detection,Bio-Informatics,topp,bmod,2,METHOD_OF_TOPPmthfBMOD
C1515884,C0025123,METHOD_OF,Acupuncture and Oriental Medicine,chinese medicine,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C1515884,C1879848,METHOD_OF,Acupuncture and Oriental Medicine,Biomedicine,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
C1704536,C0036745,METHOD_OF,Direct Method,Study of serum,topp,bmod,1,METHOD_OF_TOPPmthfBMOD
