cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0012683,C0036172,METHOD_OF,Disinfection,Sanitation,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C0020971,C0003916,METHOD_OF,Immunization,Artificial Intelligence,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C0020974,C0014279,METHOD_OF,passive immunization procedure,Engineering,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C0023690,C0039421,METHOD_OF,Ligation,Technology,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C0042196,C0019664,METHOD_OF,Vaccination,History,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C0042196,C2699264,METHOD_OF,Vaccination,Salesperson,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C0152054,C0019664,METHOD_OF,Therapeutic tactile stimulation,History,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C0152060,C0024934,METHOD_OF,Transection (procedure),Mathematics,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C0185115,C0002812,METHOD_OF,Extraction,"Anatomy, Regional",topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C0185115,C0019664,METHOD_OF,Extraction,History,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C0185115,C0039421,METHOD_OF,Extraction,Technology,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C0185115,C0087066,METHOD_OF,Extraction,Taxonomy,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C0199176,C0001829,METHOD_OF,Prophylactic treatment,Agriculture,topp,ocdi,2,METHOD_OF_TOPPmthfOCDI
C0393005,C0003826,METHOD_OF,chlorodihydroxypyridine/potassium oxonate/tegafur,Arts,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C0455107,C0178478,METHOD_OF,Injection of heart,animal care,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C0473296,C0019664,METHOD_OF,Elective cesarian delivery procedure,History,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C0679698,C0019664,METHOD_OF,disease prevention,History,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C0808232,C0019664,METHOD_OF,Therapeutic Intervention,History,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C0947647,C0013546,METHOD_OF,Manipulation procedure,Ecology,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C1135929,C0020157,METHOD_OF,Mass Vaccination,Humanities,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C1511790,C0019664,METHOD_OF,Detection,History,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C1511790,C2717799,METHOD_OF,Detection,Metagenomics,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C2718059,C0001829,METHOD_OF,Precision Medicine,Agriculture,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
C4526535,C0024934,METHOD_OF,Bendamustine/Lenalidomide/Dexamethasone Regimen,Mathematics,topp,ocdi,1,METHOD_OF_TOPPmthfOCDI
