cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003241,C1275278,NEG_AFFECTS,Antibodies,Extraskeletal Myxoid Chondrosarcoma,aapp,neop,1,NEG_AFFECTS_AAPPnafctNEOP
C0021760,C0027627,NEG_AFFECTS,Interleukin-6,Neoplasm Metastasis,aapp,neop,1,NEG_AFFECTS_AAPPnafctNEOP
C0023206,C0006826,NEG_AFFECTS,Lectin,Malignant Neoplasms,aapp,neop,1,NEG_AFFECTS_AAPPnafctNEOP
C0290178,C0027627,NEG_AFFECTS,"PLK1 protein, human",Neoplasm Metastasis,aapp,neop,1,NEG_AFFECTS_AAPPnafctNEOP
C0597094,C0027627,NEG_AFFECTS,nuclease,Neoplasm Metastasis,aapp,neop,1,NEG_AFFECTS_AAPPnafctNEOP
C0796392,C0027627,NEG_AFFECTS,bevacizumab,Neoplasm Metastasis,aapp,neop,1,NEG_AFFECTS_AAPPnafctNEOP
C0995188,C0027627,NEG_AFFECTS,cetuximab,Neoplasm Metastasis,aapp,neop,1,NEG_AFFECTS_AAPPnafctNEOP
C1540289,C0598934,NEG_AFFECTS,CD200 gene,tumor growth,aapp,neop,1,NEG_AFFECTS_AAPPnafctNEOP
C1540290,C0598934,NEG_AFFECTS,CD200R1 gene,tumor growth,aapp,neop,1,NEG_AFFECTS_AAPPnafctNEOP
C1824492,C0677930,NEG_AFFECTS,DNAAF3 gene,primary tumor,aapp,neop,1,NEG_AFFECTS_AAPPnafctNEOP
C1883559,C0027627,NEG_AFFECTS,Wild Type,Neoplasm Metastasis,aapp,neop,1,NEG_AFFECTS_AAPPnafctNEOP
