cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0009316,C0332149,NEG_AFFECTS,Colistin,Possible,aapp,qlco,2,NEG_AFFECTS_AAPPnafctQLCO
C0035542,C0184511,NEG_AFFECTS,Ribonucleases,Improved,aapp,qlco,1,NEG_AFFECTS_AAPPnafctQLCO
C0072054,C0442797,NEG_AFFECTS,procollagen Type III-N-terminal peptide,Decreasing,aapp,qlco,1,NEG_AFFECTS_AAPPnafctQLCO
C1307407,C0205160,NEG_AFFECTS,"FRAP1 protein, human",Negative,aapp,qlco,1,NEG_AFFECTS_AAPPnafctQLCO
C1332386,C0205160,NEG_AFFECTS,BCAR3 gene,Negative,aapp,qlco,1,NEG_AFFECTS_AAPPnafctQLCO
C1332386,C1883725,NEG_AFFECTS,BCAR3 gene,Replicate,aapp,qlco,1,NEG_AFFECTS_AAPPnafctQLCO
C1336763,C0332149,NEG_AFFECTS,Toll-Like Receptor Family Gene,Possible,aapp,qlco,1,NEG_AFFECTS_AAPPnafctQLCO
C1420469,C0205160,NEG_AFFECTS,STK17B gene,Negative,aapp,qlco,1,NEG_AFFECTS_AAPPnafctQLCO
C1422599,C0332149,NEG_AFFECTS,PPP1R15A gene,Possible,aapp,qlco,1,NEG_AFFECTS_AAPPnafctQLCO
C1424926,C0332149,NEG_AFFECTS,APOBEC3C gene,Possible,aapp,qlco,1,NEG_AFFECTS_AAPPnafctQLCO
C1539340,C0332149,NEG_AFFECTS,EIF2AK1 gene,Possible,aapp,qlco,1,NEG_AFFECTS_AAPPnafctQLCO
C3715044,C0332149,NEG_AFFECTS,AKR1A1 wt Allele,Possible,aapp,qlco,1,NEG_AFFECTS_AAPPnafctQLCO
C4084937,C0332149,NEG_AFFECTS,Antimicrobial Peptide,Possible,aapp,qlco,1,NEG_AFFECTS_AAPPnafctQLCO
