cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007603,C0010813,NEG_AFFECTS,Plasma membrane,Cytokinesis,celc,celf,1,NEG_AFFECTS_CELCnafctCELF
C0010834,C2755756,NEG_AFFECTS,Cytoplasm,cellular transcription,celc,celf,1,NEG_AFFECTS_CELCnafctCELF
C0026046,C0007587,NEG_AFFECTS,Microtubules,Cell Death,celc,celf,1,NEG_AFFECTS_CELCnafctCELF
C0026237,C0025251,NEG_AFFECTS,Mitochondria,Membrane Potentials,celc,celf,2,NEG_AFFECTS_CELCnafctCELF
C0034850,C0596898,NEG_AFFECTS,Endosomes,membrane biogenesis,celc,celf,1,NEG_AFFECTS_CELCnafctCELF
C0042760,C0007620,NEG_AFFECTS,Virion,Cell Survival,celc,celf,1,NEG_AFFECTS_CELCnafctCELF
C0042760,C1327616,NEG_AFFECTS,Virion,Cell secretion,celc,celf,1,NEG_AFFECTS_CELCnafctCELF
C0230653,C0014139,NEG_AFFECTS,Caveolae,Endocytosis,celc,celf,1,NEG_AFFECTS_CELCnafctCELF
C1167250,C1160701,NEG_AFFECTS,lipid raft,viral genome replication,celc,celf,3,NEG_AFFECTS_CELCnafctCELF
C1167322,C0599895,NEG_AFFECTS,integral to membrane,protein transport,celc,celf,1,NEG_AFFECTS_CELCnafctCELF
C3887595,C0004391,NEG_AFFECTS,Autophagosome,Autophagy,celc,celf,1,NEG_AFFECTS_CELCnafctCELF
