cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004391,C1537068,NEG_AFFECTS,Autophagy,Virus Internalization,celf,orga,1,NEG_AFFECTS_CELFnafctORGA
C0010813,C0085732,NEG_AFFECTS,Cytokinesis,Ability,celf,orga,1,NEG_AFFECTS_CELFnafctORGA
C0010813,C0220898,NEG_AFFECTS,Cytokinesis,Predisposition -- attribute,celf,orga,1,NEG_AFFECTS_CELFnafctORGA
C0010813,C1537068,NEG_AFFECTS,Cytokinesis,Virus Internalization,celf,orga,1,NEG_AFFECTS_CELFnafctORGA
C0162638,C0220898,NEG_AFFECTS,Apoptosis,Predisposition -- attribute,celf,orga,2,NEG_AFFECTS_CELFnafctORGA
C1159455,C0220898,NEG_AFFECTS,syncytium formation,Predisposition -- attribute,celf,orga,1,NEG_AFFECTS_CELFnafctORGA
C1160466,C0085732,NEG_AFFECTS,conjugation,Ability,celf,orga,1,NEG_AFFECTS_CELFnafctORGA
C1519167,C1537068,NEG_AFFECTS,Negative Regulation of S Phase,Virus Internalization,celf,orga,1,NEG_AFFECTS_CELFnafctORGA
C1622501,C0085732,NEG_AFFECTS,"Migration, Cell",Ability,celf,orga,1,NEG_AFFECTS_CELFnafctORGA
C2611812,C1537068,NEG_AFFECTS,signaling cascade,Virus Internalization,celf,orga,1,NEG_AFFECTS_CELFnafctORGA
C3156643,C1537068,NEG_AFFECTS,caveolin-mediated endocytosis,Virus Internalization,celf,orga,1,NEG_AFFECTS_CELFnafctORGA
C3156680,C1136169,NEG_AFFECTS,interleukin-18 secretion,Pathogenicity,celf,orga,1,NEG_AFFECTS_CELFnafctORGA
