cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0011065,C0004391,NEG_AFFECTS,Cessation of life,Autophagy,orgf,celf,1,NEG_AFFECTS_ORGFnafctCELF
C0018270,C0007586,NEG_AFFECTS,Growth,Cell Cycle,orgf,celf,1,NEG_AFFECTS_ORGFnafctCELF
C0020966,C0003261,NEG_AFFECTS,Cellular Immunity,Antibody Formation,orgf,celf,1,NEG_AFFECTS_ORGFnafctCELF
C0026649,C1160716,NEG_AFFECTS,Movement,viral transmission,orgf,celf,1,NEG_AFFECTS_ORGFnafctCELF
C0042767,C0007587,NEG_AFFECTS,Virus Activation,Cell Death,orgf,celf,1,NEG_AFFECTS_ORGFnafctCELF
C0042774,C0206431,NEG_AFFECTS,Virus Replication,Antigen Presentation,orgf,celf,1,NEG_AFFECTS_ORGFnafctCELF
C0042774,C0597601,NEG_AFFECTS,Virus Replication,Transcytosis,orgf,celf,1,NEG_AFFECTS_ORGFnafctCELF
C0301872,C2244223,NEG_AFFECTS,Immune response,cellular homeostasis,orgf,celf,1,NEG_AFFECTS_ORGFnafctCELF
C0699900,C0007613,NEG_AFFECTS,Catabolism,Cell physiology,orgf,celf,1,NEG_AFFECTS_ORGFnafctCELF
C0699900,C1159772,NEG_AFFECTS,Catabolism,intracellular protein transport,orgf,celf,1,NEG_AFFECTS_ORGFnafctCELF
