cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003308,C0682523,NEG_AFFECTS,Antifungal Agents,human cell line,phsu,cell,1,NEG_AFFECTS_PHSUnafctCELL
C0003451,C0221284,NEG_AFFECTS,Antiviral Agents,Leptocyte,phsu,cell,1,NEG_AFFECTS_PHSUnafctCELL
C0004482,C4277577,NEG_AFFECTS,Azathioprine,A549 Cells,phsu,cell,1,NEG_AFFECTS_PHSUnafctCELL
C0016360,C0038250,NEG_AFFECTS,Fluorouracil,Stem cells,phsu,cell,1,NEG_AFFECTS_PHSUnafctCELL
C0035525,C0042542,NEG_AFFECTS,Ribavirin,Vero Cells,phsu,cell,2,NEG_AFFECTS_PHSUnafctCELL
C0037982,C0085236,NEG_AFFECTS,Spironolactone,"Macrophages, Alveolar",phsu,cell,1,NEG_AFFECTS_PHSUnafctCELL
C0304497,C0597032,NEG_AFFECTS,Cytotoxic agent (product),Neoplastic Cell,phsu,cell,1,NEG_AFFECTS_PHSUnafctCELL
C0593802,C1512505,NEG_AFFECTS,Aromatase Inhibitors,Breast Cancer Cell,phsu,cell,1,NEG_AFFECTS_PHSUnafctCELL
C0597484,C0221284,NEG_AFFECTS,Sodium Cation,Leptocyte,phsu,cell,1,NEG_AFFECTS_PHSUnafctCELL
C0720810,C2936239,NEG_AFFECTS,Halotestin,HEK293 Cells,phsu,cell,1,NEG_AFFECTS_PHSUnafctCELL
C2987634,C0887899,NEG_AFFECTS,Agonist,Myeloid Cells,phsu,cell,1,NEG_AFFECTS_PHSUnafctCELL
