cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001367,C0019348,NEG_AFFECTS,Acyclovir,Herpes Simplex Infections,phsu,dsyn,1,NEG_AFFECTS_PHSUnafctDSYN
C0003374,C0858318,NEG_AFFECTS,Antimalarials,Plasmodium falciparum infection,phsu,dsyn,1,NEG_AFFECTS_PHSUnafctDSYN
C0003448,C1827301,NEG_AFFECTS,Antitubercular Agents,Extensively Drug-Resistant Tuberculosis,phsu,dsyn,1,NEG_AFFECTS_PHSUnafctDSYN
C0003451,C0019163,NEG_AFFECTS,Antiviral Agents,Hepatitis B,phsu,dsyn,1,NEG_AFFECTS_PHSUnafctDSYN
C0003451,C0019348,NEG_AFFECTS,Antiviral Agents,Herpes Simplex Infections,phsu,dsyn,1,NEG_AFFECTS_PHSUnafctDSYN
C0003451,C0021400,NEG_AFFECTS,Antiviral Agents,Influenza,phsu,dsyn,1,NEG_AFFECTS_PHSUnafctDSYN
C0003451,C0042769,NEG_AFFECTS,Antiviral Agents,Virus Diseases,phsu,dsyn,1,NEG_AFFECTS_PHSUnafctDSYN
C0003451,C0275524,NEG_AFFECTS,Antiviral Agents,Coinfection,phsu,dsyn,1,NEG_AFFECTS_PHSUnafctDSYN
C0003451,C0851887,NEG_AFFECTS,Antiviral Agents,Adenoviral infections,phsu,dsyn,1,NEG_AFFECTS_PHSUnafctDSYN
C0035525,C0206750,NEG_AFFECTS,Ribavirin,Coronavirus Infections,phsu,dsyn,1,NEG_AFFECTS_PHSUnafctDSYN
C0077608,C0276289,NEG_AFFECTS,U 18666A,Zika Virus Infection,phsu,dsyn,1,NEG_AFFECTS_PHSUnafctDSYN
C0719214,C0037354,NEG_AFFECTS,century,Smallpox,phsu,dsyn,1,NEG_AFFECTS_PHSUnafctDSYN
C0870261,C0016627,NEG_AFFECTS,channel blockers,Influenza in Birds,phsu,dsyn,1,NEG_AFFECTS_PHSUnafctDSYN
C0870261,C0042769,NEG_AFFECTS,channel blockers,Virus Diseases,phsu,dsyn,1,NEG_AFFECTS_PHSUnafctDSYN
C1443775,C0020097,NEG_AFFECTS,Epidermal growth factor receptor inhibitor (product),HTLV-I Infections,phsu,dsyn,1,NEG_AFFECTS_PHSUnafctDSYN
C3541969,C0016627,NEG_AFFECTS,"Neuraminidase inhibitors, direct acting antivirals",Influenza in Birds,phsu,dsyn,1,NEG_AFFECTS_PHSUnafctDSYN
