cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0009429,C0018270,NEG_AFFECTS,Combined Modality Therapy,Growth,topp,orgf,1,NEG_AFFECTS_TOPPnafctORGF
C0013216,C0018270,NEG_AFFECTS,Pharmacotherapy,Growth,topp,orgf,1,NEG_AFFECTS_TOPPnafctORGF
C0017296,C0006159,NEG_AFFECTS,gene therapy,Breeding,topp,orgf,1,NEG_AFFECTS_TOPPnafctORGF
C0042196,C0301872,NEG_AFFECTS,Vaccination,Immune response,topp,orgf,1,NEG_AFFECTS_TOPPnafctORGF
C0042196,C1155328,NEG_AFFECTS,Vaccination,Antiviral Response,topp,orgf,1,NEG_AFFECTS_TOPPnafctORGF
C0152060,C0005615,NEG_AFFECTS,Transection (procedure),Birth,topp,orgf,1,NEG_AFFECTS_TOPPnafctORGF
C0185115,C0018270,NEG_AFFECTS,Extraction,Growth,topp,orgf,1,NEG_AFFECTS_TOPPnafctORGF
C0279023,C1155328,NEG_AFFECTS,chemosensitization/potentiation,Antiviral Response,topp,orgf,1,NEG_AFFECTS_TOPPnafctORGF
C0281481,C0042774,NEG_AFFECTS,anti-tumor necrosis factor therapy,Virus Replication,topp,orgf,1,NEG_AFFECTS_TOPPnafctORGF
C0584877,C0011065,NEG_AFFECTS,Percutaneous tracheostomy,Cessation of life,topp,orgf,1,NEG_AFFECTS_TOPPnafctORGF
C1283075,C0018270,NEG_AFFECTS,Fusion - action,Growth,topp,orgf,1,NEG_AFFECTS_TOPPnafctORGF
C2945704,C0011065,NEG_AFFECTS,Conventional Treatment,Cessation of life,topp,orgf,1,NEG_AFFECTS_TOPPnafctORGF
C4526535,C0006159,NEG_AFFECTS,Bendamustine/Lenalidomide/Dexamethasone Regimen,Breeding,topp,orgf,1,NEG_AFFECTS_TOPPnafctORGF
