cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003242,C0003316,NEG_COEXISTS_WITH,"Antibodies, Anti-Idiotypic",Epitopes,aapp,imft,1,NEG_COEXISTS_WITH_AAPPncxwtIMFT
C0003250,C0003316,NEG_COEXISTS_WITH,Monoclonal Antibodies,Epitopes,aapp,imft,1,NEG_COEXISTS_WITH_AAPPncxwtIMFT
C0021036,C0206515,NEG_COEXISTS_WITH,Immunoglobulin kappa-Chains,"Vaccines, Conjugate",aapp,imft,1,NEG_COEXISTS_WITH_AAPPncxwtIMFT
C0034805,C0282681,NEG_COEXISTS_WITH,Fc Receptor,Enhancing Antibodies,aapp,imft,1,NEG_COEXISTS_WITH_AAPPncxwtIMFT
C0120285,C0301871,NEG_COEXISTS_WITH,Green Fluorescent Proteins,Immunoprecipitate,aapp,imft,1,NEG_COEXISTS_WITH_AAPPncxwtIMFT
C0475463,C0003316,NEG_COEXISTS_WITH,"Antibodies, Neutralizing",Epitopes,aapp,imft,1,NEG_COEXISTS_WITH_AAPPncxwtIMFT
C1415181,C0042210,NEG_COEXISTS_WITH,GOT1 gene,Vaccines,aapp,imft,1,NEG_COEXISTS_WITH_AAPPncxwtIMFT
C1421283,C0301871,NEG_COEXISTS_WITH,UBE2I gene,Immunoprecipitate,aapp,imft,1,NEG_COEXISTS_WITH_AAPPncxwtIMFT
C1427539,C0042210,NEG_COEXISTS_WITH,SLAMF7 gene,Vaccines,aapp,imft,1,NEG_COEXISTS_WITH_AAPPncxwtIMFT
C1718989,C1579319,NEG_COEXISTS_WITH,Streptococcus pneumoniae serotype (antigen),Pneumococcal conjugate vaccine,aapp,imft,1,NEG_COEXISTS_WITH_AAPPncxwtIMFT
