cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0020517,C0021400,NEG_COEXISTS_WITH,Hypersensitivity,Influenza,patf,dsyn,1,NEG_COEXISTS_WITH_PATFncxwtDSYN
C0021368,C0035222,NEG_COEXISTS_WITH,Inflammation,"Respiratory Distress Syndrome, Adult",patf,dsyn,1,NEG_COEXISTS_WITH_PATFncxwtDSYN
C0021368,C0582415,NEG_COEXISTS_WITH,Inflammation,Acute asthma,patf,dsyn,1,NEG_COEXISTS_WITH_PATFncxwtDSYN
C0036983,C0019348,NEG_COEXISTS_WITH,Septic Shock,Herpes Simplex Infections,patf,dsyn,1,NEG_COEXISTS_WITH_PATFncxwtDSYN
C0151686,C0013595,NEG_COEXISTS_WITH,Growth retardation,Eczema,patf,dsyn,1,NEG_COEXISTS_WITH_PATFncxwtDSYN
C0151686,C0016470,NEG_COEXISTS_WITH,Growth retardation,Food Allergy,patf,dsyn,1,NEG_COEXISTS_WITH_PATFncxwtDSYN
C0231170,C0035222,NEG_COEXISTS_WITH,Disability,"Respiratory Distress Syndrome, Adult",patf,dsyn,1,NEG_COEXISTS_WITH_PATFncxwtDSYN
C0242656,C0042749,NEG_COEXISTS_WITH,Disease Progression,Viremia,patf,dsyn,1,NEG_COEXISTS_WITH_PATFncxwtDSYN
C0242707,C0018802,NEG_COEXISTS_WITH,"Ventricular Dysfunction, Right",Congestive heart failure,patf,dsyn,1,NEG_COEXISTS_WITH_PATFncxwtDSYN
C0333467,C0019243,NEG_COEXISTS_WITH,Cytopathic effect,"Angioedemas, Hereditary",patf,dsyn,1,NEG_COEXISTS_WITH_PATFncxwtDSYN
C1516670,C0042769,NEG_COEXISTS_WITH,Clonal Expansion,Virus Diseases,patf,dsyn,1,NEG_COEXISTS_WITH_PATFncxwtDSYN
