cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0031228,C0343401,NEG_DIAGNOSES,"Personnel, Hospital",MRSA - Methicillin resistant Staphylococcus aureus infection,humn,dsyn,2,NEG_DIAGNOSES_HUMNndiagDSYN
C0031831,C0004096,NEG_DIAGNOSES,Physicians,Asthma,humn,dsyn,1,NEG_DIAGNOSES_HUMNndiagDSYN
C0031831,C0021400,NEG_DIAGNOSES,Physicians,Influenza,humn,dsyn,1,NEG_DIAGNOSES_HUMNndiagDSYN
C0031831,C0276289,NEG_DIAGNOSES,Physicians,Zika Virus Infection,humn,dsyn,1,NEG_DIAGNOSES_HUMNndiagDSYN
C0031831,C1336827,NEG_DIAGNOSES,Physicians,Tropical Disease,humn,dsyn,1,NEG_DIAGNOSES_HUMNndiagDSYN
C0871685,C0021400,NEG_DIAGNOSES,Clinician,Influenza,humn,dsyn,1,NEG_DIAGNOSES_HUMNndiagDSYN
C0871685,C0042769,NEG_DIAGNOSES,Clinician,Virus Diseases,humn,dsyn,1,NEG_DIAGNOSES_HUMNndiagDSYN
C1274022,C3495919,NEG_DIAGNOSES,Employer,Enthesitis-Related Arthritis,humn,dsyn,1,NEG_DIAGNOSES_HUMNndiagDSYN
C4522252,C0019693,NEG_DIAGNOSES,Foundation for the Accreditation of Cellular Therapy,HIV Infections,humn,dsyn,1,NEG_DIAGNOSES_HUMNndiagDSYN
C4522252,C0041296,NEG_DIAGNOSES,Foundation for the Accreditation of Cellular Therapy,Tuberculosis,humn,dsyn,1,NEG_DIAGNOSES_HUMNndiagDSYN
