cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003241,C1721019,NEG_DISRUPTS,Antibodies,Virus Attachment,aapp,biof,1,NEG_DISRUPTS_AAPPndrptBIOF
C0003250,C1721019,NEG_DISRUPTS,Monoclonal Antibodies,Virus Attachment,aapp,biof,1,NEG_DISRUPTS_AAPPndrptBIOF
C0021699,C1721019,NEG_DISRUPTS,Integral Membrane Proteins,Virus Attachment,aapp,biof,1,NEG_DISRUPTS_AAPPndrptBIOF
C0055817,C0220781,NEG_DISRUPTS,citrate carrier,Anabolism,aapp,biof,1,NEG_DISRUPTS_AAPPndrptBIOF
C0597357,C1721019,NEG_DISRUPTS,receptor,Virus Attachment,aapp,biof,1,NEG_DISRUPTS_AAPPndrptBIOF
C1415002,C0220781,NEG_DISRUPTS,GBF1 gene,Anabolism,aapp,biof,1,NEG_DISRUPTS_AAPPndrptBIOF
C1415898,C1721020,NEG_DISRUPTS,IFITM3 gene,Virus Membrane Fusion,aapp,biof,1,NEG_DISRUPTS_AAPPndrptBIOF
C1417005,C0220781,NEG_DISRUPTS,MAP1LC3A gene,Anabolism,aapp,biof,1,NEG_DISRUPTS_AAPPndrptBIOF
C1417925,C0220781,NEG_DISRUPTS,OCA2 gene,Anabolism,aapp,biof,1,NEG_DISRUPTS_AAPPndrptBIOF
C1420761,C0220781,NEG_DISRUPTS,SEC62 gene,Anabolism,aapp,biof,1,NEG_DISRUPTS_AAPPndrptBIOF
C1427303,C0220781,NEG_DISRUPTS,SEC63 gene,Anabolism,aapp,biof,1,NEG_DISRUPTS_AAPPndrptBIOF
C1522002,C0220781,NEG_DISRUPTS,RNA Recognition Motif,Anabolism,aapp,biof,1,NEG_DISRUPTS_AAPPndrptBIOF
