cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002210,C0067762,NEG_INTERACTS_WITH,alpha-Fetoproteins,N-Acetylneuraminic Acid,aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0003241,C0012854,NEG_INTERACTS_WITH,Antibodies,DNA,aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0003241,C0242612,NEG_INTERACTS_WITH,Antibodies,"Codon, Nonsense",aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0007332,C0006675,NEG_INTERACTS_WITH,Caseins,Calcium,aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0010654,C0082774,NEG_INTERACTS_WITH,Cysteine,"RNA, Guide",aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0010654,C0883403,NEG_INTERACTS_WITH,Cysteine,Transmissible gastroenteritis virus RNA,aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0014230,C0035696,NEG_INTERACTS_WITH,endonuclease,"RNA, Messenger",aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0017279,C0028606,NEG_INTERACTS_WITH,"Gene Products, gag",Nucleic Acids,aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0019652,C0012854,NEG_INTERACTS_WITH,Histones,DNA,aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0032405,C0001461,NEG_INTERACTS_WITH,Poly(ADP-ribose) Polymerases,Adenosine Diphosphate Ribose,aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0036720,C0003320,NEG_INTERACTS_WITH,Serine,Antigens,aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0036774,C0003320,NEG_INTERACTS_WITH,"Serum Albumin, Bovine",Antigens,aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0042736,C1101610,NEG_INTERACTS_WITH,Viral Proteins,MicroRNAs,aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0042736,C1506352,NEG_INTERACTS_WITH,Viral Proteins,silvestrol,aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0054871,C0012854,NEG_INTERACTS_WITH,Cathepsin L,DNA,aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0058989,C0035696,NEG_INTERACTS_WITH,Eukaryotic Initiation Factor-4F,"RNA, Messenger",aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0063695,C1310768,NEG_INTERACTS_WITH,Intercellular adhesion molecule 1,EPs 7630,aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0065827,C0082774,NEG_INTERACTS_WITH,Measles Virus Nucleoprotein,"RNA, Guide",aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0071795,C0035693,NEG_INTERACTS_WITH,2-5A-dependent ribonuclease,"RNA, Double-Stranded",aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0083956,C0012933,NEG_INTERACTS_WITH,Polycomb,"DNA, Ribosomal",aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0086376,C0024742,NEG_INTERACTS_WITH,GTP-Binding Proteins,Mannose,aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0206588,C0012854,NEG_INTERACTS_WITH,"Receptors, Nuclear",DNA,aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
C0524967,C0751969,NEG_INTERACTS_WITH,Archaeal Proteins,Small Nucleolar RNA,aapp,bacs,1,NEG_INTERACTS_WITH_AAPPnitawBACS
