cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003241,C0003316,NEG_INTERACTS_WITH,Antibodies,Epitopes,aapp,imft,1,NEG_INTERACTS_WITH_AAPPnitawIMFT
C0003241,C0042210,NEG_INTERACTS_WITH,Antibodies,Vaccines,aapp,imft,2,NEG_INTERACTS_WITH_AAPPnitawIMFT
C0003250,C0003316,NEG_INTERACTS_WITH,Monoclonal Antibodies,Epitopes,aapp,imft,1,NEG_INTERACTS_WITH_AAPPnitawIMFT
C0004358,C0004359,NEG_INTERACTS_WITH,Autoantibodies,Autoantigens,aapp,imft,1,NEG_INTERACTS_WITH_AAPPnitawIMFT
C0042736,C2986386,NEG_INTERACTS_WITH,Viral Proteins,Virus-neutralizing Antibody,aapp,imft,1,NEG_INTERACTS_WITH_AAPPnitawIMFT
C0443640,C0003316,NEG_INTERACTS_WITH,Specific antibody,Epitopes,aapp,imft,1,NEG_INTERACTS_WITH_AAPPnitawIMFT
C0475463,C0003316,NEG_INTERACTS_WITH,"Antibodies, Neutralizing",Epitopes,aapp,imft,2,NEG_INTERACTS_WITH_AAPPnitawIMFT
C0475463,C0003342,NEG_INTERACTS_WITH,"Antibodies, Neutralizing","Antigens, Viral",aapp,imft,1,NEG_INTERACTS_WITH_AAPPnitawIMFT
C0913092,C0005804,NEG_INTERACTS_WITH,DC-specific ICAM-3 grabbing nonintegrin,Blood Group Antigens,aapp,imft,1,NEG_INTERACTS_WITH_AAPPnitawIMFT
C0919528,C0003316,NEG_INTERACTS_WITH,KMT2A gene,Epitopes,aapp,imft,1,NEG_INTERACTS_WITH_AAPPnitawIMFT
C1334080,C0001551,NEG_INTERACTS_WITH,IFNA2 gene,Immunologic Adjuvants,aapp,imft,1,NEG_INTERACTS_WITH_AAPPnitawIMFT
C1335676,C1883036,NEG_INTERACTS_WITH,Recombinant Antibody,Single-Chain Antibodies,aapp,imft,1,NEG_INTERACTS_WITH_AAPPnitawIMFT
C1416521,C0003316,NEG_INTERACTS_WITH,ITSN2 gene,Epitopes,aapp,imft,1,NEG_INTERACTS_WITH_AAPPnitawIMFT
C1512511,C0003316,NEG_INTERACTS_WITH,Human Papilloma Virus Vaccine,Epitopes,aapp,imft,1,NEG_INTERACTS_WITH_AAPPnitawIMFT
C1825621,C0004886,NEG_INTERACTS_WITH,ISG15 gene,BCG Vaccine,aapp,imft,1,NEG_INTERACTS_WITH_AAPPnitawIMFT
C3711684,C0042210,NEG_INTERACTS_WITH,"S protein, severe acute respiratory syndrome coronavirus",Vaccines,aapp,imft,1,NEG_INTERACTS_WITH_AAPPnitawIMFT
