cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004112,C0027882,NEG_INTERACTS_WITH,Astrocytes,Neurons,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C0016030,C4330475,NEG_INTERACTS_WITH,Fibroblasts,Immune Cell,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C0023516,C0014792,NEG_INTERACTS_WITH,Leukocytes,Erythrocytes,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C0024264,C0027950,NEG_INTERACTS_WITH,Lymphocyte,neutrophil,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C0027882,C0206116,NEG_INTERACTS_WITH,Neurons,Microglia,cell,cell,2,NEG_INTERACTS_WITH_CELLnitawCELL
C0028944,C0039195,NEG_INTERACTS_WITH,Oligodendroglia,Cytotoxic T-Lymphocytes,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C0036387,C0027882,NEG_INTERACTS_WITH,Schwann Cells,Neurons,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C0039194,C0027836,NEG_INTERACTS_WITH,T-Lymphocyte,Neuroglia,cell,cell,2,NEG_INTERACTS_WITH_CELLnitawCELL
C0039194,C0206116,NEG_INTERACTS_WITH,T-Lymphocyte,Microglia,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C0039215,C0039195,NEG_INTERACTS_WITH,CD4 Positive T Lymphocytes,Cytotoxic T-Lymphocytes,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C0085236,C0014597,NEG_INTERACTS_WITH,"Macrophages, Alveolar",Epithelial Cells,cell,cell,2,NEG_INTERACTS_WITH_CELLnitawCELL
C0206116,C0026609,NEG_INTERACTS_WITH,Microglia,Motor Neurons,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C0206116,C0027882,NEG_INTERACTS_WITH,Microglia,Neurons,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C0225336,C0024264,NEG_INTERACTS_WITH,Endothelial Cells,Lymphocyte,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C0225336,C0024432,NEG_INTERACTS_WITH,Endothelial Cells,macrophage,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C0225336,C0027950,NEG_INTERACTS_WITH,Endothelial Cells,neutrophil,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C0242629,C0039194,NEG_INTERACTS_WITH,CD8-Positive T-Lymphocytes,T-Lymphocyte,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C0440752,C0018894,NEG_INTERACTS_WITH,Inflammatory cell,Helper-Inducer T-Lymphocyte,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C0945933,C0023516,NEG_INTERACTS_WITH,CD45+ cell,Leukocytes,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C1267822,C0026473,NEG_INTERACTS_WITH,CD4+ CD25+ Regulatory T Cells,Monocytes,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C1512977,C1257909,NEG_INTERACTS_WITH,Mammalian Cell,Diploid Cell,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C2936411,C0024264,NEG_INTERACTS_WITH,Th17 Cells,Lymphocyte,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C2936411,C0024432,NEG_INTERACTS_WITH,Th17 Cells,macrophage,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C2936411,C0027950,NEG_INTERACTS_WITH,Th17 Cells,neutrophil,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C2936411,C0039194,NEG_INTERACTS_WITH,Th17 Cells,T-Lymphocyte,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C2952444,C0031307,NEG_INTERACTS_WITH,Mononuclear phagocyte,Phagocytes,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C3850017,C0029974,NEG_INTERACTS_WITH,Endothelial Progenitor Cells,Ovum,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C4505105,C0004112,NEG_INTERACTS_WITH,Oligodendrocyte Precursor Cells,Astrocytes,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
C4505105,C0028944,NEG_INTERACTS_WITH,Oligodendrocyte Precursor Cells,Oligodendroglia,cell,cell,1,NEG_INTERACTS_WITH_CELLnitawCELL
