cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001613,C3540840,NEG_LOCATION_OF,Adrenal Cortex,Sign or Symptom,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0005847,C2825972,NEG_LOCATION_OF,Blood Vessel,Cant,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0006104,C0221198,NEG_LOCATION_OF,Brain,Lesion,bpoc,fndg,7,NEG_LOCATION_OF_BPOCnlocfFNDG
C0006104,C1545588,NEG_LOCATION_OF,Brain,Protection,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0006104,C1704258,NEG_LOCATION_OF,Brain,Abnormality,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0006104,C2826279,NEG_LOCATION_OF,Brain,Abnormal Finding,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0006104,C2983415,NEG_LOCATION_OF,Brain,Persistent Disease,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0006104,C3842673,NEG_LOCATION_OF,Brain,Day 6,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0006104,C4055506,NEG_LOCATION_OF,Brain,Accumulation,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0006104,C4321237,NEG_LOCATION_OF,Brain,High Level,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0006121,C1850165,NEG_LOCATION_OF,Brain Stem,Elevated IL6,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0006255,C1862763,NEG_LOCATION_OF,Bronchi,Small airways,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0007765,C3872830,NEG_LOCATION_OF,Cerebellum,Inflammatory lesion,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0015392,C0749075,NEG_LOCATION_OF,Eye,STRUCTURAL Abnormalities,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0016504,C1545588,NEG_LOCATION_OF,Foot,Protection,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0018563,C0442749,NEG_LOCATION_OF,Hand,6/5,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0018563,C0516918,NEG_LOCATION_OF,Hand,Financial resources,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0018563,C3714738,NEG_LOCATION_OF,Hand,Compliance,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0018787,C0221198,NEG_LOCATION_OF,Heart,Lesion,bpoc,fndg,3,NEG_LOCATION_OF_BPOCnlocfFNDG
C0018787,C0749075,NEG_LOCATION_OF,Heart,STRUCTURAL Abnormalities,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0018787,C1518681,NEG_LOCATION_OF,Heart,Outcome of Therapy,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0018787,C1836348,NEG_LOCATION_OF,Heart,Severe disorder,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0018787,C4055506,NEG_LOCATION_OF,Heart,Accumulation,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0018787,C4321237,NEG_LOCATION_OF,Heart,High Level,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0020880,C0221198,NEG_LOCATION_OF,Ileocecal Valve,Lesion,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0020885,C0221198,NEG_LOCATION_OF,ileum,Lesion,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0021851,C0554101,NEG_LOCATION_OF,Large Intestine,Villous atrophy,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0021852,C0221198,NEG_LOCATION_OF,"Intestines, Small",Lesion,bpoc,fndg,2,NEG_LOCATION_OF_BPOCnlocfFNDG
C0021853,C0221198,NEG_LOCATION_OF,Intestines,Lesion,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0022378,C0221198,NEG_LOCATION_OF,Jejunum,Lesion,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0022646,C0221198,NEG_LOCATION_OF,Kidney,Lesion,bpoc,fndg,10,NEG_LOCATION_OF_BPOCnlocfFNDG
C0022646,C0241889,NEG_LOCATION_OF,Kidney,Family history,bpoc,fndg,2,NEG_LOCATION_OF_BPOCnlocfFNDG
C0022646,C1518681,NEG_LOCATION_OF,Kidney,Outcome of Therapy,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0023884,C0221198,NEG_LOCATION_OF,Liver,Lesion,bpoc,fndg,9,NEG_LOCATION_OF_BPOCnlocfFNDG
C0023884,C1518681,NEG_LOCATION_OF,Liver,Outcome of Therapy,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0023884,C4321237,NEG_LOCATION_OF,Liver,High Level,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0024109,C0000766,NEG_LOCATION_OF,Lung,abnormal xray,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0024109,C0015967,NEG_LOCATION_OF,Lung,Fever,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
C0024109,C0221198,NEG_LOCATION_OF,Lung,Lesion,bpoc,fndg,2,NEG_LOCATION_OF_BPOCnlocfFNDG
C0024109,C1262477,NEG_LOCATION_OF,Lung,Weight decreased,bpoc,fndg,1,NEG_LOCATION_OF_BPOCnlocfFNDG
