cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006104,C0011304,NEG_LOCATION_OF,Brain,Demyelination,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0006104,C0021368,NEG_LOCATION_OF,Brain,Inflammation,bpoc,patf,2,NEG_LOCATION_OF_BPOCnlocfPATF
C0006104,C0332448,NEG_LOCATION_OF,Brain,Infiltration,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0006121,C0021368,NEG_LOCATION_OF,Brain Stem,Inflammation,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0006255,C0332448,NEG_LOCATION_OF,Bronchi,Infiltration,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0006270,C0332448,NEG_LOCATION_OF,Bronchioles,Infiltration,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0007765,C3686534,NEG_LOCATION_OF,Cerebellum,Perivascular cuffing,bpoc,patf,2,NEG_LOCATION_OF_BPOCnlocfPATF
C0010031,C0332448,NEG_LOCATION_OF,Cornea,Infiltration,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0015385,C0013604,NEG_LOCATION_OF,Limb structure,Edema,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0018563,C0020517,NEG_LOCATION_OF,Hand,Hypersensitivity,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0021853,C0020517,NEG_LOCATION_OF,Intestines,Hypersensitivity,bpoc,patf,2,NEG_LOCATION_OF_BPOCnlocfPATF
C0021853,C0021368,NEG_LOCATION_OF,Intestines,Inflammation,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0021853,C1155266,NEG_LOCATION_OF,Intestines,inflammatory response,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0022122,C0036974,NEG_LOCATION_OF,Bone structure of ischium,Shock,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0022646,C0220981,NEG_LOCATION_OF,Kidney,Metabolic acidosis,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0024109,C0013604,NEG_LOCATION_OF,Lung,Edema,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0024109,C0020452,NEG_LOCATION_OF,Lung,Hyperemia,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0024109,C0032227,NEG_LOCATION_OF,Lung,Pleural effusion disorder,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0024109,C0332448,NEG_LOCATION_OF,Lung,Infiltration,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0024109,C0333359,NEG_LOCATION_OF,Lung,Perivascular inflammation,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0029130,C0011304,NEG_LOCATION_OF,Optic Nerve,Demyelination,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0031119,C0011304,NEG_LOCATION_OF,Peripheral Nerves,Demyelination,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0039452,C0011560,NEG_LOCATION_OF,Telencephalon,Amyloid deposition,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0040132,C0021368,NEG_LOCATION_OF,Thyroid Gland,Inflammation,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0178784,C0020507,NEG_LOCATION_OF,Organ,Hyperplasia,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0178784,C0021368,NEG_LOCATION_OF,Organ,Inflammation,bpoc,patf,2,NEG_LOCATION_OF_BPOCnlocfPATF
C0178784,C0221270,NEG_LOCATION_OF,Organ,Acanthosis,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0205042,C1261287,NEG_LOCATION_OF,Coronary artery,Stenosis,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0225990,C0264956,NEG_LOCATION_OF,Large blood vessel structure,Atheroma,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0262304,C0020517,NEG_LOCATION_OF,pars postrema of the ventral lateral nucleus,Hypersensitivity,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0458827,C0021368,NEG_LOCATION_OF,Airway structure,Inflammation,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
C0582802,C0684320,NEG_LOCATION_OF,Digit structure,Disease regression,bpoc,patf,1,NEG_LOCATION_OF_BPOCnlocfPATF
