cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007603,C0017797,NEG_LOCATION_OF,Plasma membrane,Glutamine,celc,aapp,1,NEG_LOCATION_OF_CELCnlocfAAPP
C0007603,C0042736,NEG_LOCATION_OF,Plasma membrane,Viral Proteins,celc,aapp,1,NEG_LOCATION_OF_CELCnlocfAAPP
C0007603,C0256421,NEG_LOCATION_OF,Plasma membrane,aquaporin 3,celc,aapp,1,NEG_LOCATION_OF_CELCnlocfAAPP
C0007603,C0700271,NEG_LOCATION_OF,Plasma membrane,"M Protein, multiple myeloma",celc,aapp,1,NEG_LOCATION_OF_CELCnlocfAAPP
C0007603,C1564139,NEG_LOCATION_OF,Plasma membrane,Mutant Proteins,celc,aapp,3,NEG_LOCATION_OF_CELCnlocfAAPP
C0007603,C3273837,NEG_LOCATION_OF,Plasma membrane,S100B wt Allele,celc,aapp,1,NEG_LOCATION_OF_CELCnlocfAAPP
C0007637,C0065827,NEG_LOCATION_OF,Inclusion Bodies,Measles Virus Nucleoprotein,celc,aapp,1,NEG_LOCATION_OF_CELCnlocfAAPP
C0007637,C0120285,NEG_LOCATION_OF,Inclusion Bodies,Green Fluorescent Proteins,celc,aapp,1,NEG_LOCATION_OF_CELCnlocfAAPP
C0007637,C1417898,NEG_LOCATION_OF,Inclusion Bodies,NXF1 gene,celc,aapp,1,NEG_LOCATION_OF_CELCnlocfAAPP
C0010834,C0120285,NEG_LOCATION_OF,Cytoplasm,Green Fluorescent Proteins,celc,aapp,1,NEG_LOCATION_OF_CELCnlocfAAPP
C0010834,C1415764,NEG_LOCATION_OF,Cytoplasm,HSPA8 gene,celc,aapp,1,NEG_LOCATION_OF_CELCnlocfAAPP
C0010834,C1421318,NEG_LOCATION_OF,Cytoplasm,SCGB1A1 gene,celc,aapp,1,NEG_LOCATION_OF_CELCnlocfAAPP
C0010834,C3816283,NEG_LOCATION_OF,Cytoplasm,LINC01197 gene,celc,aapp,1,NEG_LOCATION_OF_CELCnlocfAAPP
C0010837,C1429678,NEG_LOCATION_OF,Cytoplasmic Granules,"TIA1 protein, human",celc,aapp,1,NEG_LOCATION_OF_CELCnlocfAAPP
C0014239,C0017968,NEG_LOCATION_OF,Endoplasmic Reticulum,Glycoproteins,celc,aapp,1,NEG_LOCATION_OF_CELCnlocfAAPP
C0018042,C0002059,NEG_LOCATION_OF,Golgi Apparatus,Alkaline Phosphatase,celc,aapp,1,NEG_LOCATION_OF_CELCnlocfAAPP
C0018042,C0017968,NEG_LOCATION_OF,Golgi Apparatus,Glycoproteins,celc,aapp,1,NEG_LOCATION_OF_CELCnlocfAAPP
C0018042,C0162768,NEG_LOCATION_OF,Golgi Apparatus,Fusion protein,celc,aapp,1,NEG_LOCATION_OF_CELCnlocfAAPP
C0018042,C0598148,NEG_LOCATION_OF,Golgi Apparatus,hybrid protein,celc,aapp,1,NEG_LOCATION_OF_CELCnlocfAAPP
C0018042,C1423496,NEG_LOCATION_OF,Golgi Apparatus,TGOLN2 gene,celc,aapp,1,NEG_LOCATION_OF_CELCnlocfAAPP
