cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007603,C0598435,NEG_LOCATION_OF,Plasma membrane,Palmitoylation,celc,moft,1,NEG_LOCATION_OF_CELCnlocfMOFT
C0007637,C0033666,NEG_LOCATION_OF,Inclusion Bodies,Post-Translational Protein Processing,celc,moft,1,NEG_LOCATION_OF_CELCnlocfMOFT
C0007637,C1519751,NEG_LOCATION_OF,Inclusion Bodies,Ubiquitination,celc,moft,1,NEG_LOCATION_OF_CELCnlocfMOFT
C0018042,C1153415,NEG_LOCATION_OF,Golgi Apparatus,ion channel activity,celc,moft,1,NEG_LOCATION_OF_CELCnlocfMOFT
C0024369,C1514570,NEG_LOCATION_OF,Lysosomes,Proteolytic Processing,celc,moft,1,NEG_LOCATION_OF_CELCnlocfMOFT
C0034850,C0025246,NEG_LOCATION_OF,Endosomes,Membrane Fusion,celc,moft,1,NEG_LOCATION_OF_CELCnlocfMOFT
C0035553,C1721101,NEG_LOCATION_OF,Ribosomes,Biosynthetic Pathways,celc,moft,2,NEG_LOCATION_OF_CELCnlocfMOFT
C0042760,C1518094,NEG_LOCATION_OF,Virion,Lytic Phase,celc,moft,1,NEG_LOCATION_OF_CELCnlocfMOFT
C0699040,C0597304,NEG_LOCATION_OF,Cell surface,Proteolysis,celc,moft,1,NEG_LOCATION_OF_CELCnlocfMOFT
C0699040,C1148561,NEG_LOCATION_OF,Cell surface,anticoagulant activity,celc,moft,1,NEG_LOCATION_OF_CELCnlocfMOFT
C1167041,C0010357,NEG_LOCATION_OF,vacuolar membrane,Cross Reactions,celc,moft,1,NEG_LOCATION_OF_CELCnlocfMOFT
C1178984,C1151518,NEG_LOCATION_OF,Rough endoplasmic reticulum vesicle,peroxidase activity,celc,moft,1,NEG_LOCATION_OF_CELCnlocfMOFT
C3887595,C1514570,NEG_LOCATION_OF,Autophagosome,Proteolytic Processing,celc,moft,1,NEG_LOCATION_OF_CELCnlocfMOFT
