cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007603,C0042776,NEG_LOCATION_OF,Plasma membrane,Virus,celc,virs,1,NEG_LOCATION_OF_CELCnlocfVIRS
C0024369,C0026398,NEG_LOCATION_OF,Lysosomes,Moloney Leukemia Virus,celc,virs,1,NEG_LOCATION_OF_CELCnlocfVIRS
C0026237,C0206497,NEG_LOCATION_OF,Mitochondria,Arenavirus,celc,virs,1,NEG_LOCATION_OF_CELCnlocfVIRS
C0028587,C0019704,NEG_LOCATION_OF,Nuclear Pore,HIV-1,celc,virs,1,NEG_LOCATION_OF_CELCnlocfVIRS
C0029219,C0014383,NEG_LOCATION_OF,Organelles,Enterovirus,celc,virs,2,NEG_LOCATION_OF_CELCnlocfVIRS
C0029219,C0206424,NEG_LOCATION_OF,Organelles,Cardiovirus,celc,virs,2,NEG_LOCATION_OF_CELCnlocfVIRS
C0029219,C1216700,NEG_LOCATION_OF,Organelles,Kobuvirus,celc,virs,1,NEG_LOCATION_OF_CELCnlocfVIRS
C0042760,C0205725,NEG_LOCATION_OF,Virion,Human Herpesvirus 5 species,celc,virs,1,NEG_LOCATION_OF_CELCnlocfVIRS
C0230770,C0035691,NEG_LOCATION_OF,"Endoplasmic reticulum, membrane",RNA Viruses,celc,virs,1,NEG_LOCATION_OF_CELCnlocfVIRS
C0230770,C0038975,NEG_LOCATION_OF,"Endoplasmic reticulum, membrane",Simian virus 40,celc,virs,1,NEG_LOCATION_OF_CELCnlocfVIRS
C0699040,C0206545,NEG_LOCATION_OF,Cell surface,Human respiratory syncytial virus,celc,virs,1,NEG_LOCATION_OF_CELCnlocfVIRS
C0699040,C2986384,NEG_LOCATION_OF,Cell surface,Enveloped Virus,celc,virs,1,NEG_LOCATION_OF_CELCnlocfVIRS
C0887883,C0042776,NEG_LOCATION_OF,Early endosome,Virus,celc,virs,1,NEG_LOCATION_OF_CELCnlocfVIRS
C1167250,C0038975,NEG_LOCATION_OF,lipid raft,Simian virus 40,celc,virs,1,NEG_LOCATION_OF_CELCnlocfVIRS
C1622204,C0206419,NEG_LOCATION_OF,envelope,Genus: Coronavirus,celc,virs,1,NEG_LOCATION_OF_CELCnlocfVIRS
C1819995,C0014644,NEG_LOCATION_OF,Host Cell,Epstein-Barr Virus,celc,virs,1,NEG_LOCATION_OF_CELCnlocfVIRS
C1819995,C0042776,NEG_LOCATION_OF,Host Cell,Virus,celc,virs,1,NEG_LOCATION_OF_CELCnlocfVIRS
C2611786,C0206485,NEG_LOCATION_OF,endoplasmic reticulum-Golgi intermediate compartment,Arterivirus,celc,virs,1,NEG_LOCATION_OF_CELCnlocfVIRS
C2755952,C0042776,NEG_LOCATION_OF,Prp19 complex,Virus,celc,virs,1,NEG_LOCATION_OF_CELCnlocfVIRS
C3271982,C0032092,NEG_LOCATION_OF,host chromosome,Plant Viruses,celc,virs,1,NEG_LOCATION_OF_CELCnlocfVIRS
