cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004561,C1817697,NEG_LOCATION_OF,B-Lymphocytes,plasma cell differentiation,cell,celf,1,NEG_LOCATION_OF_CELLnlocfCELF
C0004561,C3546359,NEG_LOCATION_OF,B-Lymphocytes,pro-apoptosis,cell,celf,1,NEG_LOCATION_OF_CELLnlocfCELF
C0007600,C0162638,NEG_LOCATION_OF,Cultured Cell Line,Apoptosis,cell,celf,1,NEG_LOCATION_OF_CELLnlocfCELF
C0014597,C0007587,NEG_LOCATION_OF,Epithelial Cells,Cell Death,cell,celf,1,NEG_LOCATION_OF_CELLnlocfCELF
C0014597,C0162638,NEG_LOCATION_OF,Epithelial Cells,Apoptosis,cell,celf,2,NEG_LOCATION_OF_CELLnlocfCELF
C0016030,C0004391,NEG_LOCATION_OF,Fibroblasts,Autophagy,cell,celf,1,NEG_LOCATION_OF_CELLnlocfCELF
C0016030,C0162638,NEG_LOCATION_OF,Fibroblasts,Apoptosis,cell,celf,1,NEG_LOCATION_OF_CELLnlocfCELF
C0018873,C0004391,NEG_LOCATION_OF,HeLa Cells,Autophagy,cell,celf,1,NEG_LOCATION_OF_CELLnlocfCELF
C0022827,C0007620,NEG_LOCATION_OF,L Cells (Cell Line),Cell Survival,cell,celf,1,NEG_LOCATION_OF_CELLnlocfCELF
C0024264,C1752930,NEG_LOCATION_OF,Lymphocyte,mitogenic activity,cell,celf,1,NEG_LOCATION_OF_CELLnlocfCELF
C0024264,C3155114,NEG_LOCATION_OF,Lymphocyte,mature cell development,cell,celf,1,NEG_LOCATION_OF_CELLnlocfCELF
C0024432,C0004391,NEG_LOCATION_OF,macrophage,Autophagy,cell,celf,1,NEG_LOCATION_OF_CELLnlocfCELF
C0027882,C0025251,NEG_LOCATION_OF,Neurons,Membrane Potentials,cell,celf,1,NEG_LOCATION_OF_CELLnlocfCELF
C0039194,C0007595,NEG_LOCATION_OF,T-Lymphocyte,cell growth,cell,celf,1,NEG_LOCATION_OF_CELLnlocfCELF
C0039194,C0162638,NEG_LOCATION_OF,T-Lymphocyte,Apoptosis,cell,celf,1,NEG_LOCATION_OF_CELLnlocfCELF
C0039194,C1155065,NEG_LOCATION_OF,T-Lymphocyte,T-Cell Activation,cell,celf,1,NEG_LOCATION_OF_CELLnlocfCELF
C0225698,C0162638,NEG_LOCATION_OF,Alveolar Epithelial Cells,Apoptosis,cell,celf,1,NEG_LOCATION_OF_CELLnlocfCELF
C0229579,C0004391,NEG_LOCATION_OF,Structure of thyroid parafollicular cell,Autophagy,cell,celf,1,NEG_LOCATION_OF_CELLnlocfCELF
C0806036,C0018899,NEG_LOCATION_OF,Renal epithelial cell,Hemadsorption,cell,celf,1,NEG_LOCATION_OF_CELLnlocfCELF
C2936239,C0162638,NEG_LOCATION_OF,HEK293 Cells,Apoptosis,cell,celf,2,NEG_LOCATION_OF_CELLnlocfCELF
