cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0016215,C0242494,NEG_LOCATION_OF,Flavivirus,Poly(A) Tail,virs,bacs,1,NEG_LOCATION_OF_VIRSnlocfBACS
C0019351,C0949639,NEG_LOCATION_OF,Human Herpesvirus 2,Transcription Initiation Site,virs,bacs,1,NEG_LOCATION_OF_VIRSnlocfBACS
C0035691,C0039290,NEG_LOCATION_OF,RNA Viruses,Tandem Repeat Sequences,virs,bacs,1,NEG_LOCATION_OF_VIRSnlocfBACS
C0042776,C0012854,NEG_LOCATION_OF,Virus,DNA,virs,bacs,1,NEG_LOCATION_OF_VIRSnlocfBACS
C0042776,C0015435,NEG_LOCATION_OF,Virus,F Factor,virs,bacs,1,NEG_LOCATION_OF_VIRSnlocfBACS
C0042776,C0024742,NEG_LOCATION_OF,Virus,Mannose,virs,bacs,1,NEG_LOCATION_OF_VIRSnlocfBACS
C0042776,C0035696,NEG_LOCATION_OF,Virus,"RNA, Messenger",virs,bacs,1,NEG_LOCATION_OF_VIRSnlocfBACS
C0042776,C0078517,NEG_LOCATION_OF,Virus,wortmannin,virs,bacs,1,NEG_LOCATION_OF_VIRSnlocfBACS
C0079005,C0028606,NEG_LOCATION_OF,Baculoviridae,Nucleic Acids,virs,bacs,1,NEG_LOCATION_OF_VIRSnlocfBACS
C0086459,C1101610,NEG_LOCATION_OF,Mink enteritis virus,MicroRNAs,virs,bacs,1,NEG_LOCATION_OF_VIRSnlocfBACS
C0318793,C0024742,NEG_LOCATION_OF,Zika Virus,Mannose,virs,bacs,1,NEG_LOCATION_OF_VIRSnlocfBACS
C0597363,C0010558,NEG_LOCATION_OF,recombinant virus,Cyclodextrins,virs,bacs,1,NEG_LOCATION_OF_VIRSnlocfBACS
C1175743,C0035696,NEG_LOCATION_OF,SARS coronavirus,"RNA, Messenger",virs,bacs,1,NEG_LOCATION_OF_VIRSnlocfBACS
