cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003241,C0038410,NEG_PART_OF,Antibodies,Streptococcus pneumoniae,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C0004641,C0018154,NEG_PART_OF,bacteriocin,Gram-Positive Bacteria,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C0007367,C0038410,NEG_PART_OF,CATALASE,Streptococcus pneumoniae,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C0009316,C0014834,NEG_PART_OF,Colistin,Escherichia coli,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C0016194,C0018154,NEG_PART_OF,Flagellin,Gram-Positive Bacteria,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C0016937,C0004611,NEG_PART_OF,GALACTOKINASE,Bacteria,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C0017817,C0018154,NEG_PART_OF,Glutathione,Gram-Positive Bacteria,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C0017817,C0023861,NEG_PART_OF,Glutathione,Listeria monocytogenes,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C0017817,C0579233,NEG_PART_OF,Glutathione,Streptococcus agalactiae,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C0022942,C0004611,NEG_PART_OF,Lactoferrin,Bacteria,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C0035342,C0038172,NEG_PART_OF,Retinol Binding Proteins,Staphylococcus aureus,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C0065365,C0036953,NEG_PART_OF,Lysine decarboxylase,Shigella,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C0084692,C0018154,NEG_PART_OF,Pulmonary Surfactant-Associated Protein D,Gram-Positive Bacteria,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C0211797,C1444090,NEG_PART_OF,ribonuclease H1,Resistant bacteria,aapp,bact,2,NEG_PART_OF_AAPPnprtfBACT
C0246081,C0014834,NEG_PART_OF,carbapenemase,Escherichia coli,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C0246081,C0022727,NEG_PART_OF,carbapenemase,Klebsiella,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C0287531,C0018154,NEG_PART_OF,"DUSP1 protein, human",Gram-Positive Bacteria,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C0296814,C0004611,NEG_PART_OF,NK-lysin,Bacteria,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C0969119,C0018154,NEG_PART_OF,histone deacetylase 6,Gram-Positive Bacteria,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C1310463,C0004611,NEG_PART_OF,"IFIH1 protein, human",Bacteria,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C1415164,C0004611,NEG_PART_OF,GNLY gene,Bacteria,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C1417530,C0004611,NEG_PART_OF,MYD88 gene,Bacteria,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C1419652,C1265277,NEG_PART_OF,RPL27 gene,Pseudomonas species,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C1419788,C0023237,NEG_PART_OF,S100A6 gene,Legionella,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C1419788,C0086820,NEG_PART_OF,S100A6 gene,Pleuropneumonia-Like Organisms,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C1420002,C0018154,NEG_PART_OF,SFTPA1 gene,Gram-Positive Bacteria,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C1439329,C0004611,NEG_PART_OF,CBS gene,Bacteria,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C2239937,C0752001,NEG_PART_OF,SMAD5-AS1 gene,Wolbachia,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C3658344,C0015146,NEG_PART_OF,"Genome, Microbial",Eubacterium,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
C3889400,C0014834,NEG_PART_OF,PSMA5 wt Allele,Escherichia coli,aapp,bact,1,NEG_PART_OF_AAPPnprtfBACT
