cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002520,C0026237,NEG_PART_OF,Amino Acids,Mitochondria,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0002520,C1167352,NEG_PART_OF,Amino Acids,S-layer,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0003601,C1167277,NEG_PART_OF,Apoproteins,B800-850 antenna complex,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0008905,C0230764,NEG_PART_OF,Clathrin,Golgi membrane,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0008905,C1167250,NEG_PART_OF,Clathrin,lipid raft,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0017789,C0887838,NEG_PART_OF,Glutamates,trans-Golgi Network,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0017968,C0007603,NEG_PART_OF,Glycoproteins,Plasma membrane,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0017968,C0042760,NEG_PART_OF,Glycoproteins,Virion,aapp,celc,3,NEG_PART_OF_AAPPnprtfCELC
C0028612,C1325834,NEG_PART_OF,Nucleoproteins,viral glycoprotein,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0030946,C0007603,NEG_PART_OF,Endopeptidases,Plasma membrane,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0030946,C0042219,NEG_PART_OF,Endopeptidases,Vacuole,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0035544,C1325834,NEG_PART_OF,Ribonucleoproteins,viral glycoprotein,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0035685,C2350332,NEG_PART_OF,RNA-Directed RNA Polymerase,Exosomes,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0042666,C0039067,NEG_PART_OF,Vimentin,Synaptosomes,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0042711,C0042760,NEG_PART_OF,Viral Envelope Proteins,Virion,aapp,celc,2,NEG_PART_OF_AAPPnprtfCELC
C0042736,C0042760,NEG_PART_OF,Viral Proteins,Virion,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0042736,C1167519,NEG_PART_OF,Viral Proteins,viral capsid,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0054871,C0042760,NEG_PART_OF,Cathepsin L,Virion,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0059256,C0042760,NEG_PART_OF,Endopeptidase K,Virion,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0062524,C2754943,NEG_PART_OF,hepatitis A virus antibodies,IgG antibody,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0069065,C1749467,NEG_PART_OF,Viral Nonstructural Proteins,soluble,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0069141,C0042760,NEG_PART_OF,nucleophosmin,Virion,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0085297,C2754943,NEG_PART_OF,"Immunoglobulins, Intravenous",IgG antibody,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0120285,C0230704,NEG_PART_OF,Green Fluorescent Proteins,Lipid droplet,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0178774,C0010851,NEG_PART_OF,Nucleocapsid,Cytoskeletal Filaments,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0242391,C0175996,NEG_PART_OF,Cell Membrane Proteins,Protoplasm,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0243040,C0031921,NEG_PART_OF,"Adhesins, Bacterial",Bacterial Fimbria,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0251914,C0042760,NEG_PART_OF,"PDIA3 protein, human",Virion,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0312631,C2754943,NEG_PART_OF,Antibody to hepatitis B core antigen,IgG antibody,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0443640,C0230764,NEG_PART_OF,Specific antibody,Golgi membrane,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0530079,C0042219,NEG_PART_OF,Clathrin Heavy Chains,Vacuole,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0582263,C1167519,NEG_PART_OF,Structural protein,viral capsid,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0597357,C0007603,NEG_PART_OF,receptor,Plasma membrane,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0597357,C0023768,NEG_PART_OF,receptor,Lipid Bilayers,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0599220,C0024369,NEG_PART_OF,Protein Subunits,Lysosomes,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0599537,C0042760,NEG_PART_OF,glycoprotein G,Virion,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0700271,C0042760,NEG_PART_OF,"M Protein, multiple myeloma",Virion,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0752615,C2265274,NEG_PART_OF,Eukaryotic Initiation Factor-3,cytoplasmic foci,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0815047,C0333785,NEG_PART_OF,regulatory proteins,Virus-like particles,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C0963165,C0024369,NEG_PART_OF,cathepsin-6,Lysosomes,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C1307407,C0024369,NEG_PART_OF,"FRAP1 protein, human",Lysosomes,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C1312700,C1325834,NEG_PART_OF,"FABP1 protein, human",viral glycoprotein,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C1332669,C0175996,NEG_PART_OF,CAV1 gene,Protoplasm,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C1332669,C0521119,NEG_PART_OF,CAV1 gene,Extracellular,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C1412046,C0887883,NEG_PART_OF,A2M gene,Early endosome,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C1414141,C0008778,NEG_PART_OF,DPP4 gene,Cilia,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C1415002,C1167179,NEG_PART_OF,GBF1 gene,viral replication complex,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C1415351,C0333785,NEG_PART_OF,GTPBP1 gene,Virus-like particles,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C1415375,C0042760,NEG_PART_OF,GYPC gene,Virion,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C1415898,C0034850,NEG_PART_OF,IFITM3 gene,Endosomes,aapp,celc,3,NEG_PART_OF_AAPPnprtfCELC
C1417504,C1179126,NEG_PART_OF,MUT gene,Lipid vacuole,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C1418952,C1325834,NEG_PART_OF,PROZ gene,viral glycoprotein,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C1422036,C0042760,NEG_PART_OF,ERVW-1 gene,Virion,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C1423633,C0175996,NEG_PART_OF,TLR9 gene,Protoplasm,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C1425622,C0682537,NEG_PART_OF,IFNLR1 gene,Nucleoplasm,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C1426185,C1167142,NEG_PART_OF,SIN3A gene,Histone Deacetylase Complexes,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C1442495,C0010834,NEG_PART_OF,ACIN1 gene,Cytoplasm,aapp,celc,2,NEG_PART_OF_AAPPnprtfCELC
C1538124,C0010834,NEG_PART_OF,XRN1 gene,Cytoplasm,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C1610422,C1749467,NEG_PART_OF,"ACE2 protein, human",soluble,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C1742862,C0018042,NEG_PART_OF,"CISH protein, human",Golgi Apparatus,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C1825325,C1179933,NEG_PART_OF,G3BP1 gene,Free ribosome,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C2945626,C0035553,NEG_PART_OF,peptide antibiotics,Ribosomes,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C2945724,C1167322,NEG_PART_OF,f-protein,integral to membrane,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C2945724,C1511625,NEG_PART_OF,f-protein,Cytoplasmic Domain,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C3179274,C0887883,NEG_PART_OF,electronegative low-density lipoprotein,Early endosome,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C3642279,C3887595,NEG_PART_OF,Microtubule-Associated Proteins 1A/1B Light Chain 3-II,Autophagosome,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C3826857,C0008655,NEG_PART_OF,Expression Quantitative Trait Locus,"Chromosomes, Human, Pair 13",aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C4049595,C3894683,NEG_PART_OF,HLA Complex,Extracellular Vesicles,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
C4284302,C1325742,NEG_PART_OF,EHD1 wt Allele,Pore,aapp,celc,1,NEG_PART_OF_AAPPnprtfCELC
