cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003241,C0006801,NEG_PART_OF,Antibodies,Camels,aapp,mamm,1,NEG_PART_OF_AAPPnprtfMAMM
C0003241,C0007450,NEG_PART_OF,Antibodies,Felis catus,aapp,mamm,1,NEG_PART_OF_AAPPnprtfMAMM
C0003241,C0015859,NEG_PART_OF,Antibodies,Ferrets,aapp,mamm,1,NEG_PART_OF_AAPPnprtfMAMM
C0003241,C0019944,NEG_PART_OF,Antibodies,Equus caballus,aapp,mamm,1,NEG_PART_OF_AAPPnprtfMAMM
C0003241,C0026447,NEG_PART_OF,Antibodies,Monkeys,aapp,mamm,1,NEG_PART_OF_AAPPnprtfMAMM
C0003241,C0026809,NEG_PART_OF,Antibodies,Mus,aapp,mamm,2,NEG_PART_OF_AAPPnprtfMAMM
C0003241,C0039005,NEG_PART_OF,Antibodies,Family suidae,aapp,mamm,2,NEG_PART_OF_AAPPnprtfMAMM
C0007332,C0026809,NEG_PART_OF,Caseins,Mus,aapp,mamm,1,NEG_PART_OF_AAPPnprtfMAMM
C0009412,C0684075,NEG_PART_OF,Colostral IgA,Adult female pig having farrowed,aapp,mamm,1,NEG_PART_OF_AAPPnprtfMAMM
C0009506,C0026809,NEG_PART_OF,Complement 3,Mus,aapp,mamm,1,NEG_PART_OF_AAPPnprtfMAMM
C0010590,C0026809,NEG_PART_OF,Cycloserine,Mus,aapp,mamm,2,NEG_PART_OF_AAPPnprtfMAMM
C0012524,C0026809,NEG_PART_OF,Catechol Oxidase,Mus,aapp,mamm,1,NEG_PART_OF_AAPPnprtfMAMM
C0014230,C0026809,NEG_PART_OF,endonuclease,Mus,aapp,mamm,1,NEG_PART_OF_AAPPnprtfMAMM
C0019629,C0026809,NEG_PART_OF,Histocompatibility Antigens Class I,Mus,aapp,mamm,1,NEG_PART_OF_AAPPnprtfMAMM
C0020364,C0026809,NEG_PART_OF,Mixed Function Oxygenases,Mus,aapp,mamm,1,NEG_PART_OF_AAPPnprtfMAMM
C0020364,C1520150,NEG_PART_OF,Mixed Function Oxygenases,Wild Type Mouse,aapp,mamm,1,NEG_PART_OF_AAPPnprtfMAMM
C0020687,C0026809,NEG_PART_OF,Hypoxanthine Phosphoribosyltransferase,Mus,aapp,mamm,1,NEG_PART_OF_AAPPnprtfMAMM
C0020838,C0026809,NEG_PART_OF,Secretory Immunoglobulin A,Mus,aapp,mamm,1,NEG_PART_OF_AAPPnprtfMAMM
C0021701,C0026809,NEG_PART_OF,Integrins,Mus,aapp,mamm,1,NEG_PART_OF_AAPPnprtfMAMM
C0021743,C0026809,NEG_PART_OF,Interferon Type I,Mus,aapp,mamm,3,NEG_PART_OF_AAPPnprtfMAMM
C0021747,C0026809,NEG_PART_OF,Interferons,Mus,aapp,mamm,1,NEG_PART_OF_AAPPnprtfMAMM
