cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007600,C0024109,NEG_PART_OF,Cultured Cell Line,Lung,cell,bpoc,1,NEG_PART_OF_CELLnprtfBPOC
C0011306,C0819757,NEG_PART_OF,Dendritic Cells,Structure of parenchyma of lung,cell,bpoc,1,NEG_PART_OF_CELLnprtfBPOC
C0014467,C0024109,NEG_PART_OF,eosinophil,Lung,cell,bpoc,1,NEG_PART_OF_CELLnprtfBPOC
C0014597,C0024109,NEG_PART_OF,Epithelial Cells,Lung,cell,bpoc,1,NEG_PART_OF_CELLnprtfBPOC
C0024432,C0006104,NEG_PART_OF,macrophage,Brain,cell,bpoc,1,NEG_PART_OF_CELLnprtfBPOC
C0024432,C0933845,NEG_PART_OF,macrophage,Parenchyma,cell,bpoc,1,NEG_PART_OF_CELLnprtfBPOC
C0206428,C0035298,NEG_PART_OF,Retinal Cone,Retina,cell,bpoc,1,NEG_PART_OF_CELLnprtfBPOC
C0596155,C0040578,NEG_PART_OF,Basal Cell,Trachea,cell,bpoc,1,NEG_PART_OF_CELLnprtfBPOC
C0599757,C0229889,NEG_PART_OF,Microfold cell,Lymphatic vessel,cell,bpoc,1,NEG_PART_OF_CELLnprtfBPOC
C1513095,C1522495,NEG_PART_OF,Melanoma Cell,Sentinel Lymph Node,cell,bpoc,1,NEG_PART_OF_CELLnprtfBPOC
