cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004561,C1623051,NEG_PART_OF,B-Lymphocytes,Filamentous bacteriophage (species),cell,virs,1,NEG_PART_OF_CELLnprtfVIRS
C0007600,C0014644,NEG_PART_OF,Cultured Cell Line,Epstein-Barr Virus,cell,virs,1,NEG_PART_OF_CELLnprtfVIRS
C0007600,C0042776,NEG_PART_OF,Cultured Cell Line,Virus,cell,virs,1,NEG_PART_OF_CELLnprtfVIRS
C0011306,C0682455,NEG_PART_OF,Dendritic Cells,gammaherpesvirus,cell,virs,1,NEG_PART_OF_CELLnprtfVIRS
C0024432,C0029341,NEG_PART_OF,macrophage,Orthomyxoviridae,cell,virs,1,NEG_PART_OF_CELLnprtfVIRS
C0027882,C0042776,NEG_PART_OF,Neurons,Virus,cell,virs,1,NEG_PART_OF_CELLnprtfVIRS
C0221284,C0037340,NEG_PART_OF,Leptocyte,Slow virus,cell,virs,1,NEG_PART_OF_CELLnprtfVIRS
C0225698,C1175743,NEG_PART_OF,Alveolar Epithelial Cells,SARS coronavirus,cell,virs,1,NEG_PART_OF_CELLnprtfVIRS
C0682639,C0206545,NEG_PART_OF,Memory T-Lymphocyte,Human respiratory syncytial virus,cell,virs,1,NEG_PART_OF_CELLnprtfVIRS
C1321301,C0029341,NEG_PART_OF,Peripheral blood mononuclear cell (cell),Orthomyxoviridae,cell,virs,1,NEG_PART_OF_CELLnprtfVIRS
C1523993,C0682455,NEG_PART_OF,Leukocyte - Monocyte - Macrophage (MMHCC),gammaherpesvirus,cell,virs,1,NEG_PART_OF_CELLnprtfVIRS
