cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0162326,C0001417,NEG_PART_OF,DNA Sequence,Dependovirus,nusq,virs,1,NEG_PART_OF_NUSQnprtfVIRS
C0162326,C0001483,NEG_PART_OF,DNA Sequence,Adenoviruses,nusq,virs,1,NEG_PART_OF_NUSQnprtfVIRS
C0162326,C0019092,NEG_PART_OF,DNA Sequence,Hantavirus,nusq,virs,1,NEG_PART_OF_NUSQnprtfVIRS
C0162326,C0024662,NEG_PART_OF,DNA Sequence,Mouse mammary tumor virus,nusq,virs,1,NEG_PART_OF_NUSQnprtfVIRS
C0162326,C0042776,NEG_PART_OF,DNA Sequence,Virus,nusq,virs,2,NEG_PART_OF_NUSQnprtfVIRS
C0162326,C0205725,NEG_PART_OF,DNA Sequence,Human Herpesvirus 5 species,nusq,virs,1,NEG_PART_OF_NUSQnprtfVIRS
C0162326,C0206390,NEG_PART_OF,DNA Sequence,Phage MS2,nusq,virs,1,NEG_PART_OF_NUSQnprtfVIRS
C0162326,C3697382,NEG_PART_OF,DNA Sequence,Subfamily Torovirinae,nusq,virs,2,NEG_PART_OF_NUSQnprtfVIRS
C1512886,C0014080,NEG_PART_OF,Internal Ribosome Entry Sites,Encephalomyocarditis virus,nusq,virs,1,NEG_PART_OF_NUSQnprtfVIRS
C1512886,C0035691,NEG_PART_OF,Internal Ribosome Entry Sites,RNA Viruses,nusq,virs,1,NEG_PART_OF_NUSQnprtfVIRS
C1512886,C0206435,NEG_PART_OF,Internal Ribosome Entry Sites,Human poliovirus,nusq,virs,1,NEG_PART_OF_NUSQnprtfVIRS
C1512886,C0220847,NEG_PART_OF,Internal Ribosome Entry Sites,Hepatitis C virus,nusq,virs,1,NEG_PART_OF_NUSQnprtfVIRS
C1512886,C0318593,NEG_PART_OF,Internal Ribosome Entry Sites,Cricket paralysis virus,nusq,virs,1,NEG_PART_OF_NUSQnprtfVIRS
C1883633,C0376577,NEG_PART_OF,3' Region,Tobacco mosaic satellite virus,nusq,virs,1,NEG_PART_OF_NUSQnprtfVIRS
C1956150,C0002331,NEG_PART_OF,Opal Stop Codon,Alphavirus,nusq,virs,1,NEG_PART_OF_NUSQnprtfVIRS
