cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0014609,C0016215,NEG_PART_OF,Epithelium,Flavivirus,tisu,virs,1,NEG_PART_OF_TISUnprtfVIRS
C0014609,C0318793,NEG_PART_OF,Epithelium,Zika Virus,tisu,virs,1,NEG_PART_OF_TISUnprtfVIRS
C0040300,C0029341,NEG_PART_OF,Body tissue,Orthomyxoviridae,tisu,virs,1,NEG_PART_OF_TISUnprtfVIRS
C0040300,C0042776,NEG_PART_OF,Body tissue,Virus,tisu,virs,1,NEG_PART_OF_TISUnprtfVIRS
C0040300,C1175743,NEG_PART_OF,Body tissue,SARS coronavirus,tisu,virs,1,NEG_PART_OF_TISUnprtfVIRS
C0242291,C0318793,NEG_PART_OF,Fetal Tissue,Zika Virus,tisu,virs,1,NEG_PART_OF_TISUnprtfVIRS
C1292533,C0001483,NEG_PART_OF,Tissue specimen,Adenoviruses,tisu,virs,1,NEG_PART_OF_TISUnprtfVIRS
C1292533,C0319115,NEG_PART_OF,Tissue specimen,Goose parvovirus,tisu,virs,1,NEG_PART_OF_TISUnprtfVIRS
C1304649,C0042776,NEG_PART_OF,Tissue fiber,Virus,tisu,virs,1,NEG_PART_OF_TISUnprtfVIRS
C1516828,C0014047,NEG_PART_OF,Mouse Embryonic Fibroblast,Japanese encephalitis virus,tisu,virs,1,NEG_PART_OF_TISUnprtfVIRS
