cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003316,C1175175,NEG_PREVENTS,Epitopes,Severe Acute Respiratory Syndrome,imft,dsyn,1,NEG_PREVENTS_IMFTnprevDSYN
C0004886,C0041296,NEG_PREVENTS,BCG Vaccine,Tuberculosis,imft,dsyn,1,NEG_PREVENTS_IMFTnprevDSYN
C0021403,C0021400,NEG_PREVENTS,Influenza virus vaccine,Influenza,imft,dsyn,1,NEG_PREVENTS_IMFTnprevDSYN
C0042210,C0006277,NEG_PREVENTS,Vaccines,Bronchitis,imft,dsyn,1,NEG_PREVENTS_IMFTnprevDSYN
C0042210,C0008354,NEG_PREVENTS,Vaccines,Cholera,imft,dsyn,1,NEG_PREVENTS_IMFTnprevDSYN
C0042210,C0016627,NEG_PREVENTS,Vaccines,Influenza in Birds,imft,dsyn,2,NEG_PREVENTS_IMFTnprevDSYN
C0042210,C0035235,NEG_PREVENTS,Vaccines,Respiratory Syncytial Virus Infections,imft,dsyn,1,NEG_PREVENTS_IMFTnprevDSYN
C0042210,C0042708,NEG_PREVENTS,Vaccines,Viral enteritis,imft,dsyn,1,NEG_PREVENTS_IMFTnprevDSYN
C0042210,C0042769,NEG_PREVENTS,Vaccines,Virus Diseases,imft,dsyn,3,NEG_PREVENTS_IMFTnprevDSYN
C0042210,C0205671,NEG_PREVENTS,Vaccines,"Infections, Arenavirus",imft,dsyn,1,NEG_PREVENTS_IMFTnprevDSYN
C0042210,C0275524,NEG_PREVENTS,Vaccines,Coinfection,imft,dsyn,1,NEG_PREVENTS_IMFTnprevDSYN
C0042210,C0339901,NEG_PREVENTS,Vaccines,Acute respiratory infections,imft,dsyn,1,NEG_PREVENTS_IMFTnprevDSYN
C0042210,C1175175,NEG_PREVENTS,Vaccines,Severe Acute Respiratory Syndrome,imft,dsyn,1,NEG_PREVENTS_IMFTnprevDSYN
C0042210,C3694279,NEG_PREVENTS,Vaccines,Middle East Respiratory Syndrome,imft,dsyn,1,NEG_PREVENTS_IMFTnprevDSYN
C0042210,C3874414,NEG_PREVENTS,Vaccines,Human metapneumovirus infection,imft,dsyn,1,NEG_PREVENTS_IMFTnprevDSYN
C0042742,C0042749,NEG_PREVENTS,Viral Vaccines,Viremia,imft,dsyn,1,NEG_PREVENTS_IMFTnprevDSYN
C0086413,C0019693,NEG_PREVENTS,HIV Vaccine,HIV Infections,imft,dsyn,1,NEG_PREVENTS_IMFTnprevDSYN
C0305065,C0032285,NEG_PREVENTS,Polyvalent pneumococcal vaccine,Pneumonia,imft,dsyn,1,NEG_PREVENTS_IMFTnprevDSYN
C0310701,C0276480,NEG_PREVENTS,Canine coronavirus vaccine,Canine coronaviral gastroenteritis,imft,dsyn,2,NEG_PREVENTS_IMFTnprevDSYN
C0376613,C0021400,NEG_PREVENTS,"Vaccines, DNA",Influenza,imft,dsyn,1,NEG_PREVENTS_IMFTnprevDSYN
