cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0009187,C0036111,NEG_PROCESS_OF,Coccidiosis,Salmonella,dsyn,bact,1,NEG_PROCESS_OF_DSYNnprcfBACT
C0009450,C0006305,NEG_PROCESS_OF,Communicable Diseases,Brucella melitensis,dsyn,bact,1,NEG_PROCESS_OF_DSYNnprcfBACT
C0009450,C0018154,NEG_PROCESS_OF,Communicable Diseases,Gram-Positive Bacteria,dsyn,bact,1,NEG_PROCESS_OF_DSYNnprcfBACT
C0009450,C1265234,NEG_PROCESS_OF,Communicable Diseases,Nontuberculous Mycobacteria,dsyn,bact,1,NEG_PROCESS_OF_DSYNnprcfBACT
C0016397,C0004611,NEG_PROCESS_OF,Focal Infection,Bacteria,dsyn,bact,1,NEG_PROCESS_OF_DSYNnprcfBACT
C0024115,C1265234,NEG_PROCESS_OF,Lung diseases,Nontuberculous Mycobacteria,dsyn,bact,1,NEG_PROCESS_OF_DSYNnprcfBACT
C0029118,C0033809,NEG_PROCESS_OF,Opportunistic Infections,Pseudomonas aeruginosa,dsyn,bact,1,NEG_PROCESS_OF_DSYNnprcfBACT
C0034362,C0004611,NEG_PROCESS_OF,Q Fever,Bacteria,dsyn,bact,1,NEG_PROCESS_OF_DSYNnprcfBACT
C0035235,C0018483,NEG_PROCESS_OF,Respiratory Syncytial Virus Infections,Haemophilus influenzae,dsyn,bact,1,NEG_PROCESS_OF_DSYNnprcfBACT
C0042769,C0018154,NEG_PROCESS_OF,Virus Diseases,Gram-Positive Bacteria,dsyn,bact,1,NEG_PROCESS_OF_DSYNnprcfBACT
C0152171,C0014834,NEG_PROCESS_OF,Idiopathic pulmonary hypertension,Escherichia coli,dsyn,bact,1,NEG_PROCESS_OF_DSYNnprcfBACT
C0205721,C0033809,NEG_PROCESS_OF,"Infections, Hospital",Pseudomonas aeruginosa,dsyn,bact,1,NEG_PROCESS_OF_DSYNnprcfBACT
C0276447,C0018483,NEG_PROCESS_OF,Rhinovirus infection,Haemophilus influenzae,dsyn,bact,1,NEG_PROCESS_OF_DSYNnprcfBACT
C0376538,C0004611,NEG_PROCESS_OF,Porcine Reproductive and Respiratory Syndrome,Bacteria,dsyn,bact,1,NEG_PROCESS_OF_DSYNnprcfBACT
C0876973,C1265234,NEG_PROCESS_OF,Infectious disease of lung,Nontuberculous Mycobacteria,dsyn,bact,1,NEG_PROCESS_OF_DSYNnprcfBACT
