cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001473,C1328948,NEG_STIMULATES,Adenosine Triphosphatases,RNA biosynthesis,aapp,moft,2,NEG_STIMULATES_AAPPnstimMOFT
C0014230,C0376669,NEG_STIMULATES,endonuclease,DNA Fragmentation,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C0017837,C3178791,NEG_STIMULATES,Glutathione S-Transferase,RNA Cleavage,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C0021641,C0301641,NEG_STIMULATES,Insulin,Macromolecular alteration,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C0021760,C2754810,NEG_STIMULATES,Interleukin-6,monocyte chemotactic protein-1 production,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C0028612,C0010357,NEG_STIMULATES,Nucleoproteins,Cross Reactions,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C0030946,C0597304,NEG_STIMULATES,Endopeptidases,Proteolysis,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C0034821,C0301641,NEG_STIMULATES,Low Density Lipoprotein Receptor,Macromolecular alteration,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C0040648,C1150571,NEG_STIMULATES,TRANSCRIPTION FACTOR,IkappaB kinase activity,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C0040691,C1819635,NEG_STIMULATES,Transforming Growth Factors,receptor catabolic process,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C0041538,C3824143,NEG_STIMULATES,Ubiquitin,proteasome complex disassembly,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C0052193,C1149326,NEG_STIMULATES,apolipoprotein D,low-density lipoprotein particle binding,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C0072978,C2754815,NEG_STIMULATES,RANTES,chemokine (C-C motif) ligand 5 production,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C0077678,C1519751,NEG_STIMULATES,ubiquitin-protein ligase,Ubiquitination,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C0079419,C1157990,NEG_STIMULATES,TP53 gene,Sumoylation,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C0123759,C0031715,NEG_STIMULATES,Interleukin-12,Phosphorylation,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C0162508,C1150587,NEG_STIMULATES,JUN gene,JUN kinase activity,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C0164786,C3179233,NEG_STIMULATES,Proto-Oncogene Proteins c-akt,MEK-ERK Pathway,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C0289012,C1150587,NEG_STIMULATES,TNF Receptor-Associated Death Domain Protein,JUN kinase activity,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C0443640,C0003256,NEG_STIMULATES,Specific antibody,Antibody Avidity,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C0539636,C3268357,NEG_STIMULATES,"MKNK1 protein, human",p38 MAPK signaling,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C0700271,C0031715,NEG_STIMULATES,"M Protein, multiple myeloma",Phosphorylation,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C0907734,C0301641,NEG_STIMULATES,nectin-1,Macromolecular alteration,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1309025,C3178791,NEG_STIMULATES,"SH2D3A protein, human",RNA Cleavage,aapp,moft,8,NEG_STIMULATES_AAPPnstimMOFT
C1310468,C0301641,NEG_STIMULATES,"DDX58 protein, human",Macromolecular alteration,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1311470,C3824143,NEG_STIMULATES,"PARK2 protein, human",proteasome complex disassembly,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1332749,C0597297,NEG_STIMULATES,HERC5 gene,"Protein Degradation, Metabolic",aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1333908,C1152016,NEG_STIMULATES,HMGB1 gene,arginine N-succinyltransferase activity,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1335872,C0031715,NEG_STIMULATES,STAT1 gene,Phosphorylation,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1335875,C4236748,NEG_STIMULATES,STAT5A gene,STAT cascade,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1336620,C1515144,NEG_STIMULATES,TGFA gene,T-Cell Receptor Activation,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1336763,C0010357,NEG_STIMULATES,Toll-Like Receptor Family Gene,Cross Reactions,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1366644,C1515144,NEG_STIMULATES,EREG gene,T-Cell Receptor Activation,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1367307,C4236748,NEG_STIMULATES,STAT3 gene,STAT cascade,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1412785,C1515844,NEG_STIMULATES,BECN1 gene,AKT Signaling Pathway,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1414444,C0031715,NEG_STIMULATES,ERN1 gene,Phosphorylation,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1414691,C1158882,NEG_STIMULATES,FPR2 gene,superoxide anion generation,aapp,moft,2,NEG_STIMULATES_AAPPnstimMOFT
C1415898,C1519751,NEG_STIMULATES,IFITM3 gene,Ubiquitination,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1420393,C0597297,NEG_STIMULATES,SQSTM1 gene,"Protein Degradation, Metabolic",aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1421638,C1519751,NEG_STIMULATES,TRIM25 gene,Ubiquitination,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1422064,C0301641,NEG_STIMULATES,ACE2 gene,Macromolecular alteration,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1422629,C0031715,NEG_STIMULATES,DHX36 gene,Phosphorylation,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1426511,C0597304,NEG_STIMULATES,GBP5 gene,Proteolysis,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1522002,C2247721,NEG_STIMULATES,RNA Recognition Motif,toll-like receptor 3 signaling pathway,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1564907,C2754810,NEG_STIMULATES,"Receptors, Pattern Recognition",monocyte chemotactic protein-1 production,aapp,moft,2,NEG_STIMULATES_AAPPnstimMOFT
C1823437,C0031715,NEG_STIMULATES,TMEM173 gene,Phosphorylation,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1823491,C1150095,NEG_STIMULATES,TRIM69 gene,peptidase activity,aapp,moft,2,NEG_STIMULATES_AAPPnstimMOFT
C1825497,C1515844,NEG_STIMULATES,ATG5 gene,AKT Signaling Pathway,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C1864770,C0031715,NEG_STIMULATES,MAVS gene,Phosphorylation,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C3540525,C0001801,NEG_STIMULATES,F12 wt Allele,agglutination,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C3849701,C1327133,NEG_STIMULATES,"interleukin 18 protein, human",Peptide Biosynthesis,aapp,moft,1,NEG_STIMULATES_AAPPnstimMOFT
C4048280,C0301641,NEG_STIMULATES,"T-Cell Surface Glycoprotein CD4, human",Macromolecular alteration,aapp,moft,2,NEG_STIMULATES_AAPPnstimMOFT
