cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001047,C0026809,NEG_TREATS,Acetylcysteine,Mus,aapp,mamm,1,NEG_TREATS_AAPPntrtsMAMM
C0001655,C0019944,NEG_TREATS,Corticotropin,Equus caballus,aapp,mamm,1,NEG_TREATS_AAPPntrtsMAMM
C0002199,C1520150,NEG_TREATS,Interferon-alpha,Wild Type Mouse,aapp,mamm,1,NEG_TREATS_AAPPntrtsMAMM
C0003779,C0007450,NEG_TREATS,Argipressin,Felis catus,aapp,mamm,1,NEG_TREATS_AAPPntrtsMAMM
C0008864,C0012984,NEG_TREATS,Citrulline,Canis familiaris,aapp,mamm,1,NEG_TREATS_AAPPntrtsMAMM
C0009316,C0039005,NEG_TREATS,Colistin,Family suidae,aapp,mamm,2,NEG_TREATS_AAPPntrtsMAMM
C0010590,C0026809,NEG_TREATS,Cycloserine,Mus,aapp,mamm,2,NEG_TREATS_AAPPntrtsMAMM
C0015980,C0024398,NEG_TREATS,Interferon-beta,Macaca,aapp,mamm,2,NEG_TREATS_AAPPntrtsMAMM
C0020960,C0026809,NEG_TREATS,Immune Sera,Mus,aapp,mamm,2,NEG_TREATS_AAPPntrtsMAMM
C0021641,C0007450,NEG_TREATS,Insulin,Felis catus,aapp,mamm,2,NEG_TREATS_AAPPntrtsMAMM
C0021641,C0019944,NEG_TREATS,Insulin,Equus caballus,aapp,mamm,1,NEG_TREATS_AAPPntrtsMAMM
C0030946,C0026809,NEG_TREATS,Endopeptidases,Mus,aapp,mamm,1,NEG_TREATS_AAPPntrtsMAMM
C0040160,C0007450,NEG_TREATS,Thyrotropin,Felis catus,aapp,mamm,1,NEG_TREATS_AAPPntrtsMAMM
C0040160,C0012984,NEG_TREATS,Thyrotropin,Canis familiaris,aapp,mamm,1,NEG_TREATS_AAPPntrtsMAMM
C0042313,C0007452,NEG_TREATS,Vancomycin,Cattle,aapp,mamm,1,NEG_TREATS_AAPPntrtsMAMM
C0057256,C0008111,NEG_TREATS,Defensins,Pan troglodytes,aapp,mamm,1,NEG_TREATS_AAPPntrtsMAMM
C0057256,C0018090,NEG_TREATS,Defensins,Gorilla <Western Gorilla>,aapp,mamm,1,NEG_TREATS_AAPPntrtsMAMM
C0164613,C0018557,NEG_TREATS,interferon alfacon-1,Hamsters,aapp,mamm,1,NEG_TREATS_AAPPntrtsMAMM
C0164613,C0085979,NEG_TREATS,interferon alfacon-1,Cavia,aapp,mamm,1,NEG_TREATS_AAPPntrtsMAMM
C0299583,C0206745,NEG_TREATS,leptin,"Mice, Knockout",aapp,mamm,2,NEG_TREATS_AAPPntrtsMAMM
C1144709,C0012984,NEG_TREATS,Natriuretic Peptides,Canis familiaris,aapp,mamm,1,NEG_TREATS_AAPPntrtsMAMM
C1271481,C0018019,NEG_TREATS,Recombinant human granulocyte colony stimulating factor,Capra hircus,aapp,mamm,1,NEG_TREATS_AAPPntrtsMAMM
C1420193,C0007450,NEG_TREATS,SLC4A1 gene,Felis catus,aapp,mamm,1,NEG_TREATS_AAPPntrtsMAMM
C1420193,C0012984,NEG_TREATS,SLC4A1 gene,Canis familiaris,aapp,mamm,1,NEG_TREATS_AAPPntrtsMAMM
C2266975,C0025936,NEG_TREATS,Lipopeptides,"Mice, Transgenic",aapp,mamm,1,NEG_TREATS_AAPPntrtsMAMM
