cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001617,C0004096,NEG_TREATS,Adrenal Cortex Hormones,Asthma,horm,dsyn,1,NEG_TREATS_HORMntrtsDSYN
C0001617,C0009443,NEG_TREATS,Adrenal Cortex Hormones,Common Cold,horm,dsyn,1,NEG_TREATS_HORMntrtsDSYN
C0001617,C0010340,NEG_TREATS,Adrenal Cortex Hormones,Critical Illness,horm,dsyn,1,NEG_TREATS_HORMntrtsDSYN
C0001617,C0015469,NEG_TREATS,Adrenal Cortex Hormones,Facial paralysis,horm,dsyn,1,NEG_TREATS_HORMntrtsDSYN
C0001617,C0032285,NEG_TREATS,Adrenal Cortex Hormones,Pneumonia,horm,dsyn,1,NEG_TREATS_HORMntrtsDSYN
C0001617,C0036690,NEG_TREATS,Adrenal Cortex Hormones,Septicemia,horm,dsyn,1,NEG_TREATS_HORMntrtsDSYN
C0001617,C0042164,NEG_TREATS,Adrenal Cortex Hormones,Uveitis,horm,dsyn,1,NEG_TREATS_HORMntrtsDSYN
C0001617,C3694279,NEG_TREATS,Adrenal Cortex Hormones,Middle East Respiratory Syndrome,horm,dsyn,1,NEG_TREATS_HORMntrtsDSYN
C0017710,C0010340,NEG_TREATS,Glucocorticoids,Critical Illness,horm,dsyn,1,NEG_TREATS_HORMntrtsDSYN
C0017710,C2103589,NEG_TREATS,Glucocorticoids,constrictive Obliterative bronchiolitis,horm,dsyn,1,NEG_TREATS_HORMntrtsDSYN
C0020268,C3670036,NEG_TREATS,Hydrocortisone,Pituitary pars intermedia dysfunction,horm,dsyn,1,NEG_TREATS_HORMntrtsDSYN
