cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0016380,C0026809,NEG_TREATS,Flurothyl,Mus,orch,mamm,1,NEG_TREATS_ORCHntrtsMAMM
C0025872,C0012984,NEG_TREATS,Metronidazole,Canis familiaris,orch,mamm,1,NEG_TREATS_ORCHntrtsMAMM
C0032594,C0033147,NEG_TREATS,Polysaccharides,Primates,orch,mamm,1,NEG_TREATS_ORCHntrtsMAMM
C0033487,C0007450,NEG_TREATS,Propofol,Felis catus,orch,mamm,1,NEG_TREATS_ORCHntrtsMAMM
C0051696,C0012984,NEG_TREATS,Amlodipine,Canis familiaris,orch,mamm,1,NEG_TREATS_ORCHntrtsMAMM
C0071071,C0012984,NEG_TREATS,pimobendan,Canis familiaris,orch,mamm,1,NEG_TREATS_ORCHntrtsMAMM
C0073591,C0026809,NEG_TREATS,rosoxacin,Mus,orch,mamm,1,NEG_TREATS_ORCHntrtsMAMM
C0076110,C0012984,NEG_TREATS,terbinafine,Canis familiaris,orch,mamm,1,NEG_TREATS_ORCHntrtsMAMM
C0162357,C0026809,NEG_TREATS,Clodronate,Mus,orch,mamm,1,NEG_TREATS_ORCHntrtsMAMM
C0162969,C0024400,NEG_TREATS,Chitosan,Macaca mulatta,orch,mamm,1,NEG_TREATS_ORCHntrtsMAMM
C0178638,C0012984,NEG_TREATS,Folate,Canis familiaris,orch,mamm,1,NEG_TREATS_ORCHntrtsMAMM
C0216660,C0026809,NEG_TREATS,Zanamivir,Mus,orch,mamm,2,NEG_TREATS_ORCHntrtsMAMM
C0216784,C0034705,NEG_TREATS,valsartan,"Rats, Inbred SHR",orch,mamm,1,NEG_TREATS_ORCHntrtsMAMM
C0721501,C0026809,NEG_TREATS,MZM,Mus,orch,mamm,1,NEG_TREATS_ORCHntrtsMAMM
C0733696,C0026809,NEG_TREATS,Primaxin,Mus,orch,mamm,1,NEG_TREATS_ORCHntrtsMAMM
C0874161,C0015859,NEG_TREATS,Oseltamivir,Ferrets,orch,mamm,3,NEG_TREATS_ORCHntrtsMAMM
C1122962,C0025936,NEG_TREATS,gefitinib,"Mice, Transgenic",orch,mamm,2,NEG_TREATS_ORCHntrtsMAMM
C2926735,C0039005,NEG_TREATS,Duration,Family suidae,orch,mamm,1,NEG_TREATS_ORCHntrtsMAMM
C2930490,C0026809,NEG_TREATS,vadimezan,Mus,orch,mamm,7,NEG_TREATS_ORCHntrtsMAMM
C3659159,C0026809,NEG_TREATS,ST-148,Mus,orch,mamm,1,NEG_TREATS_ORCHntrtsMAMM
